Job,Routing_ID,Arrival,Ready Time,Job Processing Time,Deadline
J25-0000,8,0,1440,597,3065
J25-0001,6,49,1440,416,3493
J25-0002,0,116,1440,395,3849
J25-0003,2,160,1440,568,4606
J25-0004,3,203,1440,655,3025
J25-0005,1,409,1440,510,2717
J25-0006,9,695,1440,540,3714
J25-0007,5,828,1440,496,4586
J25-0008,4,889,1440,393,3521
J25-0009,7,905,1440,539,5114
J25-0010,0,925,1440,395,3431
J25-0011,9,930,1440,540,3553
J25-0012,5,1002,1440,496,3821
J25-0013,7,1089,1440,539,3246
J25-0014,4,1118,1440,393,3940
J25-0015,6,1327,1440,416,4225
J25-0016,1,1389,1440,510,2994
J25-0017,2,1746,2880,568,4553
J25-0018,8,1800,2880,597,4590
J25-0019,3,1805,2880,655,5743
J25-0020,1,1816,2880,510,4770
J25-0021,5,1832,2880,496,5002
J25-0022,9,1880,2880,540,5575
J25-0023,8,1932,2880,597,5120
J25-0024,3,1984,2880,655,5829
J25-0025,2,2003,2880,568,4897
J25-0026,6,2066,2880,416,4412
J25-0027,7,2150,2880,539,5039
J25-0028,0,2154,2880,395,5401
J25-0029,4,2173,2880,393,4776
J25-0030,0,2185,2880,395,6158
J25-0031,1,2433,2880,510,5070
J25-0032,6,2518,2880,416,4411
J25-0033,2,2524,2880,568,5374
J25-0034,8,2579,2880,597,3965
J25-0035,5,2589,2880,496,4243
J25-0036,4,2597,2880,393,4183
J25-0037,7,2663,2880,539,5462
J25-0038,3,2830,2880,655,4489
J25-0039,9,2991,4320,540,6890
J25-0040,0,2999,4320,395,6255
J25-0041,9,3027,4320,540,6374
J25-0042,8,3048,4320,597,7908
J25-0043,1,3069,4320,510,5828
J25-0044,5,3083,4320,496,5733
J25-0045,6,3087,4320,416,6830
J25-0046,3,3204,4320,655,5420
J25-0047,4,3245,4320,393,6759
J25-0048,7,3341,4320,539,6150
J25-0049,2,3447,4320,568,5552
J25-0050,6,3451,4320,416,6263
J25-0051,4,3494,4320,393,5587
J25-0052,8,3517,4320,597,6800
J25-0053,9,3649,4320,540,5875
J25-0054,0,3675,4320,395,6255
J25-0055,7,3755,4320,539,5576
J25-0056,5,3781,4320,496,6601
J25-0057,2,3893,4320,568,5432
J25-0058,3,3894,4320,655,6926
J25-0059,1,3910,4320,510,6303
J25-0060,1,3979,4320,510,5815
J25-0061,9,4063,4320,540,5993
J25-0062,6,4089,4320,416,6920
J25-0063,3,4099,4320,655,5889
J25-0064,2,4162,4320,568,5513
J25-0065,4,4203,4320,393,6523
J25-0066,5,4222,4320,496,5426
J25-0067,7,4242,4320,539,6242
J25-0068,0,4363,5760,395,9093
J25-0069,8,4429,5760,597,8898
J25-0070,7,4430,5760,539,8736
J25-0071,8,4436,5760,597,7112
J25-0072,6,4437,5760,416,7698
J25-0073,3,4450,5760,655,8202
J25-0074,2,4481,5760,568,8514
J25-0075,4,4487,5760,393,7252
J25-0076,1,4510,5760,510,7321
J25-0077,9,4571,5760,540,7486
J25-0078,5,4665,5760,496,8601
J25-0079,0,4790,5760,395,8373
J25-0080,2,5020,5760,568,7358
J25-0081,4,5144,5760,393,9843
J25-0082,7,5224,5760,539,7736
J25-0083,0,5240,5760,395,7563
J25-0084,1,5242,5760,510,6989
J25-0085,6,5302,5760,416,7016
J25-0086,5,5323,5760,496,7760
J25-0087,8,5430,5760,597,8915
J25-0088,3,5476,5760,655,6827
J25-0089,9,5556,5760,540,7612
J25-0090,5,5594,5760,496,11308
J25-0091,9,5600,5760,540,7966
J25-0092,4,5711,5760,393,8717
J25-0093,6,5877,7200,416,8392
J25-0094,2,6087,7200,568,11262
J25-0095,8,6101,7200,597,11442
J25-0096,0,6184,7200,395,9642
J25-0097,7,6256,7200,539,8895
J25-0098,1,6281,7200,510,8621
J25-0099,3,6396,7200,655,9718
J25-0100,6,6440,7200,416,8316
J25-0101,0,6654,7200,395,9006
J25-0102,5,6664,7200,496,11390
J25-0103,8,6715,7200,597,8661
J25-0104,3,7011,7200,655,8539
J25-0105,1,7050,7200,510,8450
J25-0106,7,7086,7200,539,10085
J25-0107,2,7098,7200,568,8792
J25-0108,9,7286,8640,540,11163
J25-0109,4,7314,8640,393,10962
J25-0110,1,7314,8640,510,10039
J25-0111,0,7324,8640,395,10445
J25-0112,9,7332,8640,540,10645
J25-0113,4,7490,8640,393,11926
J25-0114,5,7567,8640,496,10626
J25-0115,8,7587,8640,597,11377
J25-0116,6,7618,8640,416,10808
J25-0117,3,7631,8640,655,11039
J25-0118,2,7741,8640,568,10633
J25-0119,7,7774,8640,539,10619
J25-0120,0,7824,8640,395,10872
J25-0121,5,7942,8640,496,10671
J25-0122,4,8036,8640,393,10385
J25-0123,8,8067,8640,597,10813
J25-0124,3,8184,8640,655,10575
J25-0125,7,8283,8640,539,10515
J25-0126,6,8351,8640,416,11179
J25-0127,1,8382,8640,510,11212
J25-0128,2,8415,8640,568,11635
J25-0129,9,8429,8640,540,10685
J25-0130,1,8439,8640,510,10050
J25-0131,8,8478,8640,597,10006
J25-0132,6,8582,8640,416,11736
J25-0133,5,8583,8640,496,11467
J25-0134,0,8623,8640,395,9809
J25-0135,3,8774,10080,655,11527
J25-0136,2,8827,10080,568,13522
J25-0137,4,8880,10080,393,12728
J25-0138,9,8899,10080,540,12205
