Job,Routing_ID,Arrival,Ready Time,End,Processing Time,Deadline
0,8,79,1440,2704.0,597,3660
1,6,129,1440,2336.0,416,2338
2,0,198,1440,2925.0,395,3744
3,2,243,1440,2801.0,568,3379
4,3,287,1440,2697.0,655,4856
5,1,498,1440,2630.0,510,3106
6,9,790,1440,2905.0,540,3539
7,5,925,1440,2930.0,496,2929
8,4,988,1440,2986.0,393,3541
9,7,1004,1440,3045.0,539,3578
10,0,1025,1440,3087.0,395,3345
11,1,1030,1440,2773.0,510,3210
12,2,1103,1440,3011.0,568,4385
13,3,1192,1440,2834.0,655,2567
14,4,1222,1440,3212.0,393,3315
15,5,1436,1440,3096.0,496,2981
16,6,1500,2880,3858.0,416,4558
17,7,1864,2880,4621.0,539,4980
18,8,1919,2880,4147.0,597,4772
19,9,1925,2880,4352.0,540,4621
20,1,1935,2880,4322.0,510,4834
21,5,1952,2880,4377.0,496,5368
22,9,2001,2880,4506.0,540,4784
23,8,2055,2880,4292.0,597,4676
24,3,2108,2880,4562.0,655,4809
25,2,2126,2880,4801.0,568,4780
26,6,2192,2880,4683.0,416,4415
27,7,2277,2880,4743.0,539,5711
28,0,2282,2880,4675.0,395,5291
29,4,2301,2880,4953.0,393,4675
30,0,2313,2880,4828.0,395,6015
31,1,2567,2880,4589.0,510,4377
32,6,2654,2880,4856.0,416,3881
33,2,2660,2880,5305.0,568,6738
34,8,2715,2880,5271.0,597,6387
35,5,2726,2880,4689.0,496,4126
36,4,2734,2880,5135.0,393,5231
37,7,2801,2880,5046.0,539,5173
38,3,2972,4320,5609.0,655,7669
39,9,3137,4320,5909.0,540,6259
40,0,3145,4320,6803.0,395,6171
41,9,3174,4320,6305.0,540,5836
42,8,3195,4320,6877.0,597,7213
43,1,3217,4320,6309.0,510,5714
44,5,3231,4320,7066.0,496,5957
45,6,3235,4320,5652.0,416,6188
46,3,3354,4320,6360.0,655,6149
47,4,3397,4320,6731.0,393,5671
48,7,3494,4320,6698.0,539,7551
49,2,3603,4320,6205.0,568,6414
50,6,3607,4320,6050.0,416,6371
51,4,3651,4320,6944.0,393,6988
52,8,3675,4320,7492.0,597,6437
53,9,3809,4320,6907.0,540,6614
54,0,3836,4320,7032.0,395,6171
55,7,3918,4320,6777.0,539,5859
56,5,3945,4320,7091.0,496,6686
57,2,4059,4320,6836.0,568,5362
58,3,4060,4320,6424.0,655,6044
59,1,4076,4320,6407.0,510,6187
60,1,4147,4320,6547.0,510,5633
61,9,4233,4320,6952.0,540,6533
62,6,4259,4320,6891.0,416,6091
63,3,4269,4320,6532.0,655,5959
64,2,4334,5760,7411.0,568,7976
65,4,4375,5760,8439.0,393,7640
66,5,4395,5760,8100.0,496,7396
67,7,4416,5760,8217.0,539,7920
68,0,4539,5760,8315.0,395,8948
69,8,4606,5760,7637.0,597,6778
70,7,4607,5760,8517.0,539,7887
71,8,4614,5760,8289.0,597,7583
72,6,4615,5760,7265.0,416,7261
73,3,4628,5760,8126.0,655,7489
74,2,4659,5760,7950.0,568,7742
75,4,4666,5760,8666.0,393,7277
76,1,4689,5760,7891.0,510,7750
77,9,4751,5760,8510.0,540,8821
78,5,4848,5760,8535.0,496,7603
79,0,4975,5760,8451.0,395,8259
80,2,5210,5760,8343.0,568,8362
81,4,5337,5760,8751.0,393,7621
82,7,5419,5760,8960.0,539,7265
83,0,5436,5760,8648.0,395,7484
84,1,5438,5760,8073.0,510,6816
85,6,5499,5760,8310.0,416,7735
86,5,5520,5760,8779.0,496,8234
87,8,5630,5760,8768.0,597,10332
88,3,5677,5760,8232.0,655,8515
89,9,5759,5760,8754.0,540,8570
90,5,5798,7200,9279.0,496,9445
91,9,5804,7200,9254.0,540,8770
92,4,5917,7200,9278.0,393,10305
93,6,6087,7200,8877.0,416,9229
