Job,Routing_ID,Arrival,Ready Time,End,Job Processing Time,Deadline
J25-0000,8,79,1440,2704.0,597,3660
J25-0001,6,129,1440,2336.0,416,2338
J25-0002,0,198,1440,2925.0,395,3744
J25-0003,2,243,1440,2801.0,568,3379
J25-0004,3,287,1440,2697.0,655,4856
J25-0005,1,498,1440,2630.0,510,3106
J25-0006,9,790,1440,2905.0,540,3539
J25-0007,5,925,1440,2930.0,496,2929
J25-0008,4,988,1440,2986.0,393,3541
J25-0009,7,1004,1440,3045.0,539,3578
J25-0010,0,1025,1440,3087.0,395,3345
J25-0011,1,1030,1440,2773.0,510,3210
J25-0012,2,1103,1440,3011.0,568,4385
J25-0013,3,1192,1440,2834.0,655,2567
J25-0014,4,1222,1440,3212.0,393,3315
J25-0015,5,1436,1440,3096.0,496,2981
J25-0016,6,1500,2880,3858.0,416,4558
J25-0017,7,1864,2880,4621.0,539,4980
J25-0018,8,1919,2880,4147.0,597,4772
J25-0019,9,1925,2880,4352.0,540,4621
J25-0020,1,1935,2880,4322.0,510,4834
J25-0021,5,1952,2880,4377.0,496,5368
J25-0022,9,2001,2880,4506.0,540,4784
J25-0023,8,2055,2880,4292.0,597,4676
J25-0024,3,2108,2880,4562.0,655,4809
J25-0025,2,2126,2880,4801.0,568,4780
J25-0026,6,2192,2880,4683.0,416,4415
J25-0027,7,2277,2880,4743.0,539,5711
J25-0028,0,2282,2880,4675.0,395,5291
J25-0029,4,2301,2880,4953.0,393,4675
J25-0030,0,2313,2880,4828.0,395,6015
J25-0031,1,2567,2880,4589.0,510,4377
J25-0032,6,2654,2880,4856.0,416,3881
J25-0033,2,2660,2880,5305.0,568,6738
J25-0034,8,2715,2880,5271.0,597,6387
J25-0035,5,2726,2880,4689.0,496,4126
J25-0036,4,2734,2880,5135.0,393,5231
J25-0037,7,2801,2880,5046.0,539,5173
J25-0038,3,2972,4320,5609.0,655,7669
J25-0039,9,3137,4320,5909.0,540,6259
J25-0040,0,3145,4320,6803.0,395,6171
J25-0041,9,3174,4320,6305.0,540,5836
J25-0042,8,3195,4320,6877.0,597,7213
J25-0043,1,3217,4320,6309.0,510,5714
J25-0044,5,3231,4320,7066.0,496,5957
J25-0045,6,3235,4320,5652.0,416,6188
J25-0046,3,3354,4320,6360.0,655,6149
J25-0047,4,3397,4320,6731.0,393,5671
J25-0048,7,3494,4320,6698.0,539,7551
J25-0049,2,3603,4320,6205.0,568,6414
J25-0050,6,3607,4320,6050.0,416,6371
J25-0051,4,3651,4320,6944.0,393,6988
J25-0052,8,3675,4320,7492.0,597,6437
J25-0053,9,3809,4320,6907.0,540,6614
J25-0054,0,3836,4320,7032.0,395,6171
J25-0055,7,3918,4320,6777.0,539,5859
J25-0056,5,3945,4320,7091.0,496,6686
J25-0057,2,4059,4320,6836.0,568,5362
J25-0058,3,4060,4320,6424.0,655,6044
J25-0059,1,4076,4320,6407.0,510,6187
J25-0060,1,4147,4320,6547.0,510,5633
J25-0061,9,4233,4320,6952.0,540,6533
J25-0062,6,4259,4320,6891.0,416,6091
J25-0063,3,4269,4320,6532.0,655,5959
J25-0064,2,4334,5760,7411.0,568,7976
J25-0065,4,4375,5760,8439.0,393,7640
J25-0066,5,4395,5760,8100.0,496,7396
J25-0067,7,4416,5760,8217.0,539,7920
J25-0068,0,4539,5760,8315.0,395,8948
J25-0069,8,4606,5760,7637.0,597,6778
J25-0070,7,4607,5760,8517.0,539,7887
J25-0071,8,4614,5760,8289.0,597,7583
J25-0072,6,4615,5760,7265.0,416,7261
J25-0073,3,4628,5760,8126.0,655,7489
J25-0074,2,4659,5760,7950.0,568,7742
J25-0075,4,4666,5760,8666.0,393,7277
J25-0076,1,4689,5760,7891.0,510,7750
J25-0077,9,4751,5760,8510.0,540,8821
J25-0078,5,4848,5760,8535.0,496,7603
J25-0079,0,4975,5760,8451.0,395,8259
J25-0080,2,5210,5760,8343.0,568,8362
J25-0081,4,5337,5760,8751.0,393,7621
J25-0082,7,5419,5760,8960.0,539,7265
J25-0083,0,5436,5760,8648.0,395,7484
J25-0084,1,5438,5760,8073.0,510,6816
J25-0085,6,5499,5760,8310.0,416,7735
J25-0086,5,5520,5760,8779.0,496,8234
J25-0087,8,5630,5760,8768.0,597,10332
J25-0088,3,5677,5760,8232.0,655,8515
J25-0089,9,5759,5760,8754.0,540,8570
J25-0090,5,5798,7200,9279.0,496,9445
J25-0091,9,5804,7200,9254.0,540,8770
J25-0092,4,5917,7200,9278.0,393,10305
J25-0093,6,6087,7200,8877.0,416,9229
J25-0094,2,6301,7200,9013.0,568,9363
J25-0095,8,6316,7200,9050.0,597,9096
J25-0096,0,6401,7200,9153.0,395,9536
J25-0097,7,6475,7200,9189.0,539,9963
J25-0098,1,6499,7200,9080.0,510,9598
J25-0099,3,6617,7200,9175.0,655,8140
J25-0100,6,6662,7200,9233.0,416,9014
J25-0101,0,6881,7200,9274.0,395,8928
J25-0102,5,6891,7200,9550.0,496,9344
J25-0103,8,6944,7200,9543.0,597,10029
J25-0104,3,7246,8640,10453.0,655,11531
J25-0105,1,7285,8640,10458.0,510,10669
J25-0106,7,7322,8640,10387.0,539,12806
J25-0107,2,7335,8640,9981.0,568,10336
J25-0108,9,7527,8640,10619.0,540,11106
J25-0109,4,7555,8640,10525.0,393,10454
J25-0110,1,7556,8640,10648.0,510,10541
J25-0111,0,7566,8640,10752.0,395,10366
J25-0112,9,7574,8640,10928.0,540,10090
J25-0113,4,7735,8640,10666.0,393,11012
J25-0114,5,7814,8640,10502.0,496,10427
J25-0115,8,7834,8640,10349.0,597,11772
J25-0116,6,7866,8640,10426.0,416,9932
J25-0117,3,7880,8640,10496.0,655,9830
J25-0118,2,7992,8640,10922.0,568,9864
J25-0119,7,8026,8640,10932.0,539,10703
J25-0120,0,8076,8640,10861.0,395,10775
J25-0121,5,8198,8640,10712.0,496,10851
J25-0122,4,8294,8640,11008.0,393,10350
