Job,Production_Plan_ID,Operation,Machine,Processing Time,Arrival,Ready Time
0,0,0,M00,29,51,1440
0,0,1,M01,78,51,1440
0,0,2,M02,9,51,1440
0,0,3,M03,36,51,1440
0,0,4,M04,49,51,1440
0,0,5,M05,11,51,1440
0,0,6,M06,62,51,1440
0,0,7,M07,56,51,1440
0,0,8,M08,44,51,1440
0,0,9,M09,21,51,1440
1,1,0,M00,43,136,1440
1,1,1,M02,90,136,1440
1,1,2,M04,75,136,1440
1,1,3,M09,11,136,1440
1,1,4,M03,69,136,1440
1,1,5,M01,28,136,1440
1,1,6,M06,46,136,1440
1,1,7,M05,46,136,1440
1,1,8,M07,72,136,1440
1,1,9,M08,30,136,1440
2,2,0,M01,91,158,1440
2,2,1,M00,85,158,1440
2,2,2,M03,39,158,1440
2,2,3,M02,74,158,1440
2,2,4,M08,90,158,1440
2,2,5,M05,10,158,1440
2,2,6,M07,12,158,1440
2,2,7,M06,89,158,1440
2,2,8,M09,45,158,1440
2,2,9,M04,33,158,1440
3,3,0,M01,81,236,1440
3,3,1,M02,95,236,1440
3,3,2,M00,71,236,1440
3,3,3,M04,99,236,1440
3,3,4,M06,9,236,1440
3,3,5,M08,52,236,1440
3,3,6,M07,85,236,1440
3,3,7,M03,98,236,1440
3,3,8,M09,22,236,1440
3,3,9,M05,43,236,1440
4,4,0,M02,14,404,1440
4,4,1,M00,6,404,1440
4,4,2,M01,22,404,1440
4,4,3,M05,61,404,1440
4,4,4,M03,26,404,1440
4,4,5,M04,69,404,1440
4,4,6,M08,21,404,1440
4,4,7,M07,49,404,1440
4,4,8,M09,72,404,1440
4,4,9,M06,53,404,1440
5,5,0,M02,84,485,1440
5,5,1,M01,2,485,1440
5,5,2,M05,52,485,1440
5,5,3,M03,95,485,1440
5,5,4,M08,48,485,1440
5,5,5,M09,72,485,1440
5,5,6,M00,47,485,1440
5,5,7,M06,65,485,1440
5,5,8,M04,6,485,1440
5,5,9,M07,25,485,1440
6,6,0,M01,46,501,1440
6,6,1,M00,37,501,1440
6,6,2,M03,61,501,1440
6,6,3,M02,13,501,1440
6,6,4,M06,32,501,1440
6,6,5,M05,21,501,1440
6,6,6,M09,32,501,1440
6,6,7,M08,89,501,1440
6,6,8,M07,30,501,1440
6,6,9,M04,55,501,1440
7,7,0,M02,31,528,1440
7,7,1,M00,86,528,1440
7,7,2,M01,46,528,1440
7,7,3,M05,74,528,1440
7,7,4,M04,32,528,1440
7,7,5,M06,88,528,1440
7,7,6,M08,19,528,1440
7,7,7,M09,48,528,1440
7,7,8,M07,36,528,1440
7,7,9,M03,79,528,1440
8,8,0,M00,76,550,1440
8,8,1,M01,69,550,1440
8,8,2,M03,76,550,1440
8,8,3,M05,51,550,1440
8,8,4,M02,85,550,1440
8,8,5,M09,11,550,1440
8,8,6,M06,40,550,1440
8,8,7,M07,89,550,1440
8,8,8,M04,26,550,1440
8,8,9,M08,74,550,1440
9,9,0,M01,85,559,1440
9,9,1,M00,13,559,1440
9,9,2,M02,61,559,1440
9,9,3,M06,7,559,1440
9,9,4,M08,64,559,1440
9,9,5,M09,76,559,1440
9,9,6,M05,47,559,1440
9,9,7,M03,52,559,1440
9,9,8,M04,90,559,1440
9,9,9,M07,45,559,1440
10,0,0,M00,29,963,1440
10,0,1,M01,78,963,1440
10,0,2,M02,9,963,1440
10,0,3,M03,36,963,1440
10,0,4,M04,49,963,1440
10,0,5,M05,11,963,1440
10,0,6,M06,62,963,1440
10,0,7,M07,56,963,1440
10,0,8,M08,44,963,1440
10,0,9,M09,21,963,1440
11,9,0,M01,85,969,1440
11,9,1,M00,13,969,1440
11,9,2,M02,61,969,1440
11,9,3,M06,7,969,1440
11,9,4,M08,64,969,1440
11,9,5,M09,76,969,1440
11,9,6,M05,47,969,1440
11,9,7,M03,52,969,1440
11,9,8,M04,90,969,1440
11,9,9,M07,45,969,1440
12,8,0,M00,76,992,1440
12,8,1,M01,69,992,1440
12,8,2,M03,76,992,1440
12,8,3,M05,51,992,1440
12,8,4,M02,85,992,1440
12,8,5,M09,11,992,1440
12,8,6,M06,40,992,1440
12,8,7,M07,89,992,1440
12,8,8,M04,26,992,1440
12,8,9,M08,74,992,1440
13,2,0,M01,91,1046,1440
13,2,1,M00,85,1046,1440
13,2,2,M03,39,1046,1440
13,2,3,M02,74,1046,1440
13,2,4,M08,90,1046,1440
13,2,5,M05,10,1046,1440
13,2,6,M07,12,1046,1440
13,2,7,M06,89,1046,1440
13,2,8,M09,45,1046,1440
13,2,9,M04,33,1046,1440
14,4,0,M02,14,1177,1440
14,4,1,M00,6,1177,1440
14,4,2,M01,22,1177,1440
14,4,3,M05,61,1177,1440
14,4,4,M03,26,1177,1440
14,4,5,M04,69,1177,1440
14,4,6,M08,21,1177,1440
14,4,7,M07,49,1177,1440
14,4,8,M09,72,1177,1440
14,4,9,M06,53,1177,1440
15,7,0,M02,31,1193,1440
15,7,1,M00,86,1193,1440
15,7,2,M01,46,1193,1440
15,7,3,M05,74,1193,1440
15,7,4,M04,32,1193,1440
15,7,5,M06,88,1193,1440
15,7,6,M08,19,1193,1440
15,7,7,M09,48,1193,1440
15,7,8,M07,36,1193,1440
15,7,9,M03,79,1193,1440
16,1,0,M00,43,1310,1440
16,1,1,M02,90,1310,1440
16,1,2,M04,75,1310,1440
16,1,3,M09,11,1310,1440
16,1,4,M03,69,1310,1440
16,1,5,M01,28,1310,1440
16,1,6,M06,46,1310,1440
16,1,7,M05,46,1310,1440
16,1,8,M07,72,1310,1440
16,1,9,M08,30,1310,1440
17,3,0,M01,81,1343,1440
17,3,1,M02,95,1343,1440
17,3,2,M00,71,1343,1440
17,3,3,M04,99,1343,1440
17,3,4,M06,9,1343,1440
17,3,5,M08,52,1343,1440
17,3,6,M07,85,1343,1440
17,3,7,M03,98,1343,1440
17,3,8,M09,22,1343,1440
17,3,9,M05,43,1343,1440
18,5,0,M02,84,1459,2880
18,5,1,M01,2,1459,2880
18,5,2,M05,52,1459,2880
18,5,3,M03,95,1459,2880
18,5,4,M08,48,1459,2880
18,5,5,M09,72,1459,2880
18,5,6,M00,47,1459,2880
18,5,7,M06,65,1459,2880
18,5,8,M04,6,1459,2880
18,5,9,M07,25,1459,2880
19,6,0,M01,46,1460,2880
19,6,1,M00,37,1460,2880
19,6,2,M03,61,1460,2880
19,6,3,M02,13,1460,2880
19,6,4,M06,32,1460,2880
19,6,5,M05,21,1460,2880
19,6,6,M09,32,1460,2880
19,6,7,M08,89,1460,2880
19,6,8,M07,30,1460,2880
19,6,9,M04,55,1460,2880
20,7,0,M02,31,1537,2880
20,7,1,M00,86,1537,2880
20,7,2,M01,46,1537,2880
20,7,3,M05,74,1537,2880
20,7,4,M04,32,1537,2880
20,7,5,M06,88,1537,2880
20,7,6,M08,19,1537,2880
20,7,7,M09,48,1537,2880
20,7,8,M07,36,1537,2880
20,7,9,M03,79,1537,2880
21,3,0,M01,81,1561,2880
21,3,1,M02,95,1561,2880
21,3,2,M00,71,1561,2880
