Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
0,0,11,M00,11.0,29.0,29.0,40.0
0,1,11,M01,40.0,78.0,107.0,118.0
1,0,96,M00,96.0,43.0,43.0,139.0
0,2,11,M02,118.0,9.0,116.0,127.0
2,0,118,M01,118.0,91.0,91.0,209.0
0,3,11,M03,127.0,36.0,152.0,163.0
1,1,96,M02,139.0,90.0,133.0,229.0
0,4,11,M04,163.0,49.0,201.0,212.0
0,5,11,M05,212.0,11.0,212.0,223.0
0,6,11,M06,223.0,62.0,274.0,285.0
1,2,96,M04,229.0,75.0,208.0,304.0
4,0,197,M02,229.0,14.0,46.0,243.0
4,1,197,M00,243.0,6.0,52.0,249.0
2,1,118,M00,249.0,85.0,216.0,334.0
4,2,197,M01,249.0,22.0,74.0,271.0
5,0,263,M02,263.0,84.0,84.0,347.0
3,0,160,M01,271.0,81.0,192.0,352.0
4,3,197,M05,271.0,61.0,135.0,332.0
0,7,11,M07,285.0,56.0,330.0,341.0
1,3,96,M09,304.0,11.0,219.0,315.0
4,4,197,M03,332.0,26.0,161.0,358.0
0,8,11,M08,341.0,44.0,374.0,385.0
3,1,160,M02,352.0,95.0,287.0,447.0
8,0,356,M00,356.0,76.0,76.0,432.0
1,4,96,M03,358.0,69.0,331.0,427.0
4,5,197,M04,358.0,69.0,230.0,427.0
6,0,324,M01,381.0,46.0,103.0,427.0
0,9,11,M09,385.0,21.0,395.0,406.0
1,5,96,M01,427.0,28.0,359.0,455.0
2,2,118,M03,427.0,39.0,348.0,466.0
4,6,197,M08,427.0,21.0,251.0,448.0
6,1,324,M00,432.0,37.0,145.0,469.0
4,7,197,M07,448.0,49.0,300.0,497.0
1,6,96,M06,455.0,46.0,405.0,501.0
5,1,263,M01,455.0,2.0,194.0,457.0
8,1,356,M01,457.0,69.0,170.0,526.0
2,3,118,M02,466.0,74.0,422.0,540.0
3,2,160,M00,469.0,71.0,380.0,540.0
6,2,324,M03,469.0,61.0,206.0,530.0
4,8,197,M09,497.0,72.0,372.0,569.0
1,7,96,M05,501.0,46.0,451.0,547.0
9,0,441,M01,526.0,85.0,170.0,611.0
8,2,356,M03,530.0,76.0,250.0,606.0
2,4,118,M08,540.0,90.0,512.0,630.0
6,3,324,M02,540.0,13.0,229.0,553.0
3,3,160,M04,544.0,99.0,483.0,643.0
5,2,263,M05,547.0,52.0,336.0,599.0
6,4,324,M06,553.0,32.0,261.0,585.0
7,0,341,M02,553.0,31.0,243.0,584.0
1,8,96,M07,558.0,72.0,534.0,630.0
7,1,341,M00,584.0,86.0,329.0,670.0
4,9,197,M06,585.0,53.0,441.0,638.0
6,5,324,M05,599.0,21.0,296.0,620.0
5,3,263,M03,606.0,95.0,438.0,701.0
6,6,324,M09,620.0,32.0,328.0,652.0
1,9,96,M08,630.0,30.0,564.0,660.0
2,5,118,M05,630.0,10.0,522.0,640.0
2,6,118,M07,640.0,12.0,534.0,652.0
8,3,356,M05,640.0,51.0,335.0,691.0
3,4,160,M06,643.0,9.0,492.0,652.0
2,7,118,M06,652.0,89.0,623.0,741.0
3,5,160,M08,660.0,52.0,552.0,712.0
7,2,341,M01,670.0,46.0,375.0,716.0
9,1,441,M00,670.0,13.0,242.0,683.0
8,4,356,M02,691.0,85.0,420.0,776.0
3,6,160,M07,712.0,85.0,637.0,797.0
5,4,263,M08,712.0,48.0,497.0,760.0
7,3,341,M05,716.0,74.0,449.0,790.0
2,8,118,M09,741.0,45.0,668.0,786.0
6,7,324,M08,760.0,89.0,525.0,849.0
9,2,441,M02,776.0,61.0,396.0,837.0
2,9,118,M04,786.0,33.0,701.0,819.0
8,5,356,M09,786.0,11.0,441.0,797.0
3,7,160,M03,797.0,98.0,735.0,895.0
5,5,263,M09,797.0,72.0,606.0,869.0
8,6,356,M06,797.0,40.0,481.0,837.0
7,4,341,M04,819.0,32.0,510.0,851.0
9,3,441,M06,837.0,7.0,403.0,844.0
6,8,324,M07,849.0,30.0,555.0,879.0
9,4,441,M08,849.0,64.0,472.0,913.0
7,5,341,M06,851.0,88.0,598.0,939.0
6,9,324,M04,879.0,55.0,610.0,934.0
8,7,356,M07,879.0,89.0,612.0,968.0
5,6,263,M00,892.0,47.0,676.0,939.0
3,8,160,M09,895.0,22.0,757.0,917.0
3,9,160,M05,917.0,43.0,800.0,960.0
5,7,263,M06,939.0,65.0,741.0,1004.0
7,6,341,M08,939.0,19.0,617.0,958.0
7,7,341,M09,958.0,48.0,665.0,1006.0
8,8,356,M04,968.0,26.0,638.0,994.0
8,9,356,M08,994.0,74.0,712.0,1068.0
5,8,263,M04,1004.0,6.0,747.0,1010.0
7,8,341,M07,1006.0,36.0,701.0,1042.0
9,5,441,M09,1006.0,76.0,641.0,1082.0
5,9,263,M07,1042.0,25.0,804.0,1067.0
7,9,341,M03,1042.0,79.0,780.0,1121.0
9,6,441,M05,1082.0,47.0,688.0,1129.0
9,7,441,M03,1129.0,52.0,740.0,1181.0
9,8,441,M04,1181.0,90.0,830.0,1271.0
9,9,441,M07,1271.0,45.0,875.0,1316.0
