Job,Routing_ID,Operation,Machine,Processing Time,Arrival,Ready Time,Start,End
J25-0000,8,0,M00,76,75,1440,2062.0,2138.0
J25-0000,8,1,M01,69,75,1440,2299.0,2368.0
J25-0000,8,2,M03,76,75,1440,2532.0,2608.0
J25-0000,8,3,M05,51,75,1440,2608.0,2659.0
J25-0000,8,4,M02,85,75,1440,2690.0,2775.0
J25-0000,8,5,M09,11,75,1440,2775.0,2786.0
J25-0000,8,6,M06,40,75,1440,2786.0,2826.0
J25-0000,8,7,M07,89,75,1440,2826.0,2915.0
J25-0000,8,8,M04,26,75,1440,2915.0,2941.0
J25-0000,8,9,M08,74,75,1440,2941.0,3015.0
J25-0001,6,0,M01,46,123,1440,1867.0,1913.0
J25-0001,6,1,M00,37,123,1440,2025.0,2062.0
J25-0001,6,2,M03,61,123,1440,2062.0,2123.0
J25-0001,6,3,M02,13,123,1440,2218.0,2231.0
J25-0001,6,4,M06,32,123,1440,2231.0,2263.0
J25-0001,6,5,M05,21,123,1440,2299.0,2320.0
J25-0001,6,6,M09,32,123,1440,2324.0,2356.0
J25-0001,6,7,M08,89,123,1440,2356.0,2445.0
J25-0001,6,8,M07,30,123,1440,2512.0,2542.0
J25-0001,6,9,M04,55,123,1440,2546.0,2601.0
J25-0002,0,0,M00,29,187,1440,1854.0,1883.0
J25-0002,0,1,M01,78,187,1440,1913.0,1991.0
J25-0002,0,2,M02,9,187,1440,2209.0,2218.0
J25-0002,0,3,M03,36,187,1440,2496.0,2532.0
J25-0002,0,4,M04,49,187,1440,2610.0,2659.0
J25-0002,0,5,M05,11,187,1440,2659.0,2670.0
J25-0002,0,6,M06,62,187,1440,2700.0,2762.0
J25-0002,0,7,M07,56,187,1440,2762.0,2818.0
J25-0002,0,8,M08,44,187,1440,2826.0,2870.0
J25-0002,0,9,M09,21,187,1440,2870.0,2891.0
J25-0003,2,0,M01,91,231,1440,2180.0,2271.0
J25-0003,2,1,M00,85,231,1440,2271.0,2356.0
J25-0003,2,2,M03,39,231,1440,2359.0,2398.0
J25-0003,2,3,M02,74,231,1440,2423.0,2497.0
J25-0003,2,4,M08,90,231,1440,2497.0,2587.0
J25-0003,2,5,M05,10,231,1440,2587.0,2597.0
J25-0003,2,6,M07,12,231,1440,2597.0,2609.0
J25-0003,2,7,M06,89,231,1440,2611.0,2700.0
J25-0003,2,8,M09,45,231,1440,2730.0,2775.0
J25-0003,2,9,M04,33,231,1440,2775.0,2808.0
J25-0004,3,0,M01,81,271,1440,1991.0,2072.0
J25-0004,3,1,M02,95,271,1440,2105.0,2200.0
J25-0004,3,2,M00,71,271,1440,2200.0,2271.0
J25-0004,3,3,M04,99,271,1440,2271.0,2370.0
J25-0004,3,4,M06,9,271,1440,2602.0,2611.0
J25-0004,3,5,M08,52,271,1440,2613.0,2665.0
J25-0004,3,6,M07,85,271,1440,2665.0,2750.0
J25-0004,3,7,M03,98,271,1440,2750.0,2848.0
J25-0004,3,8,M09,22,271,1440,2848.0,2870.0
J25-0004,3,9,M05,43,271,1440,2870.0,2913.0
J25-0005,1,0,M00,43,472,1440,1911.0,1954.0
J25-0005,1,1,M02,90,472,1440,1954.0,2044.0
J25-0005,1,2,M04,75,472,1440,2044.0,2119.0
J25-0005,1,3,M09,11,472,1440,2141.0,2152.0
J25-0005,1,4,M03,69,472,1440,2202.0,2271.0
J25-0005,1,5,M01,28,472,1440,2271.0,2299.0
J25-0005,1,6,M06,46,472,1440,2303.0,2349.0
J25-0005,1,7,M05,46,472,1440,2349.0,2395.0
J25-0005,1,8,M07,72,472,1440,2395.0,2467.0
J25-0005,1,9,M08,30,472,1440,2467.0,2497.0
J25-0006,9,0,M01,85,749,1440,1782.0,1867.0
J25-0006,9,1,M00,13,749,1440,1898.0,1911.0
J25-0006,9,2,M02,61,749,1440,2044.0,2105.0
J25-0006,9,3,M06,7,749,1440,2105.0,2112.0
J25-0006,9,4,M08,64,749,1440,2112.0,2176.0
J25-0006,9,5,M09,76,749,1440,2176.0,2252.0
J25-0006,9,6,M05,47,749,1440,2252.0,2299.0
J25-0006,9,7,M03,52,749,1440,2307.0,2359.0
J25-0006,9,8,M04,90,749,1440,2370.0,2460.0
J25-0006,9,9,M07,45,749,1440,2467.0,2512.0
J25-0007,5,0,M02,84,877,1440,1597.0,1681.0
J25-0007,5,1,M01,2,877,1440,1712.0,1714.0
J25-0007,5,2,M05,52,877,1440,1714.0,1766.0
J25-0007,5,3,M03,95,877,1440,1963.0,2058.0
J25-0007,5,4,M08,48,877,1440,2058.0,2106.0
J25-0007,5,5,M09,72,877,1440,2356.0,2428.0
J25-0007,5,6,M00,47,877,1440,2428.0,2475.0
J25-0007,5,7,M06,65,877,1440,2475.0,2540.0
J25-0007,5,8,M04,6,877,1440,2540.0,2546.0
J25-0007,5,9,M07,25,877,1440,2546.0,2571.0
J25-0008,4,0,M02,14,936,1440,1569.0,1583.0
J25-0008,4,1,M00,6,936,1440,1655.0,1661.0
J25-0008,4,2,M01,22,936,1440,1714.0,1736.0
J25-0008,4,3,M05,61,936,1440,1856.0,1917.0
J25-0008,4,4,M03,26,936,1440,1937.0,1963.0
J25-0008,4,5,M04,69,936,1440,1963.0,2032.0
J25-0008,4,6,M08,21,936,1440,2032.0,2053.0
J25-0008,4,7,M07,49,936,1440,2110.0,2159.0
J25-0008,4,8,M09,72,936,1440,2252.0,2324.0
J25-0008,4,9,M06,53,936,1440,2349.0,2402.0
J25-0009,7,0,M02,31,951,1440,1538.0,1569.0
J25-0009,7,1,M00,86,951,1440,1569.0,1655.0
J25-0009,7,2,M01,46,951,1440,1736.0,1782.0
J25-0009,7,3,M05,74,951,1440,1782.0,1856.0
J25-0009,7,4,M04,32,951,1440,1857.0,1889.0
J25-0009,7,5,M06,88,951,1440,1919.0,2007.0
J25-0009,7,6,M08,19,951,1440,2007.0,2026.0
J25-0009,7,7,M09,48,951,1440,2026.0,2074.0
J25-0009,7,8,M07,36,951,1440,2074.0,2110.0
J25-0009,7,9,M03,79,951,1440,2123.0,2202.0
J25-0010,0,0,M00,29,971,1440,1746.0,1775.0
J25-0010,0,1,M01,78,971,1440,2102.0,2180.0
J25-0010,0,2,M02,9,971,1440,2200.0,2209.0
J25-0010,0,3,M03,36,971,1440,2271.0,2307.0
J25-0010,0,4,M04,49,971,1440,2460.0,2509.0
J25-0010,0,5,M05,11,971,1440,2509.0,2520.0
J25-0010,0,6,M06,62,971,1440,2540.0,2602.0
J25-0010,0,7,M07,56,971,1440,2609.0,2665.0
J25-0010,0,8,M08,44,971,1440,2665.0,2709.0
J25-0010,0,9,M09,21,971,1440,2709.0,2730.0
J25-0011,1,0,M00,43,976,1440,1523.0,1566.0
J25-0011,1,1,M02,90,976,1440,1681.0,1771.0
J25-0011,1,2,M04,75,976,1440,1782.0,1857.0
J25-0011,1,3,M09,11,976,1440,1857.0,1868.0
J25-0011,1,4,M03,69,976,1440,1868.0,1937.0
J25-0011,1,5,M01,28,976,1440,2072.0,2100.0
J25-0011,1,6,M06,46,976,1440,2112.0,2158.0
J25-0011,1,7,M05,46,976,1440,2158.0,2204.0
J25-0011,1,8,M07,72,976,1440,2204.0,2276.0
J25-0011,1,9,M08,30,976,1440,2279.0,2309.0
J25-0012,2,0,M01,91,1045,1440,1540.0,1631.0
J25-0012,2,1,M00,85,1045,1440,1661.0,1746.0
J25-0012,2,2,M03,39,1045,1440,1746.0,1785.0
J25-0012,2,3,M02,74,1045,1440,1785.0,1859.0
J25-0012,2,4,M08,90,1045,1440,1859.0,1949.0
J25-0012,2,5,M05,10,1045,1440,1949.0,1959.0
J25-0012,2,6,M07,12,1045,1440,1975.0,1987.0
J25-0012,2,7,M06,89,1045,1440,2007.0,2096.0
J25-0012,2,8,M09,45,1045,1440,2096.0,2141.0
J25-0012,2,9,M04,33,1045,1440,2218.0,2251.0
J25-0013,3,0,M01,81,1129,1440,1631.0,1712.0
J25-0013,3,1,M02,95,1129,1440,1859.0,1954.0
J25-0013,3,2,M00,71,1129,1440,1954.0,2025.0
J25-0013,3,3,M04,99,1129,1440,2119.0,2218.0
J25-0013,3,4,M06,9,1129,1440,2218.0,2227.0
J25-0013,3,5,M08,52,1129,1440,2227.0,2279.0
J25-0013,3,6,M07,85,1129,1440,2279.0,2364.0
J25-0013,3,7,M03,98,1129,1440,2398.0,2496.0
J25-0013,3,8,M09,22,1129,1440,2496.0,2518.0
J25-0013,3,9,M05,43,1129,1440,2520.0,2563.0
J25-0014,4,0,M02,14,1158,1440,1440.0,1454.0
J25-0014,4,1,M00,6,1158,1440,1454.0,1460.0
J25-0014,4,2,M01,22,1158,1440,1486.0,1508.0
J25-0014,4,3,M05,61,1158,1440,1592.0,1653.0
J25-0014,4,4,M03,26,1158,1440,1687.0,1713.0
J25-0014,4,5,M04,69,1158,1440,1713.0,1782.0
J25-0014,4,6,M08,21,1158,1440,1824.0,1845.0
J25-0014,4,7,M07,49,1158,1440,1854.0,1903.0
J25-0014,4,8,M09,72,1158,1440,1903.0,1975.0
J25-0014,4,9,M06,53,1158,1440,2158.0,2211.0
J25-0015,5,0,M02,84,1361,1440,1454.0,1538.0
J25-0015,5,1,M01,2,1361,1440,1538.0,1540.0
J25-0015,5,2,M05,52,1361,1440,1540.0,1592.0
J25-0015,5,3,M03,95,1361,1440,1592.0,1687.0
J25-0015,5,4,M08,48,1361,1440,1687.0,1735.0
J25-0015,5,5,M09,72,1361,1440,1735.0,1807.0
J25-0015,5,6,M00,47,1361,1440,1807.0,1854.0
J25-0015,5,7,M06,65,1361,1440,1854.0,1919.0
J25-0015,5,8,M04,6,1361,1440,1944.0,1950.0
J25-0015,5,9,M07,25,1361,1440,1950.0,1975.0
J25-0016,6,0,M01,46,1421,1440,1440.0,1486.0
J25-0016,6,1,M00,37,1421,1440,1486.0,1523.0
J25-0016,6,2,M03,61,1421,1440,1523.0,1584.0
J25-0016,6,3,M02,13,1421,1440,1584.0,1597.0
J25-0016,6,4,M06,32,1421,1440,1597.0,1629.0
J25-0016,6,5,M05,21,1421,1440,1653.0,1674.0
J25-0016,6,6,M09,32,1421,1440,1674.0,1706.0
J25-0016,6,7,M08,89,1421,1440,1735.0,1824.0
J25-0016,6,8,M07,30,1421,1440,1824.0,1854.0
J25-0016,6,9,M04,55,1421,1440,1889.0,1944.0
