Job,Production_Plan_ID,Operation,Machine,Processing Time
0,0,0,M00,29
0,0,1,M01,78
0,0,2,M02,9
0,0,3,M03,36
0,0,4,M04,49
0,0,5,M05,11
0,0,6,M06,62
0,0,7,M07,56
0,0,8,M08,44
0,0,9,M09,21
1,1,0,M00,43
1,1,1,M02,90
1,1,2,M04,75
1,1,3,M09,11
1,1,4,M03,69
1,1,5,M01,28
1,1,6,M06,46
1,1,7,M05,46
1,1,8,M07,72
1,1,9,M08,30
2,2,0,M01,91
2,2,1,M00,85
2,2,2,M03,39
2,2,3,M02,74
2,2,4,M08,90
2,2,5,M05,10
2,2,6,M07,12
2,2,7,M06,89
2,2,8,M09,45
2,2,9,M04,33
3,3,0,M01,81
3,3,1,M02,95
3,3,2,M00,71
3,3,3,M04,99
3,3,4,M06,9
3,3,5,M08,52
3,3,6,M07,85
3,3,7,M03,98
3,3,8,M09,22
3,3,9,M05,43
4,4,0,M02,14
4,4,1,M00,6
4,4,2,M01,22
4,4,3,M05,61
4,4,4,M03,26
4,4,5,M04,69
4,4,6,M08,21
4,4,7,M07,49
4,4,8,M09,72
4,4,9,M06,53
5,5,0,M02,84
5,5,1,M01,2
5,5,2,M05,52
5,5,3,M03,95
5,5,4,M08,48
5,5,5,M09,72
5,5,6,M00,47
5,5,7,M06,65
5,5,8,M04,6
5,5,9,M07,25
6,6,0,M01,46
6,6,1,M00,37
6,6,2,M03,61
6,6,3,M02,13
6,6,4,M06,32
6,6,5,M05,21
6,6,6,M09,32
6,6,7,M08,89
6,6,8,M07,30
6,6,9,M04,55
7,7,0,M02,31
7,7,1,M00,86
7,7,2,M01,46
7,7,3,M05,74
7,7,4,M04,32
7,7,5,M06,88
7,7,6,M08,19
7,7,7,M09,48
7,7,8,M07,36
7,7,9,M03,79
8,8,0,M00,76
8,8,1,M01,69
8,8,2,M03,76
8,8,3,M05,51
8,8,4,M02,85
8,8,5,M09,11
8,8,6,M06,40
8,8,7,M07,89
8,8,8,M04,26
8,8,9,M08,74
9,9,0,M01,85
9,9,1,M00,13
9,9,2,M02,61
9,9,3,M06,7
9,9,4,M08,64
9,9,5,M09,76
9,9,6,M05,47
9,9,7,M03,52
9,9,8,M04,90
9,9,9,M07,45
10,0,0,M00,29
10,0,1,M01,78
10,0,2,M02,9
10,0,3,M03,36
10,0,4,M04,49
10,0,5,M05,11
10,0,6,M06,62
10,0,7,M07,56
10,0,8,M08,44
10,0,9,M09,21
11,9,0,M01,85
11,9,1,M00,13
11,9,2,M02,61
11,9,3,M06,7
11,9,4,M08,64
11,9,5,M09,76
11,9,6,M05,47
11,9,7,M03,52
11,9,8,M04,90
11,9,9,M07,45
12,8,0,M00,76
12,8,1,M01,69
12,8,2,M03,76
12,8,3,M05,51
12,8,4,M02,85
12,8,5,M09,11
12,8,6,M06,40
12,8,7,M07,89
12,8,8,M04,26
12,8,9,M08,74
13,2,0,M01,91
13,2,1,M00,85
13,2,2,M03,39
13,2,3,M02,74
13,2,4,M08,90
13,2,5,M05,10
13,2,6,M07,12
13,2,7,M06,89
13,2,8,M09,45
13,2,9,M04,33
14,4,0,M02,14
14,4,1,M00,6
14,4,2,M01,22
14,4,3,M05,61
14,4,4,M03,26
14,4,5,M04,69
14,4,6,M08,21
14,4,7,M07,49
14,4,8,M09,72
14,4,9,M06,53
15,7,0,M02,31
15,7,1,M00,86
15,7,2,M01,46
15,7,3,M05,74
15,7,4,M04,32
15,7,5,M06,88
15,7,6,M08,19
15,7,7,M09,48
15,7,8,M07,36
15,7,9,M03,79
16,1,0,M00,43
16,1,1,M02,90
16,1,2,M04,75
16,1,3,M09,11
16,1,4,M03,69
16,1,5,M01,28
16,1,6,M06,46
16,1,7,M05,46
16,1,8,M07,72
16,1,9,M08,30
