Job,Production_Plan_ID,Operation,Machine,Arrival,Start,Processing Time,End
0,0,0,M00,49,1440.0,37.68,1477.68
0,0,1,M01,49,1486.0,93.23,1579.23
0,0,2,M02,49,1665.49,7.59,1673.08
0,0,3,M03,49,1673.08,34.84,1707.92
0,0,4,M04,49,1794.92,65.3,1860.22
0,0,5,M05,49,1860.22,11.75,1871.97
0,0,6,M06,49,1871.97,68.3,1940.27
0,0,7,M07,49,1940.27,49.22,1989.49
0,0,8,M08,49,2006.51,42.83,2049.34
0,0,9,M09,49,2090.03,29.44,2119.47
1,1,0,M00,130,1483.33,42.46,1525.79
1,1,1,M02,130,1538.0,127.49,1665.49
1,1,2,M04,130,1665.49,129.43,1794.92
1,1,3,M09,130,1794.92,7.91,1802.83
1,1,4,M03,130,1802.83,64.26,1867.09
1,1,5,M01,130,1867.09,28.85,1895.94
1,1,6,M06,130,1940.27,55.47,1995.74
1,1,7,M05,130,2004.13,48.91,2053.04
1,1,8,M07,130,2053.04,62.37,2115.41
1,1,9,M08,130,2712.81,44.63,2757.44
10,0,0,M00,922,1566.66,59.79,1626.45
10,0,1,M01,922,1683.98,63.12,1747.1
10,0,2,M02,922,1917.27,10.68,1927.95
10,0,3,M03,922,1981.99,30.09,2012.08
10,0,4,M04,922,2012.08,64.94,2077.02
10,0,5,M05,922,2106.85,11.26,2118.11
10,0,6,M06,922,2118.11,73.15,2191.26
10,0,7,M07,922,2191.26,83.37,2274.63
10,0,8,M08,922,2371.93,53.81,2425.74
11,9,0,M01,928,2142.3,95.28,2237.58
11,9,1,M00,928,2289.0,10.23,2299.23
11,9,2,M02,928,2409.96,62.7,2472.66
11,9,3,M06,928,2508.1,5.56,2513.66
11,9,4,M08,928,2513.66,102.2,2615.86
11,9,5,M09,928,2615.86,61.0,2676.86
11,9,6,M05,928,2676.86,48.06,2724.92
11,9,7,M03,928,2724.92,60.42,2785.34
12,8,0,M00,950,2007.19,82.82,2090.01
12,8,1,M01,950,2366.69,63.87,2430.56
12,8,2,M03,950,2487.07,62.23,2549.3
12,8,3,M05,950,2571.41,39.51,2610.92
12,8,4,M02,950,2657.11,131.71,2788.82
12,8,5,M09,950,2788.82,9.1,2797.92
12,8,6,M06,950,2830.75,65.84,2896.59
13,2,0,M01,1001,2237.58,83.49,2321.07
13,2,1,M00,1001,2321.07,67.6,2388.67
13,2,2,M03,1001,2395.0,45.21,2440.21
13,2,3,M02,1001,2485.25,75.67,2560.92
13,2,4,M08,1001,2839.67,113.89,2953.56
14,4,0,M02,1127,1686.09,14.45,1700.54
14,4,1,M00,1127,1826.25,5.28,1831.53
14,4,2,M01,1127,1895.94,20.13,1916.07
14,4,3,M05,1127,1916.07,88.06,2004.13
14,4,4,M03,1127,2012.08,26.73,2038.81
14,4,5,M04,1127,2077.02,54.11,2131.13
14,4,6,M08,1127,2156.0,23.13,2179.13
14,4,7,M07,1127,2274.63,49.36,2323.99
14,4,8,M09,1127,2335.89,76.87,2412.76
15,7,0,M02,1142,1743.8,30.58,1774.38
15,7,1,M00,1142,1928.55,78.64,2007.19
15,7,2,M01,1142,2321.07,45.62,2366.69
15,7,3,M05,1142,2405.41,82.45,2487.86
15,7,4,M04,1142,2739.67,35.19,2774.86
15,7,5,M06,1142,2774.86,55.89,2830.75
16,1,0,M00,1254,1714.36,69.36,1783.72
16,1,1,M02,1254,1783.72,133.55,1917.27
16,1,2,M04,1254,1931.13,57.55,1988.68
16,1,3,M09,1254,1988.68,12.26,2000.94
16,1,4,M03,1254,2038.81,67.16,2105.97
16,1,5,M01,1254,2432.95,29.98,2462.93
16,1,6,M06,1254,2572.66,31.62,2604.28
16,1,7,M05,1254,2610.92,33.52,2644.44
16,1,8,M07,1254,2727.86,73.57,2801.43
17,3,0,M01,1285,2462.93,88.88,2551.81
17,3,1,M02,1285,2560.92,96.19,2657.11
17,3,2,M00,1285,2657.11,69.72,2726.83
17,3,3,M04,1285,2796.42,103.52,2899.94
18,5,0,M02,1397,1927.95,151.16,2079.11
18,5,1,M01,1397,2430.56,2.39,2432.95
18,5,2,M05,1397,2487.86,61.23,2549.09
18,5,3,M03,1397,2549.3,69.28,2618.58
18,5,4,M08,1397,2665.09,47.72,2712.81
18,5,5,M09,1397,2712.81,52.45,2765.26
18,5,6,M00,1397,2765.26,46.02,2811.28
19,6,0,M01,1398,2103.48,38.82,2142.3
19,6,1,M00,1398,2142.3,38.02,2180.32
19,6,2,M03,1398,2180.32,46.77,2227.09
19,6,3,M02,1398,2472.66,12.59,2485.25
19,6,4,M06,1398,2513.66,18.41,2532.07
19,6,5,M05,1398,2549.09,22.32,2571.41
19,6,6,M09,1398,2571.41,37.22,2608.63
19,6,7,M08,1398,2757.44,82.23,2839.67
19,6,8,M07,1398,2839.67,39.42,2879.09
2,2,0,M01,151,1615.34,68.64,1683.98
2,2,1,M00,151,1783.72,42.53,1826.25
2,2,2,M03,151,1932.92,49.07,1981.99
2,2,3,M02,151,2142.23,78.33,2220.56
2,2,4,M08,151,2255.49,91.27,2346.76
2,2,5,M05,151,2399.21,6.2,2405.41
2,2,6,M07,151,2405.41,12.01,2417.42
2,2,7,M06,151,2417.42,90.68,2508.1
2,2,8,M09,151,2508.1,47.85,2555.95
3,3,0,M01,226,1955.48,77.75,2033.23
3,3,1,M02,226,2220.56,102.65,2323.21
3,3,2,M00,226,2388.67,89.11,2477.78
3,3,3,M04,226,2477.78,119.94,2597.72
3,3,4,M06,226,2604.28,6.7,2610.98
3,3,5,M08,226,2615.86,49.23,2665.09
3,3,6,M07,226,2671.33,56.53,2727.86
3,3,7,M03,226,2785.34,117.11,2902.45
4,4,0,M02,386,1440.0,11.12,1451.12
4,4,1,M00,386,1477.68,5.65,1483.33
4,4,2,M01,386,1579.23,36.11,1615.34
4,4,3,M05,386,1615.34,61.85,1677.19
4,4,4,M03,386,1707.92,28.51,1736.43
4,4,5,M04,386,1860.22,70.91,1931.13
4,4,6,M08,386,1931.13,21.78,1952.91
4,4,7,M07,386,1989.49,50.98,2040.47
4,4,8,M09,386,2040.47,49.56,2090.03
4,4,9,M06,386,2321.77,58.32,2380.09
5,5,0,M02,464,1454.0,57.76,1511.76
5,5,1,M01,464,1755.0,2.74,1757.74
