Job,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_000,0,M0,0,2297,1440,29,1469,-828,0,828
Job_004,0,M2,177,2462,1440,14,1454,-1008,0,1008
Job_006,0,M1,299,2718,1440,46,1486,-1232,0,1232
Job_014,0,M2,537,2823,1454,14,1468,-1355,0,1355
Job_005,0,M2,240,3125,1468,84,1552,-1573,0,1573
Job_004,1,M0,177,2462,1469,6,1475,-987,0,987
Job_010,0,M0,453,2751,1475,29,1504,-1247,0,1247
Job_000,1,M1,0,2297,1486,78,1564,-733,0,733
Job_006,1,M0,299,2718,1504,37,1541,-1177,0,1177
Job_006,2,M3,299,2718,1541,61,1602,-1116,0,1116
Job_014,1,M0,537,2823,1541,6,1547,-1276,0,1276
Job_001,0,M0,81,3047,1547,43,1590,-1457,0,1457
Job_012,0,M2,505,3389,1552,84,1636,-1753,0,1753
Job_004,2,M1,177,2462,1564,22,1586,-876,0,876
Job_004,3,M5,177,2462,1586,61,1647,-815,0,815
Job_010,1,M1,453,2751,1586,78,1664,-1087,0,1087
Job_008,0,M0,329,3801,1590,76,1666,-2135,0,2135
Job_000,2,M2,0,2297,1636,9,1645,-652,0,652
Job_000,3,M3,0,2297,1645,36,1681,-616,0,616
Job_006,3,M2,299,2718,1645,13,1658,-1060,0,1060
Job_001,1,M2,81,3047,1658,90,1748,-1299,0,1299
Job_006,4,M6,299,2718,1658,32,1690,-1028,0,1028
Job_014,2,M1,537,2823,1664,22,1686,-1137,0,1137
Job_016,0,M0,610,3576,1666,43,1709,-1867,0,1867
Job_000,4,M4,0,2297,1681,49,1730,-567,0,567
Job_004,4,M3,177,2462,1681,26,1707,-755,0,755
Job_014,3,M5,537,2823,1686,61,1747,-1076,0,1076
Job_015,0,M1,555,2974,1686,46,1732,-1242,0,1242
Job_028,0,M0,1391,3688,1709,29,1738,-1950,0,1950
Job_004,5,M4,177,2462,1730,69,1799,-663,0,663
Job_005,1,M1,240,3125,1732,2,1734,-1391,0,1391
Job_002,0,M1,101,3404,1734,91,1825,-1579,0,1579
Job_015,1,M0,555,2974,1738,37,1775,-1199,0,1199
Job_000,5,M5,0,2297,1747,11,1758,-539,0,539
Job_014,4,M3,537,2823,1747,26,1773,-1050,0,1050
Job_010,2,M2,453,2751,1748,9,1757,-994,0,994
Job_007,0,M2,315,3450,1757,31,1788,-1662,0,1662
Job_000,6,M6,0,2297,1758,62,1820,-477,0,477
Job_006,5,M5,299,2718,1758,21,1779,-939,0,939
Job_010,3,M3,453,2751,1773,36,1809,-942,0,942
Job_030,0,M0,1423,3720,1775,29,1804,-1916,0,1916
Job_005,2,M5,240,3125,1779,52,1831,-1294,0,1294
Job_006,6,M9,299,2718,1779,32,1811,-907,0,907
Job_016,1,M2,610,3576,1788,90,1878,-1698,0,1698
Job_004,6,M8,177,2462,1799,21,1820,-642,0,642
Job_014,5,M4,537,2823,1799,69,1868,-955,0,955
Job_007,1,M0,315,3450,1804,86,1890,-1560,0,1560
Job_015,2,M3,555,2974,1809,61,1870,-1104,0,1104
Job_000,7,M7,0,2297,1820,56,1876,-421,0,421
Job_006,7,M8,299,2718,1820,89,1909,-809,0,809
Job_009,0,M1,410,3551,1825,85,1910,-1641,0,1641
Job_010,4,M4,453,2751,1868,49,1917,-834,0,834
Job_005,3,M3,240,3125,1870,95,1965,-1160,0,1160
Job_004,7,M7,177,2462,1876,49,1925,-537,0,537
Job_015,3,M2,555,2974,1878,13,1891,-1083,0,1083
Job_002,1,M0,101,3404,1890,85,1975,-1429,0,1429
Job_013,0,M2,535,3669,1891,31,1922,-1747,0,1747
Job_015,4,M6,555,2974,1891,32,1923,-1051,0,1051
Job_000,8,M8,0,2297,1909,44,1953,-344,0,344
Job_012,1,M1,505,3389,1910,2,1912,-1477,0,1477
