Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
1,1,0,M00,136,2401,1440,43,1483,-918,0,918
3,3,0,M01,236,1873,1440,81,1521,-352,0,352
15,7,0,M02,1193,3082,1440,31,1471,-1611,0,1611
4,4,0,M02,404,3093,1471,14,1485,-1608,0,1608
12,8,0,M00,992,2717,1483,76,1559,-1158,0,1158
7,7,0,M02,528,4218,1485,31,1516,-2702,0,2702
3,3,1,M02,236,1873,1521,95,1616,-257,0,257
6,6,0,M01,501,2430,1521,46,1567,-863,0,863
10,0,0,M00,963,3141,1559,29,1588,-1553,0,1553
2,2,0,M01,158,2557,1567,91,1658,-899,0,899
4,4,1,M00,404,3093,1588,6,1594,-1499,0,1499
1,1,1,M02,136,2401,1616,90,1706,-695,0,695
3,3,2,M00,236,1873,1616,71,1687,-186,0,186
9,9,0,M01,559,2615,1658,85,1743,-872,0,872
3,3,3,M04,236,1873,1687,99,1786,-87,0,87
6,6,1,M00,501,2430,1687,37,1724,-706,0,706
5,5,0,M02,485,2665,1706,84,1790,-875,0,875
2,2,1,M00,158,2557,1724,85,1809,-748,0,748
6,6,2,M03,501,2430,1724,61,1785,-645,0,645
12,8,1,M01,992,2717,1743,69,1812,-905,0,905
1,1,2,M04,136,2401,1786,75,1861,-540,0,540
3,3,4,M06,236,1873,1786,9,1795,-78,0,78
6,6,3,M02,501,2430,1790,13,1803,-627,0,627
3,3,5,M08,236,1873,1795,52,1847,-26,0,26
6,6,4,M06,501,2430,1803,32,1835,-595,0,595
14,4,0,M02,1177,4133,1803,14,1817,-2316,0,2316
2,2,2,M03,158,2557,1809,39,1848,-709,0,709
9,9,1,M00,559,2615,1809,13,1822,-793,0,793
5,5,1,M01,485,2665,1812,2,1814,-851,0,851
5,5,2,M05,485,2665,1814,52,1866,-799,0,799
11,9,0,M01,969,3062,1814,85,1899,-1163,0,1163
8,8,0,M00,550,3151,1822,76,1898,-1253,0,1253
9,9,2,M02,559,2615,1822,61,1883,-732,0,732
3,3,6,M07,236,1873,1847,85,1932,59,59,0
12,8,2,M03,992,2717,1848,76,1924,-793,0,793
1,1,3,M09,136,2401,1861,11,1872,-529,0,529
6,6,5,M05,501,2430,1866,21,1887,-543,0,543
2,2,3,M02,158,2557,1883,74,1957,-600,0,600
9,9,3,M06,559,2615,1883,7,1890,-725,0,725
6,6,6,M09,501,2430,1887,32,1919,-511,0,511
9,9,4,M08,559,2615,1890,64,1954,-661,0,661
15,7,1,M00,1193,3082,1898,86,1984,-1098,0,1098
13,2,0,M01,1046,3095,1899,91,1990,-1105,0,1105
12,8,3,M05,992,2717,1924,51,1975,-742,0,742
3,3,7,M03,236,1873,1932,98,2030,157,157,0
6,6,7,M08,501,2430,1954,89,2043,-387,0,387
9,9,5,M09,559,2615,1954,76,2030,-585,0,585
12,8,4,M02,992,2717,1975,85,2060,-657,0,657
11,9,1,M00,969,3062,1984,13,1997,-1065,0,1065
8,8,1,M01,550,3151,1990,69,2059,-1092,0,1092
13,2,1,M00,1046,3095,1997,85,2082,-1013,0,1013
1,1,4,M03,136,2401,2030,69,2099,-302,0,302
3,3,8,M09,236,1873,2030,22,2052,179,179,0
2,2,4,M08,158,2557,2043,90,2133,-424,0,424
6,6,8,M07,501,2430,2043,30,2073,-357,0,357
3,3,9,M05,236,1873,2052,43,2095,222,222,0
15,7,2,M01,1193,3082,2059,46,2105,-977,0,977
11,9,2,M02,969,3062,2060,61,2121,-941,0,941
12,8,5,M09,992,2717,2060,11,2071,-646,0,646
12,8,6,M06,992,2717,2071,40,2111,-606,0,606
0,0,0,M00,51,3302,2082,29,2111,-1191,0,1191
9,9,6,M05,559,2615,2095,47,2142,-473,0,473
5,5,3,M03,485,2665,2099,95,2194,-471,0,471
1,1,5,M01,136,2401,2105,28,2133,-268,0,268
12,8,7,M07,992,2717,2111,89,2200,-517,0,517
16,1,0,M00,1310,3414,2111,43,2154,-1260,0,1260
11,9,3,M06,969,3062,2121,7,2128,-934,0,934
1,1,6,M06,136,2401,2133,46,2179,-222,0,222
10,0,1,M01,963,3141,2133,78,2211,-930,0,930
11,9,4,M08,969,3062,2133,64,2197,-865,0,865
2,2,5,M05,158,2557,2142,10,2152,-405,0,405
15,7,3,M05,1193,3082,2152,74,2226,-856,0,856
7,7,1,M00,528,4218,2154,86,2240,-1978,0,1978
16,1,1,M02,1310,3414,2154,90,2244,-1170,0,1170
9,9,7,M03,559,2615,2194,52,2246,-369,0,369
5,5,4,M08,485,2665,2197,48,2245,-420,0,420
11,9,5,M09,969,3062,2197,76,2273,-789,0,789
2,2,6,M07,158,2557,2200,12,2212,-345,0,345
12,8,8,M04,992,2717,2200,26,2226,-491,0,491
4,4,2,M01,404,3093,2211,22,2233,-860,0,860
2,2,7,M06,158,2557,2212,89,2301,-256,0,256
1,1,7,M05,136,2401,2226,46,2272,-129,0,129
15,7,4,M04,1193,3082,2226,32,2258,-824,0,824
0,0,1,M01,51,3302,2233,78,2311,-991,0,991
14,4,1,M00,1177,4133,2240,6,2246,-1887,0,1887
10,0,2,M02,963,3141,2244,9,2253,-888,0,888
8,8,2,M03,550,3151,2246,76,2322,-829,0,829
9,9,8,M04,559,2615,2258,90,2348,-267,0,267
1,1,8,M07,136,2401,2272,72,2344,-57,0,57
4,4,3,M05,404,3093,2272,61,2333,-760,0,760
5,5,5,M09,485,2665,2273,72,2345,-320,0,320
15,7,5,M06,1193,3082,2301,88,2389,-693,0,693
0,0,2,M02,51,3302,2311,9,2320,-982,0,982
