Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
48,8,6,M06,3478,6467,5760,40,5800,-667,0,667
58,6,0,M01,4516,6599,5760,46,5806,-793,0,793
70,0,0,M00,5513,7491,5760,29,5789,-1702,0,1702
45,3,7,M03,3320,6599,5766,98,5864,-735,0,735
67,0,0,M00,5409,7387,5789,29,5818,-1569,0,1569
57,7,8,M07,4281,6979,5791,36,5827,-1152,0,1152
70,0,1,M01,5513,7491,5806,78,5884,-1607,0,1607
58,6,1,M00,4516,6599,5818,37,5855,-744,0,744
54,8,5,M09,3934,6923,5823,11,5834,-1089,0,1089
59,4,0,M02,4537,6504,5823,14,5837,-667,0,667
52,5,8,M04,3842,6325,5828,6,5834,-491,0,491
36,3,9,M05,2594,5873,5830,43,5873,0,0,0
54,8,6,M06,3934,6923,5834,40,5874,-1049,0,1049
56,2,3,M02,4216,7059,5837,74,5911,-1148,0,1148
59,4,1,M00,4537,6504,5855,6,5861,-643,0,643
69,1,0,M00,5426,7979,5861,43,5904,-2075,0,2075
45,3,8,M09,3320,6599,5864,22,5886,-713,0,713
58,6,2,M03,4516,6599,5864,61,5925,-674,0,674
59,4,2,M01,4537,6504,5884,22,5906,-598,0,598
44,9,9,M07,3235,5938,5893,45,5938,0,0,0
65,8,0,M00,5349,8338,5904,76,5980,-2358,0,2358
59,4,3,M05,4537,6504,5906,61,5967,-537,0,537
67,0,1,M01,5409,7387,5906,78,5984,-1403,0,1403
66,4,0,M02,5349,7316,5911,14,5925,-1391,0,1391
47,1,9,M08,3394,5947,5917,30,5947,0,0,0
58,6,3,M02,4516,6599,5925,13,5938,-661,0,661
48,8,7,M07,3478,6467,5938,89,6027,-440,0,440
58,6,4,M06,4516,6599,5938,32,5970,-629,0,629
61,7,0,M02,4888,7586,5938,31,5969,-1617,0,1617
56,2,4,M08,4216,7059,5947,90,6037,-1022,0,1022
59,4,4,M03,4537,6504,5967,26,5993,-511,0,511
55,0,9,M09,4012,5990,5969,21,5990,0,0,0
63,5,0,M02,5016,7499,5969,84,6053,-1446,0,1446
58,6,5,M05,4516,6599,5970,21,5991,-608,0,608
66,4,1,M00,5349,7316,5980,6,5986,-1330,0,1330
68,6,0,M01,5410,7493,5984,46,6030,-1463,0,1463
61,7,1,M00,4888,7586,5986,86,6072,-1514,0,1514
58,6,6,M09,4516,6599,5991,32,6023,-576,0,576
46,7,9,M03,3381,6079,6000,79,6079,0,0,0
54,8,7,M07,3934,6923,6027,89,6116,-807,0,807
66,4,2,M01,5349,7316,6030,22,6052,-1264,0,1264
56,2,5,M05,4216,7059,6037,10,6047,-1012,0,1012
58,6,7,M08,4516,6599,6037,89,6126,-473,0,473
43,2,9,M04,3229,6072,6039,33,6072,0,0,0
62,2,0,M01,4959,7802,6052,91,6143,-1659,0,1659
66,4,3,M05,5349,7316,6052,61,6113,-1203,0,1203
70,0,2,M02,5513,7491,6053,9,6062,-1429,0,1429
67,0,2,M02,5409,7387,6062,9,6071,-1316,0,1316
69,1,1,M02,5426,7979,6071,90,6161,-1818,0,1818
59,4,5,M04,4537,6504,6072,69,6141,-363,0,363
68,6,1,M00,5410,7493,6072,37,6109,-1384,0,1384
51,3,7,M03,3679,6958,6079,98,6177,-781,0,781
72,8,0,M00,5603,8592,6109,76,6185,-2407,0,2407
56,2,6,M07,4216,7059,6116,12,6128,-931,0,931
56,2,7,M06,4216,7059,6128,89,6217,-842,0,842
58,6,8,M07,4516,6599,6128,30,6158,-441,0,441
48,8,8,M04,3478,6467,6141,26,6167,-300,0,300
59,4,6,M08,4537,6504,6141,21,6162,-342,0,342
61,7,2,M01,4888,7586,6143,46,6189,-1397,0,1397
74,7,0,M02,5697,8395,6161,31,6192,-2203,0,2203
