Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_035,5,1820,4704,M9,4320,72,4392,-312,0,312
Job_050,0,3261,5559,M0,4320,29,4349,-1210,0,1210
Job_057,0,4029,7164,M2,4320,31,4351,-2813,0,2813
Job_063,0,4217,8026,M1,4320,81,4401,-3625,0,3625
Job_043,2,2429,5395,M4,4339,75,4414,-981,0,981
Job_054,0,3668,5954,M2,4351,14,4365,-1589,0,1589
Job_031,9,1424,4390,M8,4360,30,4390,0,0,0
Job_036,7,2156,4442,M7,4363,49,4412,-30,0,30
Job_048,0,2930,6064,M2,4365,31,4396,-1668,0,1668
Job_054,1,3668,5954,M0,4365,6,4371,-1583,0,1583
Job_033,2,1563,4866,M3,4366,39,4405,-461,0,461
Job_034,3,1683,5155,M5,4366,51,4417,-738,0,738
Job_039,4,2168,5309,M8,4390,64,4454,-855,0,855
Job_035,6,1820,4704,M0,4392,47,4439,-265,0,265
Job_050,1,3261,5559,M1,4401,78,4479,-1080,0,1080
Job_033,3,1563,4866,M2,4405,74,4479,-387,0,387
Job_047,4,2820,5106,M3,4405,26,4431,-675,0,675
Job_040,7,2313,4610,M7,4412,56,4468,-142,0,142
Job_043,3,2429,5395,M9,4419,11,4430,-965,0,965
Job_036,8,2156,4442,M9,4430,72,4502,60,60,0
Job_042,2,2366,5838,M3,4431,76,4507,-1331,0,1331
Job_047,5,2820,5106,M4,4431,69,4500,-606,0,606
Job_035,7,1820,4704,M6,4439,65,4504,-200,0,200
Job_058,0,4032,7504,M0,4439,76,4515,-2989,0,2989
Job_040,8,2313,4610,M8,4468,44,4512,-98,0,98
Job_034,4,1683,5155,M2,4479,85,4564,-591,0,591
Job_061,0,4074,7214,M1,4479,85,4564,-2650,0,2650
Job_036,9,2156,4442,M6,4504,53,4557,115,115,0
Job_027,9,1390,4524,M3,4507,79,4586,62,62,0
Job_042,3,2366,5838,M5,4507,51,4558,-1280,0,1280
Job_033,4,1563,4866,M8,4512,90,4602,-264,0,264
Job_051,0,3475,6441,M0,4515,43,4558,-1883,0,1883
Job_025,9,1252,4555,M4,4522,33,4555,0,0,0
Job_035,8,1820,4704,M4,4555,6,4561,-143,0,143
Job_019,9,808,4616,M5,4559,43,4602,-14,0,14
Job_038,3,2167,5976,M4,4561,99,4660,-1316,0,1316
Job_034,5,1683,5155,M9,4564,11,4575,-580,0,580
Job_050,2,3261,5559,M2,4564,9,4573,-986,0,986
Job_054,2,3668,5954,M1,4564,22,4586,-1368,0,1368
Job_061,1,4074,7214,M0,4564,13,4577,-2637,0,2637
Job_042,4,2366,5838,M2,4573,85,4658,-1180,0,1180
Job_034,6,1683,5155,M6,4575,40,4615,-540,0,540
Job_060,0,4071,7037,M0,4577,43,4620,-2417,0,2417
Job_050,3,3261,5559,M3,4586,36,4622,-937,0,937
Job_056,0,3877,6297,M1,4586,46,4632,-1665,0,1665
Job_040,9,2313,4610,M9,4589,21,4610,0,0,0
Job_033,5,1563,4866,M5,4602,10,4612,-254,0,254
Job_047,6,2820,5106,M8,4602,21,4623,-483,0,483
Job_033,6,1563,4866,M7,4612,12,4624,-242,0,242
Job_041,6,2328,5468,M5,4616,47,4663,-805,0,805
Job_043,4,2429,5395,M3,4622,69,4691,-704,0,704
Job_023,9,1211,4683,M8,4623,74,4697,14,14,0
Job_033,7,1563,4866,M6,4624,89,4713,-153,0,153
Job_047,7,2820,5106,M7,4624,49,4673,-433,0,433
Job_056,1,3877,6297,M0,4632,37,4669,-1628,0,1628
Job_062,0,4079,6499,M1,4632,46,4678,-1821,0,1821
