Job,Production_Plan_ID,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
64,9,7,M03,5183,7886,7200,52,7252,-634,0,634
68,6,7,M08,5410,7493,7200,89,7289,-204,0,204
87,2,0,M01,6857,9700,7200,91,7291,-2409,0,2409
92,8,0,M00,7122,10111,7200,76,7276,-2835,0,2835
86,4,0,M02,6755,8722,7251,14,7265,-1457,0,1457
64,9,8,M04,5183,7886,7252,90,7342,-544,0,544
66,4,9,M06,5349,7316,7263,53,7316,0,0,0
94,4,0,M02,7166,9133,7265,14,7279,-1854,0,1854
60,3,7,M03,4654,7933,7275,98,7373,-560,0,560
86,4,1,M00,6755,8722,7279,6,7285,-1437,0,1437
88,5,0,M02,6880,9363,7279,84,7363,-2000,0,2000
94,4,1,M00,7166,9133,7285,6,7291,-1842,0,1842
61,7,6,M08,4888,7586,7289,19,7308,-278,0,278
68,6,8,M07,5410,7493,7289,30,7319,-174,0,174
87,2,1,M00,6857,9700,7291,85,7376,-2324,0,2324
77,6,0,M01,6048,8131,7293,46,7339,-792,0,792
61,7,7,M09,4888,7586,7308,48,7356,-230,0,230
67,0,8,M08,5409,7387,7308,44,7352,-35,0,35
63,5,7,M06,5016,7499,7316,65,7381,-118,0,118
72,8,7,M07,5603,8592,7319,89,7408,-1184,0,1184
86,4,2,M01,6755,8722,7339,22,7361,-1361,0,1361
71,9,4,M08,5523,8226,7352,64,7416,-810,0,810
94,4,2,M01,7166,9133,7361,22,7383,-1750,0,1750
76,4,0,M02,5893,7860,7363,14,7377,-483,0,483
67,0,9,M09,5409,7387,7366,21,7387,0,0,0
87,2,2,M03,6857,9700,7376,39,7415,-2285,0,2285
76,4,1,M00,5893,7860,7377,6,7383,-477,0,477
63,5,8,M04,5016,7499,7381,6,7387,-112,0,112
73,2,7,M06,5637,8480,7381,89,7470,-1010,0,1010
76,4,2,M01,5893,7860,7383,22,7405,-455,0,455
77,6,1,M00,6048,8131,7383,37,7420,-711,0,711
60,3,8,M09,4654,7933,7387,22,7409,-524,0,524
88,5,1,M01,6880,9363,7405,2,7407,-1956,0,1956
95,2,0,M01,7178,10021,7407,91,7498,-2523,0,2523
61,7,8,M07,4888,7586,7408,36,7444,-142,0,142
72,8,8,M04,5603,8592,7408,26,7434,-1158,0,1158
87,2,3,M02,6857,9700,7415,74,7489,-2211,0,2211
76,4,3,M05,5893,7860,7420,61,7481,-379,0,379
77,6,2,M03,6048,8131,7420,61,7481,-650,0,650
89,8,0,M00,6974,9963,7420,76,7496,-2467,0,2467
68,6,9,M04,5410,7493,7438,55,7493,0,0,0
70,0,9,M09,5513,7491,7470,21,7491,0,0,0
63,5,9,M07,5016,7499,7474,25,7499,0,0,0
76,4,4,M03,5893,7860,7481,26,7507,-353,0,353
77,6,3,M02,6048,8131,7489,13,7502,-629,0,629
87,2,4,M08,6857,9700,7489,90,7579,-2121,0,2121
73,2,8,M09,5637,8480,7491,45,7536,-944,0,944
94,4,3,M05,7166,9133,7497,61,7558,-1575,0,1575
90,9,0,M01,7005,9708,7498,85,7583,-2125,0,2125
95,2,1,M00,7178,10021,7498,85,7583,-2438,0,2438
69,1,8,M07,5426,7979,7499,72,7571,-408,0,408
77,6,4,M06,6048,8131,7502,32,7534,-597,0,597
61,7,9,M03,4888,7586,7507,79,7586,0,0,0
76,4,5,M04,5893,7860,7507,69,7576,-284,0,284
71,9,5,M09,5523,8226,7536,76,7612,-614,0,614
77,6,5,M05,6048,8131,7558,21,7579,-552,0,552
83,7,0,M02,6371,9069,7568,31,7599,-1470,0,1470
76,4,6,M08,5893,7860,7579,21,7600,-260,0,260
87,2,5,M05,6857,9700,7579,10,7589,-2111,0,2111
89,8,1,M01,6974,9963,7583,69,7652,-2311,0,2311
90,9,1,M00,7005,9708,7583,13,7596,-2112,0,2112
94,4,4,M03,7166,9133,7586,26,7612,-1521,0,1521
87,2,6,M07,6857,9700,7589,12,7601,-2099,0,2099
81,0,0,M00,6286,8264,7596,29,7625,-639,0,639
90,9,2,M02,7005,9708,7599,61,7660,-2048,0,2048
76,4,7,M07,5893,7860,7601,49,7650,-210,0,210
87,2,7,M06,6857,9700,7607,89,7696,-2004,0,2004
71,9,6,M05,5523,8226,7612,47,7659,-567,0,567
77,6,6,M09,6048,8131,7612,32,7644,-487,0,487
94,4,5,M04,7166,9133,7612,69,7681,-1452,0,1452
95,2,2,M03,7178,10021,7620,39,7659,-2362,0,2362
78,1,0,M00,6102,8655,7625,43,7668,-987,0,987
76,4,8,M09,5893,7860,7650,72,7722,-138,0,138
91,3,0,M01,7006,10285,7653,81,7734,-2551,0,2551
71,9,7,M03,5523,8226,7659,52,7711,-515,0,515
95,2,3,M02,7178,10021,7660,74,7734,-2287,0,2287
83,7,1,M00,6371,9069,7668,86,7754,-1315,0,1315
