Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-09500-0004,01-04,0,M02,1440,14,1454,196,1440,3017
01-09500-0004,01-04,1,M00,1454,6,1460,196,1440,3017
01-09500-0004,01-04,2,M01,1531,22,1553,196,1440,3017
01-09500-0004,01-04,3,M05,1553,61,1614,196,1440,3017
01-09500-0004,01-04,4,M03,1655,26,1681,196,1440,3017
01-09500-0004,01-04,5,M04,1681,69,1750,196,1440,3017
01-09500-0004,01-04,6,M08,1819,21,1840,196,1440,3017
01-09500-0004,01-04,7,M07,1841,49,1890,196,1440,3017
01-09500-0004,01-04,8,M09,1975,72,2047,196,1440,3017
01-09500-0004,01-04,9,M06,2047,53,2100,196,1440,3017
01-09500-0000,01-07,0,M02,1454,31,1485,0,1440,3327
01-09500-0000,01-07,1,M00,1692,86,1778,0,1440,3327
01-09500-0000,01-07,2,M01,1792,46,1838,0,1440,3327
01-09500-0000,01-07,3,M05,2029,74,2103,0,1440,3327
01-09500-0000,01-07,4,M04,2103,32,2135,0,1440,3327
01-09500-0000,01-07,5,M06,2135,88,2223,0,1440,3327
01-09500-0000,01-07,6,M08,2223,19,2242,0,1440,3327
01-09500-0000,01-07,7,M09,2242,48,2290,0,1440,3327
01-09500-0000,01-07,8,M07,2352,36,2388,0,1440,3327
01-09500-0000,01-07,9,M03,2388,79,2467,0,1440,3327
01-09500-0005,01-02,0,M01,1440,91,1531,396,1440,2640
01-09500-0005,01-02,1,M00,1531,85,1616,396,1440,2640
01-09500-0005,01-02,2,M03,1616,39,1655,396,1440,2640
01-09500-0005,01-02,3,M02,1655,74,1729,396,1440,2640
01-09500-0005,01-02,4,M08,1729,90,1819,396,1440,2640
01-09500-0005,01-02,5,M05,1819,10,1829,396,1440,2640
01-09500-0005,01-02,6,M07,1829,12,1841,396,1440,2640
01-09500-0005,01-02,7,M06,1841,89,1930,396,1440,2640
01-09500-0005,01-02,8,M09,1930,45,1975,396,1440,2640
01-09500-0005,01-02,9,M04,1975,33,2008,396,1440,2640
01-09500-0002,01-01,0,M00,1460,43,1503,112,1440,3140
01-09500-0002,01-01,1,M02,1516,90,1606,112,1440,3140
01-09500-0002,01-01,2,M04,1606,75,1681,112,1440,3140
01-09500-0002,01-01,3,M09,1681,11,1692,112,1440,3140
01-09500-0002,01-01,4,M03,1692,69,1761,112,1440,3140
01-09500-0002,01-01,5,M01,1838,28,1866,112,1440,3140
01-09500-0002,01-01,6,M06,1937,46,1983,112,1440,3140
01-09500-0002,01-01,7,M05,1983,46,2029,112,1440,3140
01-09500-0002,01-01,8,M07,2029,72,2101,112,1440,3140
01-09500-0002,01-01,9,M08,2101,30,2131,112,1440,3140
01-09500-0016,01-07,0,M02,1485,31,1516,1345,1440,4197
01-09500-0016,01-07,1,M00,1876,86,1962,1345,1440,4197
01-09500-0016,01-07,2,M01,2208,46,2254,1345,1440,4197
01-09500-0016,01-07,3,M05,2324,74,2398,1345,1440,4197
01-09500-0016,01-07,4,M04,2801,32,2833,1345,1440,4197
01-09500-0016,01-07,5,M06,2874,88,2962,1345,1440,4197
01-09500-0016,01-07,6,M08,2974,19,2993,1345,1440,4197
01-09500-0016,01-07,7,M09,2995,48,3043,1345,1440,4197
01-09500-0016,01-07,8,M07,3043,36,3079,1345,1440,4197
01-09500-0016,01-07,9,M03,3113,79,3192,1345,1440,4197
01-09500-0008,01-09,0,M01,1553,85,1638,861,1440,3289
01-09500-0008,01-09,1,M00,1778,13,1791,861,1440,3289
01-09500-0008,01-09,2,M02,1791,61,1852,861,1440,3289
01-09500-0008,01-09,3,M06,1930,7,1937,861,1440,3289
01-09500-0008,01-09,4,M08,1937,64,2001,861,1440,3289
01-09500-0008,01-09,5,M09,2047,76,2123,861,1440,3289
01-09500-0008,01-09,6,M05,2123,47,2170,861,1440,3289
01-09500-0008,01-09,7,M03,2170,52,2222,861,1440,3289
01-09500-0008,01-09,8,M04,2222,90,2312,861,1440,3289
01-09500-0008,01-09,9,M07,2388,45,2433,861,1440,3289
01-09500-0013,01-04,0,M02,1606,14,1620,1054,1440,4647
01-09500-0013,01-04,1,M00,2036,6,2042,1054,1440,4647
01-09500-0013,01-04,2,M01,2254,22,2276,1054,1440,4647
01-09500-0013,01-04,3,M05,2398,61,2459,1054,1440,4647
01-09500-0013,01-04,4,M03,2467,26,2493,1054,1440,4647
01-09500-0013,01-04,5,M04,2873,69,2942,1054,1440,4647
01-09500-0013,01-04,6,M08,2993,21,3014,1054,1440,4647
01-09500-0013,01-04,7,M07,3079,49,3128,1054,1440,4647
01-09500-0013,01-04,8,M09,3135,72,3207,1054,1440,4647
01-09500-0013,01-04,9,M06,3207,53,3260,1054,1440,4647
01-09500-0012,01-08,0,M00,1616,76,1692,970,1440,3293
01-09500-0012,01-08,1,M01,1723,69,1792,970,1440,3293
01-09500-0012,01-08,2,M03,1792,76,1868,970,1440,3293
01-09500-0012,01-08,3,M05,1868,51,1919,970,1440,3293
