Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-09500-0000,01-07,9,M03,3247,79,3326,0,1440,3326
01-09500-0001,01-06,9,M04,3594,55,3649,47,1440,3649
01-09500-0002,01-01,9,M08,3105,30,3135,112,1440,3135
01-09500-0003,01-05,0,M02,3202,84,3286,155,1440,5310
01-09500-0003,01-05,1,M01,3286,2,3288,155,1440,5310
01-09500-0003,01-05,2,M05,3288,52,3340,155,1440,5310
01-09500-0003,01-05,3,M03,3340,95,3435,155,1440,5310
01-09500-0003,01-05,4,M08,3435,48,3483,155,1440,5310
01-09500-0003,01-05,5,M09,3483,72,3555,155,1440,5310
01-09500-0003,01-05,6,M00,3555,47,3602,155,1440,5310
01-09500-0003,01-05,7,M06,3602,65,3667,155,1440,5310
01-09500-0003,01-05,8,M04,3667,6,3673,155,1440,5310
01-09500-0003,01-05,9,M07,5285,25,5310,155,1440,5310
01-09500-0004,01-04,9,M06,2962,53,3015,196,1440,3015
01-09500-0006,01-00,9,M09,3989,21,4010,673,1440,4010
01-09500-0007,01-03,6,M07,2885,85,2970,801,1440,4088
01-09500-0007,01-03,7,M03,2970,98,3068,801,1440,4088
01-09500-0007,01-03,8,M09,3091,22,3113,801,1440,4088
01-09500-0007,01-03,9,M05,4045,43,4088,801,1440,4088
01-09500-0008,01-09,9,M07,3243,45,3288,861,1440,3288
01-09500-0009,01-08,0,M00,3753,76,3829,876,1440,5913
01-09500-0009,01-08,1,M01,3829,69,3898,876,1440,5913
01-09500-0009,01-08,2,M03,3898,76,3974,876,1440,5913
01-09500-0009,01-08,3,M05,3974,51,4025,876,1440,5913
01-09500-0009,01-08,4,M02,4025,85,4110,876,1440,5913
01-09500-0009,01-08,5,M09,4110,11,4121,876,1440,5913
01-09500-0009,01-08,6,M06,4121,40,4161,876,1440,5913
01-09500-0009,01-08,7,M07,4161,89,4250,876,1440,5913
01-09500-0009,01-08,8,M04,4250,26,4276,876,1440,5913
01-09500-0009,01-08,9,M08,5839,74,5913,876,1440,5913
01-09500-0010,01-06,9,M04,3736,55,3791,896,1440,3791
01-09500-0011,01-02,8,M09,2885,45,2930,901,1440,3991
01-09500-0011,01-02,9,M04,3958,33,3991,901,1440,3991
01-09500-0012,01-08,9,M08,3220,74,3294,970,1440,3294
01-09500-0013,01-04,6,M08,2883,21,2904,1054,1440,4643
01-09500-0013,01-04,7,M07,2970,49,3019,1054,1440,4643
01-09500-0013,01-04,8,M09,3019,72,3091,1054,1440,4643
01-09500-0013,01-04,9,M06,4590,53,4643,1054,1440,4643
01-09500-0014,01-09,9,M07,3469,45,3514,1083,1440,3514
01-09500-0015,01-01,9,M08,3759,30,3789,1285,1440,3789
01-09500-0016,01-07,9,M03,4118,79,4197,1345,1440,4197
01-09500-0017,01-05,0,M02,3475,84,3559,1691,2880,4451
01-09500-0017,01-05,1,M01,3575,2,3577,1691,2880,4451
01-09500-0017,01-05,2,M05,3637,52,3689,1691,2880,4451
01-09500-0017,01-05,3,M03,3694,95,3789,1691,2880,4451
01-09500-0017,01-05,4,M08,3789,48,3837,1691,2880,4451
01-09500-0017,01-05,5,M09,3837,72,3909,1691,2880,4451
01-09500-0017,01-05,6,M00,4087,47,4134,1691,2880,4451
01-09500-0017,01-05,7,M06,4193,65,4258,1691,2880,4451
01-09500-0017,01-05,8,M04,4276,6,4282,1691,2880,4451
01-09500-0017,01-05,9,M07,4426,25,4451,1691,2880,4451
01-09500-0018,01-03,0,M01,3709,81,3790,1743,2880,4895
01-09500-0018,01-03,1,M02,3790,95,3885,1743,2880,4895
01-09500-0018,01-03,2,M00,3885,71,3956,1743,2880,4895
01-09500-0018,01-03,3,M04,3991,99,4090,1743,2880,4895
01-09500-0018,01-03,4,M06,4090,9,4099,1743,2880,4895
01-09500-0018,01-03,5,M08,4117,52,4169,1743,2880,4895
01-09500-0018,01-03,6,M07,4335,85,4420,1743,2880,4895
01-09500-0018,01-03,7,M03,4433,98,4531,1743,2880,4895
01-09500-0018,01-03,8,M09,4531,22,4553,1743,2880,4895
01-09500-0018,01-03,9,M05,4852,43,4895,1743,2880,4895
01-09500-0019,01-00,0,M00,3127,29,3156,1748,2880,5073
01-09500-0019,01-00,1,M01,3167,78,3245,1748,2880,5073
01-09500-0019,01-00,2,M02,3286,9,3295,1748,2880,5073
01-09500-0019,01-00,3,M03,3435,36,3471,1748,2880,5073
01-09500-0019,01-00,4,M04,3673,49,3722,1748,2880,5073
01-09500-0019,01-00,5,M05,3722,11,3733,1748,2880,5073
01-09500-0019,01-00,6,M06,3733,62,3795,1748,2880,5073
01-09500-0019,01-00,7,M07,3795,56,3851,1748,2880,5073
01-09500-0019,01-00,8,M08,3851,44,3895,1748,2880,5073
01-09500-0019,01-00,9,M09,5052,21,5073,1748,2880,5073
01-09500-0020,01-05,0,M02,4388,84,4472,1758,2880,5944
01-09500-0020,01-05,1,M01,4472,2,4474,1758,2880,5944
01-09500-0020,01-05,2,M05,4610,52,4662,1758,2880,5944
01-09500-0020,01-05,3,M03,4662,95,4757,1758,2880,5944
01-09500-0020,01-05,4,M08,4848,48,4896,1758,2880,5944
01-09500-0020,01-05,5,M09,4896,72,4968,1758,2880,5944
01-09500-0020,01-05,6,M00,4968,47,5015,1758,2880,5944
01-09500-0020,01-05,7,M06,5036,65,5101,1758,2880,5944
01-09500-0020,01-05,8,M04,5101,6,5107,1758,2880,5944
01-09500-0020,01-05,9,M07,5919,25,5944,1758,2880,5944
01-09500-0021,01-03,0,M01,3448,81,3529,1774,2880,5037
01-09500-0021,01-03,1,M02,3559,95,3654,1774,2880,5037
01-09500-0021,01-03,2,M00,3668,71,3739,1774,2880,5037
01-09500-0021,01-03,3,M04,3791,99,3890,1774,2880,5037
01-09500-0021,01-03,4,M06,3890,9,3899,1774,2880,5037
01-09500-0021,01-03,5,M08,3899,52,3951,1774,2880,5037
01-09500-0021,01-03,6,M07,4250,85,4335,1774,2880,5037
01-09500-0021,01-03,7,M03,4335,98,4433,1774,2880,5037
01-09500-0021,01-03,8,M09,4433,22,4455,1774,2880,5037
01-09500-0021,01-03,9,M05,4994,43,5037,1774,2880,5037
01-09500-0022,01-01,0,M00,2880,43,2923,1820,2880,4698
01-09500-0022,01-01,1,M02,3385,90,3475,1820,2880,4698
01-09500-0022,01-01,2,M04,3475,75,3550,1820,2880,4698
01-09500-0022,01-01,3,M09,3555,11,3566,1820,2880,4698
01-09500-0022,01-01,4,M03,3586,69,3655,1820,2880,4698
01-09500-0022,01-01,5,M01,3898,28,3926,1820,2880,4698
01-09500-0022,01-01,6,M06,3926,46,3972,1820,2880,4698
01-09500-0022,01-01,7,M05,4228,46,4274,1820,2880,4698
01-09500-0022,01-01,8,M07,4542,72,4614,1820,2880,4698
01-09500-0022,01-01,9,M08,4668,30,4698,1820,2880,4698
01-09500-0023,01-04,0,M02,3654,14,3668,1871,2880,5495
01-09500-0023,01-04,1,M00,3739,6,3745,1871,2880,5495
01-09500-0023,01-04,2,M01,3792,22,3814,1871,2880,5495
01-09500-0023,01-04,3,M05,3844,61,3905,1871,2880,5495
01-09500-0023,01-04,4,M03,4069,26,4095,1871,2880,5495
01-09500-0023,01-04,5,M04,4136,69,4205,1871,2880,5495
01-09500-0023,01-04,6,M08,4205,21,4226,1871,2880,5495
01-09500-0023,01-04,7,M07,4493,49,4542,1871,2880,5495
01-09500-0023,01-04,8,M09,4627,72,4699,1871,2880,5495
01-09500-0023,01-04,9,M06,5442,53,5495,1871,2880,5495
01-09500-0024,01-08,0,M00,3156,76,3232,1922,2880,4676
01-09500-0024,01-08,1,M01,3379,69,3448,1922,2880,4676
01-09500-0024,01-08,2,M03,3510,76,3586,1922,2880,4676
01-09500-0024,01-08,3,M05,3586,51,3637,1922,2880,4676
01-09500-0024,01-08,4,M02,3885,85,3970,1922,2880,4676
01-09500-0024,01-08,5,M09,3970,11,3981,1922,2880,4676
01-09500-0024,01-08,6,M06,3981,40,4021,1922,2880,4676
01-09500-0024,01-08,7,M07,4021,89,4110,1922,2880,4676
01-09500-0024,01-08,8,M04,4110,26,4136,1922,2880,4676
01-09500-0024,01-08,9,M08,4594,74,4668,1922,2880,4676
01-09500-0025,01-02,0,M01,3288,91,3379,1939,2880,4686
01-09500-0025,01-02,1,M00,3379,85,3464,1939,2880,4686
01-09500-0025,01-02,2,M03,3471,39,3510,1939,2880,4686
01-09500-0025,01-02,3,M02,4269,74,4343,1939,2880,4686
01-09500-0025,01-02,4,M08,4349,90,4439,1939,2880,4686
01-09500-0025,01-02,5,M05,4439,10,4449,1939,2880,4686
01-09500-0025,01-02,6,M07,4481,12,4493,1939,2880,4686
01-09500-0025,01-02,7,M06,4493,89,4582,1939,2880,4686
01-09500-0025,01-02,8,M09,4582,45,4627,1939,2880,4686
01-09500-0025,01-02,9,M04,4653,33,4686,1939,2880,4686
01-09500-0026,01-09,0,M01,4347,85,4432,2001,2880,6195
01-09500-0026,01-09,1,M00,4480,13,4493,2001,2880,6195
01-09500-0026,01-09,2,M02,4493,61,4554,2001,2880,6195
01-09500-0026,01-09,3,M06,4582,7,4589,2001,2880,6195
01-09500-0026,01-09,4,M08,5011,64,5075,2001,2880,6195
01-09500-0026,01-09,5,M09,5145,76,5221,2001,2880,6195
01-09500-0026,01-09,6,M05,5221,47,5268,2001,2880,6195
01-09500-0026,01-09,7,M03,5268,52,5320,2001,2880,6195
01-09500-0026,01-09,8,M04,5320,90,5410,2001,2880,6195
