Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-09500-0000,01-07,9,M03,3247,79,3326,0,1440,3326
01-09500-0001,01-06,9,M04,3594,55,3649,47,1440,3649
01-09500-0002,01-01,9,M08,3105,30,3135,112,1440,3135
01-09500-0003,01-05,0,M02,3202,84,3286,155,1440,5310
01-09500-0003,01-05,1,M01,3319,2,3321,155,1440,5310
01-09500-0003,01-05,2,M05,3321,52,3373,155,1440,5310
01-09500-0003,01-05,3,M03,3426,95,3521,155,1440,5310
01-09500-0003,01-05,4,M08,3558,48,3606,155,1440,5310
01-09500-0003,01-05,5,M09,3606,72,3678,155,1440,5310
01-09500-0003,01-05,6,M00,3829,47,3876,155,1440,5310
01-09500-0003,01-05,7,M06,4123,65,4188,155,1440,5310
01-09500-0003,01-05,8,M04,4188,6,4194,155,1440,5310
01-09500-0003,01-05,9,M07,5285,25,5310,155,1440,5310
01-09500-0004,01-04,9,M06,2962,53,3015,196,1440,3015
01-09500-0006,01-00,9,M09,3989,21,4010,673,1440,4010
01-09500-0007,01-03,6,M07,2885,85,2970,801,1440,4088
01-09500-0007,01-03,7,M03,3655,98,3753,801,1440,4088
01-09500-0007,01-03,8,M09,3753,22,3775,801,1440,4088
01-09500-0007,01-03,9,M05,4045,43,4088,801,1440,4088
01-09500-0008,01-09,9,M07,3243,45,3288,861,1440,3288
01-09500-0009,01-08,0,M00,3753,76,3829,876,1440,5913
01-09500-0009,01-08,1,M01,3829,69,3898,876,1440,5913
01-09500-0009,01-08,2,M03,4593,76,4669,876,1440,5913
01-09500-0009,01-08,3,M05,4669,51,4720,876,1440,5913
01-09500-0009,01-08,4,M02,4720,85,4805,876,1440,5913
01-09500-0009,01-08,5,M09,4805,11,4816,876,1440,5913
01-09500-0009,01-08,6,M06,4832,40,4872,876,1440,5913
01-09500-0009,01-08,7,M07,4962,89,5051,876,1440,5913
01-09500-0009,01-08,8,M04,5051,26,5077,876,1440,5913
01-09500-0009,01-08,9,M08,5839,74,5913,876,1440,5913
01-09500-0010,01-06,9,M04,3736,55,3791,896,1440,3791
01-09500-0011,01-02,8,M09,2885,45,2930,901,1440,3991
01-09500-0011,01-02,9,M04,3958,33,3991,901,1440,3991
01-09500-0012,01-08,9,M08,3220,74,3294,970,1440,3294
01-09500-0013,01-04,6,M08,2883,21,2904,1054,1440,4643
01-09500-0013,01-04,7,M07,2970,49,3019,1054,1440,4643
01-09500-0013,01-04,8,M09,3019,72,3091,1054,1440,4643
01-09500-0013,01-04,9,M06,4590,53,4643,1054,1440,4643
01-09500-0014,01-09,9,M07,3469,45,3514,1083,1440,3514
01-09500-0015,01-01,9,M08,3759,30,3789,1285,1440,3789
01-09500-0016,01-07,9,M03,4118,79,4197,1345,1440,4197
01-09500-0017,01-05,0,M02,2880,84,2964,1691,2880,4451
01-09500-0017,01-05,1,M01,3025,2,3027,1691,2880,4451
01-09500-0017,01-05,2,M05,3027,52,3079,1691,2880,4451
01-09500-0017,01-05,3,M03,3560,95,3655,1691,2880,4451
01-09500-0017,01-05,4,M08,3696,48,3744,1691,2880,4451
01-09500-0017,01-05,5,M09,3775,72,3847,1691,2880,4451
01-09500-0017,01-05,6,M00,3876,47,3923,1691,2880,4451
01-09500-0017,01-05,7,M06,3923,65,3988,1691,2880,4451
01-09500-0017,01-05,8,M04,3991,6,3997,1691,2880,4451
01-09500-0017,01-05,9,M07,4426,25,4451,1691,2880,4451
01-09500-0018,01-03,0,M01,3571,81,3652,1743,2880,4895
01-09500-0018,01-03,1,M02,4089,95,4184,1743,2880,4895
01-09500-0018,01-03,2,M00,4214,71,4285,1743,2880,4895
01-09500-0018,01-03,3,M04,4319,99,4418,1743,2880,4895
01-09500-0018,01-03,4,M06,4447,9,4456,1743,2880,4895
01-09500-0018,01-03,5,M08,4507,52,4559,1743,2880,4895
01-09500-0018,01-03,6,M07,4576,85,4661,1743,2880,4895
01-09500-0018,01-03,7,M03,4721,98,4819,1743,2880,4895
01-09500-0018,01-03,8,M09,4819,22,4841,1743,2880,4895
01-09500-0018,01-03,9,M05,4852,43,4895,1743,2880,4895
01-09500-0019,01-00,0,M00,3115,29,3144,1748,2880,5073
01-09500-0019,01-00,1,M01,3493,78,3571,1748,2880,5073
01-09500-0019,01-00,2,M02,3772,9,3781,1748,2880,5073
01-09500-0019,01-00,3,M03,3781,36,3817,1748,2880,5073
01-09500-0019,01-00,4,M04,3890,49,3939,1748,2880,5073
01-09500-0019,01-00,5,M05,3952,11,3963,1748,2880,5073
01-09500-0019,01-00,6,M06,4770,62,4832,1748,2880,5073
01-09500-0019,01-00,7,M07,4832,56,4888,1748,2880,5073
01-09500-0019,01-00,8,M08,4913,44,4957,1748,2880,5073
01-09500-0019,01-00,9,M09,5052,21,5073,1748,2880,5073
01-09500-0020,01-05,0,M02,3960,84,4044,1758,2880,5944
01-09500-0020,01-05,1,M01,4044,2,4046,1758,2880,5944
01-09500-0020,01-05,2,M05,4088,52,4140,1758,2880,5944
01-09500-0020,01-05,3,M03,4364,95,4459,1758,2880,5944
01-09500-0020,01-05,4,M08,4459,48,4507,1758,2880,5944
01-09500-0020,01-05,5,M09,4507,72,4579,1758,2880,5944
01-09500-0020,01-05,6,M00,4579,47,4626,1758,2880,5944
01-09500-0020,01-05,7,M06,4643,65,4708,1758,2880,5944
01-09500-0020,01-05,8,M04,4708,6,4714,1758,2880,5944
01-09500-0020,01-05,9,M07,5919,25,5944,1758,2880,5944
01-09500-0021,01-03,0,M01,3238,81,3319,1774,2880,5037
01-09500-0021,01-03,1,M02,3865,95,3960,1774,2880,5037
01-09500-0021,01-03,2,M00,3960,71,4031,1774,2880,5037
01-09500-0021,01-03,3,M04,4031,99,4130,1774,2880,5037
01-09500-0021,01-03,4,M06,4188,9,4197,1774,2880,5037
01-09500-0021,01-03,5,M08,4197,52,4249,1774,2880,5037
01-09500-0021,01-03,6,M07,4249,85,4334,1774,2880,5037
01-09500-0021,01-03,7,M03,4459,98,4557,1774,2880,5037
01-09500-0021,01-03,8,M09,4579,22,4601,1774,2880,5037
01-09500-0021,01-03,9,M05,4994,43,5037,1774,2880,5037
01-09500-0022,01-01,0,M00,3069,43,3112,1820,2880,4698
01-09500-0022,01-01,1,M02,3112,90,3202,1820,2880,4698
01-09500-0022,01-01,2,M04,3202,75,3277,1820,2880,4698
01-09500-0022,01-01,3,M09,3277,11,3288,1820,2880,4698
01-09500-0022,01-01,4,M03,3817,69,3886,1820,2880,4698
01-09500-0022,01-01,5,M01,3900,28,3928,1820,2880,4698
01-09500-0022,01-01,6,M06,4077,46,4123,1820,2880,4698
01-09500-0022,01-01,7,M05,4140,46,4186,1820,2880,4698
01-09500-0022,01-01,8,M07,4334,72,4406,1820,2880,4698
01-09500-0022,01-01,9,M08,4668,30,4698,1820,2880,4698
01-09500-0023,01-04,0,M02,4075,14,4089,1871,2880,5495
01-09500-0023,01-04,1,M00,4161,6,4167,1871,2880,5495
01-09500-0023,01-04,2,M01,4207,22,4229,1871,2880,5495
01-09500-0023,01-04,3,M05,4367,61,4428,1871,2880,5495
01-09500-0023,01-04,4,M03,4695,26,4721,1871,2880,5495
01-09500-0023,01-04,5,M04,4721,69,4790,1871,2880,5495
01-09500-0023,01-04,6,M08,4957,21,4978,1871,2880,5495
01-09500-0023,01-04,7,M07,5051,49,5100,1871,2880,5495
01-09500-0023,01-04,8,M09,5100,72,5172,1871,2880,5495
01-09500-0023,01-04,9,M06,5442,53,5495,1871,2880,5495
01-09500-0024,01-08,0,M00,2956,76,3032,1922,2880,4676
01-09500-0024,01-08,1,M01,3032,69,3101,1922,2880,4676
01-09500-0024,01-08,2,M03,3101,76,3177,1922,2880,4676
01-09500-0024,01-08,3,M05,3177,51,3228,1922,2880,4676
01-09500-0024,01-08,4,M02,3286,85,3371,1922,2880,4676
01-09500-0024,01-08,5,M09,3371,11,3382,1922,2880,4676
01-09500-0024,01-08,6,M06,3416,40,3456,1922,2880,4676
01-09500-0024,01-08,7,M07,3514,89,3603,1922,2880,4676
01-09500-0024,01-08,8,M04,3649,26,3675,1922,2880,4676
01-09500-0024,01-08,9,M08,4594,74,4668,1922,2880,4676
01-09500-0025,01-02,0,M01,3321,91,3412,1939,2880,4686
01-09500-0025,01-02,1,M00,3412,85,3497,1939,2880,4686
01-09500-0025,01-02,2,M03,3521,39,3560,1939,2880,4686
01-09500-0025,01-02,3,M02,4184,74,4258,1939,2880,4686
01-09500-0025,01-02,4,M08,4258,90,4348,1939,2880,4686
01-09500-0025,01-02,5,M05,4428,10,4438,1939,2880,4686
01-09500-0025,01-02,6,M07,4451,12,4463,1939,2880,4686
01-09500-0025,01-02,7,M06,4463,89,4552,1939,2880,4686
01-09500-0025,01-02,8,M09,4601,45,4646,1939,2880,4686
01-09500-0025,01-02,9,M04,4653,33,4686,1939,2880,4686
01-09500-0026,01-09,0,M01,4492,85,4577,2001,2880,6195
01-09500-0026,01-09,1,M00,4626,13,4639,2001,2880,6195
01-09500-0026,01-09,2,M02,4639,61,4700,2001,2880,6195
01-09500-0026,01-09,3,M06,5022,7,5029,2001,2880,6195
01-09500-0026,01-09,4,M08,5029,64,5093,2001,2880,6195
01-09500-0026,01-09,5,M09,5220,76,5296,2001,2880,6195
01-09500-0026,01-09,6,M05,5296,47,5343,2001,2880,6195
01-09500-0026,01-09,7,M03,5407,52,5459,2001,2880,6195
01-09500-0026,01-09,8,M04,5459,90,5549,2001,2880,6195
