Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-08500-0003,01-05,3,M03,2940,95,3035,174,1440,3912
01-08500-0003,01-05,4,M08,3089,48,3137,174,1440,3912
01-08500-0003,01-05,5,M09,3137,72,3209,174,1440,3912
01-08500-0003,01-05,6,M00,3244,47,3291,174,1440,3912
01-08500-0003,01-05,7,M06,3395,65,3460,174,1440,3912
01-08500-0003,01-05,8,M04,3460,6,3466,174,1440,3912
01-08500-0003,01-05,9,M07,3887,25,3912,174,1440,3912
01-08500-0004,01-04,4,M03,2914,26,2940,219,1440,3628
01-08500-0004,01-04,5,M04,3055,69,3124,219,1440,3628
01-08500-0004,01-04,6,M08,3137,21,3158,219,1440,3628
01-08500-0004,01-04,7,M07,3158,49,3207,219,1440,3628
01-08500-0004,01-04,8,M09,3209,72,3281,219,1440,3628
01-08500-0004,01-04,9,M06,3575,53,3628,219,1440,3628
01-08500-0005,01-02,9,M04,3135,33,3168,443,1440,3168
01-08500-0006,01-00,4,M04,2914,49,2963,753,1440,3570
01-08500-0006,01-00,5,M05,2963,11,2974,753,1440,3570
01-08500-0006,01-00,6,M06,2974,62,3036,753,1440,3570
01-08500-0006,01-00,7,M07,3036,56,3092,753,1440,3570
01-08500-0006,01-00,8,M08,3158,44,3202,753,1440,3570
01-08500-0006,01-00,9,M09,3549,21,3570,753,1440,3570
01-08500-0007,01-03,9,M05,3336,43,3379,896,1440,3379
01-08500-0009,01-08,9,M08,3328,74,3402,979,1440,3402
01-08500-0010,01-06,9,M04,3000,55,3055,1002,1440,3055
01-08500-0012,01-08,9,M08,2929,74,3003,1084,1440,3003
01-08500-0013,01-04,9,M06,3247,53,3300,1178,1440,3300
01-08500-0014,01-09,0,M01,2927,85,3012,1210,1440,4277
01-08500-0014,01-09,1,M00,3034,13,3047,1210,1440,4277
01-08500-0014,01-09,2,M02,3111,61,3172,1210,1440,4277
01-08500-0014,01-09,3,M06,3172,7,3179,1210,1440,4277
01-08500-0014,01-09,4,M08,3202,64,3266,1210,1440,4277
01-08500-0014,01-09,5,M09,3313,76,3389,1210,1440,4277
01-08500-0014,01-09,6,M05,3389,47,3436,1210,1440,4277
01-08500-0014,01-09,7,M03,3469,52,3521,1210,1440,4277
01-08500-0014,01-09,8,M04,3521,90,3611,1210,1440,4277
01-08500-0014,01-09,9,M07,4232,45,4277,1210,1440,4277
01-08500-0015,01-01,9,M08,3059,30,3089,1437,1440,3089
01-08500-0016,01-07,0,M02,3262,31,3293,1504,2880,4447
01-08500-0016,01-07,1,M00,3304,86,3390,1504,2880,4447
01-08500-0016,01-07,2,M01,3418,46,3464,1504,2880,4447
01-08500-0016,01-07,3,M05,3464,74,3538,1504,2880,4447
01-08500-0016,01-07,4,M04,3611,32,3643,1504,2880,4447
01-08500-0016,01-07,5,M06,3674,88,3762,1504,2880,4447
01-08500-0016,01-07,6,M08,3824,19,3843,1504,2880,4447
01-08500-0016,01-07,7,M09,3843,48,3891,1504,2880,4447
01-08500-0016,01-07,8,M07,3912,36,3948,1504,2880,4447
01-08500-0016,01-07,9,M03,4368,79,4447,1504,2880,4447
01-08500-0017,01-05,0,M02,3014,84,3098,1890,2880,4254
01-08500-0017,01-05,1,M01,3159,2,3161,1890,2880,4254
01-08500-0017,01-05,2,M05,3164,52,3216,1890,2880,4254
01-08500-0017,01-05,3,M03,3216,95,3311,1890,2880,4254
01-08500-0017,01-05,4,M08,3485,48,3533,1890,2880,4254
01-08500-0017,01-05,5,M09,3618,72,3690,1890,2880,4254
01-08500-0017,01-05,6,M00,3708,47,3755,1890,2880,4254
01-08500-0017,01-05,7,M06,3762,65,3827,1890,2880,4254
01-08500-0017,01-05,8,M04,3872,6,3878,1890,2880,4254
01-08500-0017,01-05,9,M07,4207,25,4232,1890,2880,4254
01-08500-0018,01-03,0,M01,3246,81,3327,1948,2880,4769
01-08500-0018,01-03,1,M02,3439,95,3534,1948,2880,4769
01-08500-0018,01-03,2,M00,3551,71,3622,1948,2880,4769
01-08500-0018,01-03,3,M04,3773,99,3872,1948,2880,4769
01-08500-0018,01-03,4,M06,3916,9,3925,1948,2880,4769
01-08500-0018,01-03,5,M08,3925,52,3977,1948,2880,4769
01-08500-0018,01-03,6,M07,3977,85,4062,1948,2880,4769
01-08500-0018,01-03,7,M03,4156,98,4254,1948,2880,4769
01-08500-0018,01-03,8,M09,4254,22,4276,1948,2880,4769
01-08500-0018,01-03,9,M05,4726,43,4769,1948,2880,4769
