Job,Routing_ID,Operation,Machine,Start,Processing Time,End,Arrival,Ready Time,Due Date
01-0000,01-00,0,M00,119,29,148,,0,
01-0000,01-00,1,M01,448,78,526,,0,
01-0000,01-00,2,M02,526,9,535,,0,
01-0000,01-00,3,M03,535,36,571,,0,
01-0000,01-00,4,M04,571,49,620,,0,
01-0000,01-00,5,M05,643,11,654,,0,
01-0000,01-00,6,M06,654,62,716,,0,
01-0000,01-00,7,M07,721,56,777,,0,
01-0000,01-00,8,M08,819,44,863,,0,
01-0000,01-00,9,M09,908,21,929,,0,
01-0001,01-01,0,M00,0,43,43,,0,
01-0001,01-01,1,M02,227,90,317,,0,
01-0001,01-01,2,M04,355,75,430,,0,
01-0001,01-01,3,M09,430,11,441,,0,
01-0001,01-01,4,M03,571,69,640,,0,
01-0001,01-01,5,M01,640,28,668,,0,
01-0001,01-01,6,M06,716,46,762,,0,
01-0001,01-01,7,M05,762,46,808,,0,
01-0001,01-01,8,M07,813,72,885,,0,
01-0001,01-01,9,M08,885,30,915,,0,
01-0002,01-02,0,M01,311,91,402,,0,
01-0002,01-02,1,M00,408,85,493,,0,
01-0002,01-02,2,M03,493,39,532,,0,
01-0002,01-02,3,M02,535,74,609,,0,
01-0002,01-02,4,M08,609,90,699,,0,
01-0002,01-02,5,M05,699,10,709,,0,
01-0002,01-02,6,M07,709,12,721,,0,
01-0002,01-02,7,M06,762,89,851,,0,
01-0002,01-02,8,M09,851,45,896,,0,
01-0002,01-02,9,M04,896,33,929,,0,
01-0003,01-03,0,M01,0,81,81,,0,
01-0003,01-03,1,M02,87,95,182,,0,
01-0003,01-03,2,M00,185,71,256,,0,
01-0003,01-03,3,M04,256,99,355,,0,
01-0003,01-03,4,M06,362,9,371,,0,
01-0003,01-03,5,M08,371,52,423,,0,
01-0003,01-03,6,M07,423,85,508,,0,
01-0003,01-03,7,M03,695,98,793,,0,
01-0003,01-03,8,M09,793,22,815,,0,
01-0003,01-03,9,M05,815,43,858,,0,
01-0004,01-04,0,M02,182,14,196,,0,
01-0004,01-04,1,M00,256,6,262,,0,
01-0004,01-04,2,M01,289,22,311,,0,
01-0004,01-04,3,M05,311,61,372,,0,
01-0004,01-04,4,M03,386,26,412,,0,
01-0004,01-04,5,M04,430,69,499,,0,
01-0004,01-04,6,M08,499,21,520,,0,
01-0004,01-04,7,M07,533,49,582,,0,
01-0004,01-04,8,M09,596,72,668,,0,
01-0004,01-04,9,M06,851,53,904,,0,
01-0005,01-05,0,M02,3,84,87,,0,
01-0005,01-05,1,M01,87,2,89,,0,
01-0005,01-05,2,M05,89,52,141,,0,
01-0005,01-05,3,M03,141,95,236,,0,
01-0005,01-05,4,M08,236,48,284,,0,
01-0005,01-05,5,M09,284,72,356,,0,
01-0005,01-05,6,M00,361,47,408,,0,
01-0005,01-05,7,M06,429,65,494,,0,
01-0005,01-05,8,M04,499,6,505,,0,
01-0005,01-05,9,M07,508,25,533,,0,
01-0006,01-06,0,M01,89,46,135,,0,
01-0006,01-06,1,M00,148,37,185,,0,
01-0006,01-06,2,M03,236,61,297,,0,
01-0006,01-06,3,M02,317,13,330,,0,
01-0006,01-06,4,M06,330,32,362,,0,
01-0006,01-06,5,M05,424,21,445,,0,
01-0006,01-06,6,M09,445,32,477,,0,
01-0006,01-06,7,M08,520,89,609,,0,
01-0006,01-06,8,M07,671,30,701,,0,
01-0006,01-06,9,M04,838,55,893,,0,
01-0007,01-07,0,M02,196,31,227,,0,
01-0007,01-07,1,M00,262,86,348,,0,
01-0007,01-07,2,M01,402,46,448,,0,
01-0007,01-07,3,M05,448,74,522,,0,
01-0007,01-07,4,M04,522,32,554,,0,
01-0007,01-07,5,M06,560,88,648,,0,
01-0007,01-07,6,M08,699,19,718,,0,
01-0007,01-07,7,M09,718,48,766,,0,
01-0007,01-07,8,M07,777,36,813,,0,
01-0007,01-07,9,M03,813,79,892,,0,
01-0008,01-08,0,M00,43,76,119,,0,
01-0008,01-08,1,M01,220,69,289,,0,
01-0008,01-08,2,M03,297,76,373,,0,
01-0008,01-08,3,M05,373,51,424,,0,
01-0008,01-08,4,M02,424,85,509,,0,
01-0008,01-08,5,M09,509,11,520,,0,
01-0008,01-08,6,M06,520,40,560,,0,
01-0008,01-08,7,M07,582,89,671,,0,
01-0008,01-08,8,M04,671,26,697,,0,
01-0008,01-08,9,M08,741,74,815,,0,
01-0009,01-09,0,M01,135,85,220,,0,
01-0009,01-09,1,M00,348,13,361,,0,
01-0009,01-09,2,M02,361,61,422,,0,
01-0009,01-09,3,M06,422,7,429,,0,
01-0009,01-09,4,M08,429,64,493,,0,
01-0009,01-09,5,M09,520,76,596,,0,
01-0009,01-09,6,M05,596,47,643,,0,
01-0009,01-09,7,M03,643,52,695,,0,
01-0009,01-09,8,M04,737,90,827,,0,
01-0009,01-09,9,M07,885,45,930,,0,
