Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0005,1,498,1440,3106,0,M00,1440,43,1483
J25-0007,5,925,1440,2929,0,M02,1440,84,1524
J25-0013,3,1192,1440,2567,0,M01,1440,81,1521
J25-0011,1,1030,1440,3210,0,M00,1483,43,1526
J25-0001,6,129,1440,2338,0,M01,1521,46,1567
J25-0013,3,1192,1440,2567,1,M02,1524,95,1619
J25-0010,0,1025,1440,3345,0,M00,1526,29,1555
J25-0000,8,79,1440,3660,0,M00,1555,76,1631
J25-0007,5,925,1440,2929,1,M01,1567,2,1569
J25-0003,2,243,1440,3379,0,M01,1569,91,1660
J25-0007,5,925,1440,2929,2,M05,1569,52,1621
J25-0015,5,1436,1440,2981,0,M02,1619,84,1703
J25-0007,5,925,1440,2929,3,M03,1621,95,1716
J25-0001,6,129,1440,2338,1,M00,1631,37,1668
J25-0010,0,1025,1440,3345,1,M01,1660,78,1738
J25-0013,3,1192,1440,2567,2,M00,1668,71,1739
J25-0005,1,498,1440,3106,1,M02,1703,90,1793
J25-0001,6,129,1440,2338,2,M03,1716,61,1777
J25-0007,5,925,1440,2929,4,M08,1716,48,1764
J25-0015,5,1436,1440,2981,1,M01,1738,2,1740
J25-0003,2,243,1440,3379,1,M00,1739,85,1824
J25-0013,3,1192,1440,2567,3,M04,1739,99,1838
J25-0006,9,790,1440,3539,0,M01,1740,85,1825
J25-0015,5,1436,1440,2981,2,M05,1740,52,1792
J25-0007,5,925,1440,2929,5,M09,1764,72,1836
J25-0015,5,1436,1440,2981,3,M03,1792,95,1887
J25-0001,6,129,1440,2338,3,M02,1793,13,1806
J25-0001,6,129,1440,2338,4,M06,1806,32,1838
J25-0011,1,1030,1440,3210,1,M02,1806,90,1896
J25-0002,0,198,1440,3744,0,M00,1824,29,1853
J25-0000,8,79,1440,3660,1,M01,1825,69,1894
J25-0001,6,129,1440,2338,5,M05,1838,21,1859
J25-0005,1,498,1440,3106,2,M04,1838,75,1913
J25-0013,3,1192,1440,2567,4,M06,1838,9,1847
J25-0013,3,1192,1440,2567,5,M08,1847,52,1899
J25-0007,5,925,1440,2929,6,M00,1853,47,1900
J25-0001,6,129,1440,2338,6,M09,1859,32,1891
J25-0003,2,243,1440,3379,2,M03,1887,39,1926
J25-0002,0,198,1440,3744,1,M01,1894,78,1972
J25-0014,4,1222,1440,3315,0,M02,1896,14,1910
J25-0001,6,129,1440,2338,7,M08,1899,89,1988
J25-0013,3,1192,1440,2567,6,M07,1899,85,1984
J25-0006,9,790,1440,3539,1,M00,1900,13,1913
J25-0007,5,925,1440,2929,7,M06,1900,65,1965
J25-0009,7,1004,1440,3578,0,M02,1910,31,1941
J25-0005,1,498,1440,3106,3,M09,1913,11,1924
J25-0011,1,1030,1440,3210,2,M04,1913,75,1988
J25-0014,4,1222,1440,3315,1,M00,1913,6,1919
J25-0005,1,498,1440,3106,4,M03,1926,69,1995
J25-0003,2,243,1440,3379,3,M02,1941,74,2015
J25-0009,7,1004,1440,3578,1,M00,1941,86,2027
J25-0014,4,1222,1440,3315,2,M01,1972,22,1994
J25-0001,6,129,1440,2338,8,M07,1988,30,2018
J25-0007,5,925,1440,2929,8,M04,1988,6,1994
J25-0011,1,1030,1440,3210,3,M09,1988,11,1999
J25-0015,5,1436,1440,2981,4,M08,1988,48,2036
J25-0012,2,1103,1440,4385,0,M01,1994,91,2085
J25-0014,4,1222,1440,3315,3,M05,1994,61,2055
J25-0013,3,1192,1440,2567,7,M03,1995,98,2093
J25-0010,0,1025,1440,3345,2,M02,2015,9,2024
J25-0001,6,129,1440,2338,9,M04,2018,55,2073
J25-0007,5,925,1440,2929,9,M07,2018,25,2043
J25-0006,9,790,1440,3539,2,M02,2024,61,2085
J25-0003,2,243,1440,3379,4,M08,2036,90,2126
J25-0015,5,1436,1440,2981,5,M09,2036,72,2108
J25-0005,1,498,1440,3106,5,M01,2085,28,2113
J25-0006,9,790,1440,3539,3,M06,2085,7,2092
J25-0008,4,988,1440,3541,0,M02,2085,14,2099
J25-0012,2,1103,1440,4385,1,M00,2085,85,2170
J25-0011,1,1030,1440,3210,4,M03,2093,69,2162
J25-0002,0,198,1440,3744,2,M02,2099,9,2108
J25-0013,3,1192,1440,2567,8,M09,2108,22,2130
J25-0005,1,498,1440,3106,6,M06,2113,46,2159
J25-0009,7,1004,1440,3578,2,M01,2113,46,2159
J25-0003,2,243,1440,3379,5,M05,2126,10,2136
J25-0006,9,790,1440,3539,4,M08,2126,64,2190
J25-0003,2,243,1440,3379,6,M07,2136,12,2148
J25-0013,3,1192,1440,2567,9,M05,2136,43,2179
J25-0003,2,243,1440,3379,7,M06,2159,89,2248
J25-0004,3,287,1440,4856,0,M01,2159,81,2240
J25-0014,4,1222,1440,3315,4,M03,2162,26,2188
J25-0015,5,1436,1440,2981,6,M00,2170,47,2217
J25-0005,1,498,1440,3106,7,M05,2179,46,2225
J25-0010,0,1025,1440,3345,3,M03,2188,36,2224
J25-0014,4,1222,1440,3315,5,M04,2188,69,2257
J25-0006,9,790,1440,3539,5,M09,2190,76,2266
J25-0008,4,988,1440,3541,1,M00,2217,6,2223
J25-0000,8,79,1440,3660,2,M03,2224,76,2300
J25-0005,1,498,1440,3106,8,M07,2225,72,2297
J25-0009,7,1004,1440,3578,3,M05,2225,74,2299
J25-0004,3,287,1440,4856,1,M02,2240,95,2335
J25-0011,1,1030,1440,3210,5,M01,2240,28,2268
J25-0015,5,1436,1440,2981,7,M06,2248,65,2313
J25-0010,0,1025,1440,3345,4,M04,2257,49,2306
J25-0014,4,1222,1440,3315,6,M08,2257,21,2278
J25-0003,2,243,1440,3379,8,M09,2266,45,2311
