Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0000,8,79,1440,3660,9,M08,3586,74,3660
J25-0002,0,198,1440,3744,9,M09,3723,21,3744
J25-0003,2,243,1440,3379,9,M04,3346,33,3379
J25-0004,3,287,1440,4856,6,M07,2981,85,3066
J25-0004,3,287,1440,4856,7,M03,3066,98,3164
J25-0004,3,287,1440,4856,8,M09,3164,22,3186
J25-0004,3,287,1440,4856,9,M05,4813,43,4856
J25-0005,1,498,1440,3106,9,M08,3076,30,3106
J25-0006,9,790,1440,3539,9,M07,3494,45,3539
J25-0007,5,925,1440,2929,9,M07,2904,25,2929
J25-0008,4,988,1440,3541,9,M06,3488,53,3541
J25-0009,7,1004,1440,3578,9,M03,3499,79,3578
J25-0010,0,1025,1440,3345,9,M09,3324,21,3345
J25-0011,1,1030,1440,3210,9,M08,3180,30,3210
J25-0012,2,1103,1440,4385,9,M04,4352,33,4385
J25-0014,4,1222,1440,3315,9,M06,3262,53,3315
J25-0015,5,1436,1440,2981,9,M07,2956,25,2981
