Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0005,1,498,1440,3106,0,M00,1440,43,1483
J25-0007,5,925,1440,2929,0,M02,1440,84,1524
J25-0013,3,1192,1440,2567,0,M01,1440,81,1521
J25-0011,1,1030,1440,3210,0,M00,1483,43,1526
J25-0001,6,129,1440,2338,0,M01,1521,46,1567
J25-0013,3,1192,1440,2567,1,M02,1524,95,1619
J25-0010,0,1025,1440,3345,0,M00,1526,29,1555
J25-0000,8,79,1440,3660,0,M00,1555,76,1631
J25-0007,5,925,1440,2929,1,M01,1567,2,1569
J25-0003,2,243,1440,3379,0,M01,1569,91,1660
J25-0007,5,925,1440,2929,2,M05,1569,52,1621
J25-0015,5,1436,1440,2981,0,M02,1619,84,1703
J25-0007,5,925,1440,2929,3,M03,1621,95,1716
J25-0001,6,129,1440,2338,1,M00,1631,37,1668
J25-0006,9,790,1440,3539,0,M01,1660,85,1745
J25-0013,3,1192,1440,2567,2,M00,1668,71,1739
J25-0005,1,498,1440,3106,1,M02,1703,90,1793
J25-0001,6,129,1440,2338,2,M03,1716,61,1777
J25-0007,5,925,1440,2929,4,M08,1716,48,1764
J25-0003,2,243,1440,3379,1,M00,1739,85,1824
J25-0013,3,1192,1440,2567,3,M04,1739,99,1838
J25-0015,5,1436,1440,2981,1,M01,1745,2,1747
J25-0010,0,1025,1440,3345,1,M01,1747,78,1825
J25-0015,5,1436,1440,2981,2,M05,1747,52,1799
J25-0007,5,925,1440,2929,5,M09,1764,72,1836
J25-0001,6,129,1440,2338,3,M02,1793,13,1806
J25-0015,5,1436,1440,2981,3,M03,1799,95,1894
J25-0001,6,129,1440,2338,4,M06,1806,32,1838
J25-0011,1,1030,1440,3210,1,M02,1806,90,1896
J25-0006,9,790,1440,3539,1,M00,1824,13,1837
J25-0000,8,79,1440,3660,1,M01,1825,69,1894
J25-0007,5,925,1440,2929,6,M00,1837,47,1884
J25-0001,6,129,1440,2338,5,M05,1838,21,1859
J25-0005,1,498,1440,3106,2,M04,1838,75,1913
J25-0013,3,1192,1440,2567,4,M06,1838,9,1847
J25-0013,3,1192,1440,2567,5,M08,1847,52,1899
J25-0001,6,129,1440,2338,6,M09,1859,32,1891
J25-0002,0,198,1440,3744,0,M00,1884,29,1913
J25-0007,5,925,1440,2929,7,M06,1884,65,1949
J25-0003,2,243,1440,3379,2,M03,1894,39,1933
J25-0012,2,1103,1440,4385,0,M01,1894,91,1985
J25-0009,7,1004,1440,3578,0,M02,1896,31,1927
J25-0001,6,129,1440,2338,7,M08,1899,89,1988
J25-0013,3,1192,1440,2567,6,M07,1899,85,1984
J25-0005,1,498,1440,3106,3,M09,1913,11,1924
J25-0011,1,1030,1440,3210,2,M04,1913,75,1988
J25-0009,7,1004,1440,3578,1,M00,1927,86,2013
J25-0014,4,1222,1440,3315,0,M02,1927,14,1941
J25-0005,1,498,1440,3106,4,M03,1933,69,2002
J25-0003,2,243,1440,3379,3,M02,1941,74,2015
J25-0002,0,198,1440,3744,1,M01,1985,78,2063
J25-0001,6,129,1440,2338,8,M07,1988,30,2018
J25-0007,5,925,1440,2929,8,M04,1988,6,1994
J25-0011,1,1030,1440,3210,3,M09,1988,11,1999
J25-0015,5,1436,1440,2981,4,M08,1988,48,2036
J25-0013,3,1192,1440,2567,7,M03,2002,98,2100
J25-0014,4,1222,1440,3315,1,M00,2013,6,2019
J25-0006,9,790,1440,3539,2,M02,2015,61,2076
J25-0012,2,1103,1440,4385,1,M00,2019,85,2104
J25-0003,2,243,1440,3379,4,M08,2036,90,2126
J25-0015,5,1436,1440,2981,5,M09,2036,72,2108
J25-0005,1,498,1440,3106,5,M01,2063,28,2091
J25-0006,9,790,1440,3539,3,M06,2076,7,2083
J25-0010,0,1025,1440,3345,2,M02,2076,9,2085
J25-0008,4,988,1440,3541,0,M02,2085,14,2099
J25-0005,1,498,1440,3106,6,M06,2091,46,2137
J25-0014,4,1222,1440,3315,2,M01,2091,22,2113
J25-0002,0,198,1440,3744,2,M02,2099,9,2108
J25-0011,1,1030,1440,3210,4,M03,2100,69,2169
J25-0008,4,988,1440,3541,1,M00,2104,6,2110
J25-0013,3,1192,1440,2567,8,M09,2108,22,2130
J25-0015,5,1436,1440,2981,6,M00,2110,47,2157
J25-0009,7,1004,1440,3578,2,M01,2113,46,2159
J25-0014,4,1222,1440,3315,3,M05,2113,61,2174
J25-0006,9,790,1440,3539,4,M08,2126,64,2190
J25-0015,5,1436,1440,2981,7,M06,2157,65,2222
J25-0008,4,988,1440,3541,2,M01,2159,22,2181
J25-0010,0,1025,1440,3345,3,M03,2169,36,2205
J25-0005,1,498,1440,3106,7,M05,2174,46,2220
J25-0011,1,1030,1440,3210,5,M01,2181,28,2209
J25-0006,9,790,1440,3539,5,M09,2190,76,2266
J25-0010,0,1025,1440,3345,4,M04,2205,49,2254
J25-0014,4,1222,1440,3315,4,M03,2205,26,2231
J25-0004,3,287,1440,4856,0,M01,2209,81,2290
J25-0005,1,498,1440,3106,8,M07,2220,72,2292
J25-0009,7,1004,1440,3578,3,M05,2220,74,2294
J25-0011,1,1030,1440,3210,6,M06,2222,46,2268
J25-0000,8,79,1440,3660,2,M03,2231,76,2307
J25-0015,5,1436,1440,2981,8,M04,2254,6,2260
J25-0001,6,129,1440,2338,9,M04,2283,55,2338
J25-0004,3,287,1440,4856,1,M02,2290,95,2385
J25-0011,1,1030,1440,3210,7,M05,2294,46,2340
J25-0002,0,198,1440,3744,3,M03,2307,36,2343
J25-0014,4,1222,1440,3315,5,M04,2338,69,2407
J25-0003,2,243,1440,3379,5,M05,2340,10,2350
