Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0020,1,1935,2880,4834,0,M00,2880,43,2923
J25-0021,5,1952,2880,5368,0,M02,2880,84,2964
J25-0024,3,2108,2880,4809,0,M01,2880,81,2961
J25-0007,5,925,1440,2929,9,M07,2906,25,2931
J25-0034,8,2715,2880,6387,0,M00,2923,76,2999
J25-0015,5,1436,1440,2981,9,M07,2956,25,2981
J25-0021,5,1952,2880,5368,1,M01,2964,2,2966
J25-0029,4,2301,2880,4675,0,M02,2964,14,2978
J25-0021,5,1952,2880,5368,2,M05,2966,52,3018
J25-0026,6,2192,2880,4415,0,M01,2966,46,3012
J25-0020,1,1935,2880,4834,1,M02,2978,90,3068
J25-0004,3,287,1440,4856,6,M07,2981,85,3066
J25-0029,4,2301,2880,4675,1,M00,2999,6,3005
J25-0026,6,2192,2880,4415,1,M00,3012,37,3049
J25-0029,4,2301,2880,4675,2,M01,3012,22,3034
J25-0021,5,1952,2880,5368,3,M03,3018,95,3113
J25-0029,4,2301,2880,4675,3,M05,3034,61,3095
J25-0034,8,2715,2880,6387,1,M01,3034,69,3103
J25-0031,1,2567,2880,4377,0,M00,3049,43,3092
J25-0037,7,2801,2880,5173,0,M02,3068,31,3099
J25-0005,1,498,1440,3106,9,M08,3076,30,3106
J25-0036,4,2734,2880,5231,0,M02,3099,14,3113
J25-0037,7,2801,2880,5173,1,M00,3099,86,3185
J25-0016,6,1500,2880,4558,0,M01,3103,46,3149
J25-0021,5,1952,2880,5368,4,M08,3113,48,3161
J25-0029,4,2301,2880,4675,4,M03,3113,26,3139
J25-0031,1,2567,2880,4377,1,M02,3113,90,3203
J25-0029,4,2301,2880,4675,5,M04,3139,69,3208
J25-0034,8,2715,2880,6387,2,M03,3139,76,3215
J25-0032,6,2654,2880,3881,0,M01,3149,46,3195
J25-0021,5,1952,2880,5368,5,M09,3161,72,3233
J25-0011,1,1030,1440,3210,9,M08,3180,30,3210
J25-0036,4,2734,2880,5231,1,M00,3185,6,3191
J25-0032,6,2654,2880,3881,1,M00,3195,37,3232
J25-0037,7,2801,2880,5173,2,M01,3195,46,3241
J25-0027,7,2277,2880,5711,0,M02,3203,31,3234
J25-0031,1,2567,2880,4377,2,M04,3208,75,3283
J25-0029,4,2301,2880,4675,6,M08,3210,21,3231
J25-0034,8,2715,2880,6387,3,M05,3215,51,3266
J25-0029,4,2301,2880,4675,7,M07,3231,49,3280
J25-0028,0,2282,2880,5291,0,M00,3232,29,3261
J25-0032,6,2654,2880,3881,2,M03,3232,61,3293
J25-0017,7,1864,2880,4980,0,M02,3234,31,3265
J25-0036,4,2734,2880,5231,2,M01,3241,22,3263
J25-0021,5,1952,2880,5368,6,M00,3261,47,3308
J25-0014,4,1222,1440,3315,9,M06,3262,53,3315
J25-0025,2,2126,2880,4780,0,M01,3263,91,3354
J25-0034,8,2715,2880,6387,4,M02,3266,85,3351
J25-0037,7,2801,2880,5173,3,M05,3266,74,3340
J25-0031,1,2567,2880,4377,3,M09,3283,11,3294
J25-0031,1,2567,2880,4377,4,M03,3294,69,3363
J25-0016,6,1500,2880,4558,1,M00,3308,37,3345
J25-0021,5,1952,2880,5368,7,M06,3315,65,3380
J25-0010,0,1025,1440,3345,9,M09,3324,21,3345
J25-0036,4,2734,2880,5231,3,M05,3340,61,3401
J25-0030,0,2313,2880,6015,0,M00,3345,29,3374
J25-0003,2,243,1440,3379,9,M04,3346,33,3379
J25-0032,6,2654,2880,3881,3,M02,3351,13,3364
J25-0034,8,2715,2880,6387,5,M09,3351,11,3362
J25-0029,4,2301,2880,4675,8,M09,3362,72,3434
J25-0016,6,1500,2880,4558,2,M03,3363,61,3424
J25-0031,1,2567,2880,4377,5,M01,3363,28,3391
J25-0025,2,2126,2880,4780,1,M00,3374,85,3459
