Job,Routing_ID,Arrival,Ready Time,Deadline,Operation,Machine,Start,Processing Time,End
J25-0044,5,3231,4320,5957,7,M06,5764,65,5829
J25-0059,1,4076,4320,6187,7,M05,5764,46,5810
J25-0038,3,2972,4320,7669,2,M00,5768,71,5839
J25-0052,8,3675,4320,6437,4,M02,5768,85,5853
J25-0039,9,3137,4320,6259,5,M09,5778,76,5854
J25-0053,9,3809,4320,6614,0,M01,5792,85,5877
J25-0054,0,3836,4320,6171,8,M08,5794,44,5838
J25-0041,9,3174,4320,5836,9,M07,5796,45,5841
J25-0040,0,3145,4320,6171,4,M04,5811,49,5860
J25-0055,7,3918,4320,5859,9,M03,5821,79,5900
J25-0046,3,3354,4320,6149,4,M06,5829,9,5838
J25-0046,3,3354,4320,6149,5,M08,5838,52,5890
J25-0061,9,4233,4320,6533,1,M00,5839,13,5852
J25-0062,6,4259,4320,6091,8,M07,5841,30,5871
J25-0030,0,2313,2880,6015,0,M00,5852,29,5881
J25-0050,6,3607,4320,6371,3,M02,5853,13,5866
J25-0040,0,3145,4320,6171,5,M05,5860,11,5871
J25-0044,5,3231,4320,5957,8,M04,5860,6,5866
J25-0038,3,2972,4320,7669,3,M04,5866,99,5965
J25-0048,7,3494,4320,7551,0,M02,5866,31,5897
J25-0050,6,3607,4320,6371,4,M06,5866,32,5898
J25-0039,9,3137,4320,6259,6,M05,5871,47,5918
J25-0044,5,3231,4320,5957,9,M07,5871,25,5896
J25-0042,8,3195,4320,7213,1,M01,5877,69,5946
J25-0053,9,3809,4320,6614,1,M00,5884,13,5897
J25-0052,8,3675,4320,6437,5,M09,5886,11,5897
J25-0046,3,3354,4320,6149,6,M07,5896,85,5981
J25-0048,7,3494,4320,7551,1,M00,5897,86,5983
J25-0061,9,4233,4320,6533,2,M02,5897,61,5958
J25-0040,0,3145,4320,6171,6,M06,5898,62,5960
J25-0058,3,4060,4320,6044,7,M03,5900,98,5998
J25-0050,6,3607,4320,6371,5,M05,5918,21,5939
J25-0050,6,3607,4320,6371,6,M09,5939,32,5971
J25-0063,3,4269,4320,5959,9,M05,5939,43,5982
J25-0056,5,3945,4320,6686,0,M02,5958,84,6042
J25-0061,9,4233,4320,6533,3,M06,5960,7,5967
J25-0038,3,2972,4320,7669,4,M06,5967,9,5976
J25-0061,9,4233,4320,6533,4,M08,5973,64,6037
J25-0052,8,3675,4320,6437,6,M06,5976,40,6016
J25-0040,0,3145,4320,6171,7,M07,5981,56,6037
J25-0048,7,3494,4320,7551,2,M01,5983,46,6029
J25-0087,8,5630,5760,10332,0,M00,5983,76,6059
J25-0039,9,3137,4320,6259,7,M03,5998,52,6050
J25-0058,3,4060,4320,6044,8,M09,5998,22,6020
