Job,Routing_ID,Operation,Machine,Processing Time
J0,8,0,M00,76
J0,8,1,M01,69
J0,8,2,M03,76
J0,8,3,M05,51
J0,8,4,M02,85
J0,8,5,M09,11
J0,8,6,M06,40
J0,8,7,M07,89
J0,8,8,M04,26
J0,8,9,M08,74
J1,6,0,M01,46
J1,6,1,M00,37
J1,6,2,M03,61
J1,6,3,M02,13
J1,6,4,M06,32
J1,6,5,M05,21
J1,6,6,M09,32
J1,6,7,M08,89
J1,6,8,M07,30
J1,6,9,M04,55
J2,0,0,M00,29
J2,0,1,M01,78
J2,0,2,M02,9
J2,0,3,M03,36
J2,0,4,M04,49
J2,0,5,M05,11
J2,0,6,M06,62
J2,0,7,M07,56
J2,0,8,M08,44
J2,0,9,M09,21
J3,2,0,M01,91
J3,2,1,M00,85
J3,2,2,M03,39
J3,2,3,M02,74
J3,2,4,M08,90
J3,2,5,M05,10
J3,2,6,M07,12
J3,2,7,M06,89
J3,2,8,M09,45
J3,2,9,M04,33
J4,3,0,M01,81
J4,3,1,M02,95
J4,3,2,M00,71
J4,3,3,M04,99
J4,3,4,M06,9
J4,3,5,M08,52
J4,3,6,M07,85
J4,3,7,M03,98
J4,3,8,M09,22
J4,3,9,M05,43
J5,1,0,M00,43
J5,1,1,M02,90
J5,1,2,M04,75
J5,1,3,M09,11
J5,1,4,M03,69
J5,1,5,M01,28
J5,1,6,M06,46
J5,1,7,M05,46
J5,1,8,M07,72
J5,1,9,M08,30
J6,9,0,M01,85
J6,9,1,M00,13
J6,9,2,M02,61
J6,9,3,M06,7
J6,9,4,M08,64
J6,9,5,M09,76
J6,9,6,M05,47
J6,9,7,M03,52
J6,9,8,M04,90
J6,9,9,M07,45
J7,5,0,M02,84
J7,5,1,M01,2
J7,5,2,M05,52
J7,5,3,M03,95
J7,5,4,M08,48
J7,5,5,M09,72
J7,5,6,M00,47
J7,5,7,M06,65
J7,5,8,M04,6
J7,5,9,M07,25
J8,4,0,M02,14
J8,4,1,M00,6
J8,4,2,M01,22
J8,4,3,M05,61
J8,4,4,M03,26
J8,4,5,M04,69
J8,4,6,M08,21
J8,4,7,M07,49
J8,4,8,M09,72
J8,4,9,M06,53
J9,7,0,M02,31
J9,7,1,M00,86
J9,7,2,M01,46
J9,7,3,M05,74
J9,7,4,M04,32
J9,7,5,M06,88
J9,7,6,M08,19
J9,7,7,M09,48
J9,7,8,M07,36
J9,7,9,M03,79
J10,0,0,M00,29
J10,0,1,M01,78
J10,0,2,M02,9
J10,0,3,M03,36
J10,0,4,M04,49
J10,0,5,M05,11
J10,0,6,M06,62
J10,0,7,M07,56
J10,0,8,M08,44
J10,0,9,M09,21
J11,1,0,M00,43
J11,1,1,M02,90
J11,1,2,M04,75
J11,1,3,M09,11
J11,1,4,M03,69
J11,1,5,M01,28
J11,1,6,M06,46
J11,1,7,M05,46
J11,1,8,M07,72
J11,1,9,M08,30
J12,2,0,M01,91
J12,2,1,M00,85
J12,2,2,M03,39
J12,2,3,M02,74
J12,2,4,M08,90
J12,2,5,M05,10
J12,2,6,M07,12
J12,2,7,M06,89
J12,2,8,M09,45
J12,2,9,M04,33
J13,3,0,M01,81
J13,3,1,M02,95
J13,3,2,M00,71
J13,3,3,M04,99
J13,3,4,M06,9
J13,3,5,M08,52
J13,3,6,M07,85
J13,3,7,M03,98
J13,3,8,M09,22
