Job,Routing_ID,Operation,Machine,Arrival,Start,Processing Time,End
J0,8,0,M00,75,75.0,71.74,146.74
J0,8,1,M01,75,169.0,76.5,245.5
J0,8,2,M03,75,397.69,85.69,483.38
J0,8,3,M05,75,483.38,47.88,531.26
J0,8,4,M02,75,531.26,67.19,598.45
J0,8,5,M09,75,605.0,12.03,617.03
J0,8,6,M06,75,617.03,45.86,662.89
J0,8,7,M07,75,662.89,146.22,809.11
J0,8,8,M04,75,809.11,22.09,831.2
J0,8,9,M08,75,874.0,75.86,949.86
J1,6,0,M01,123,123.0,42.17,165.17
J1,6,1,M00,123,169.0,27.6,196.6
J1,6,2,M03,123,206.0,67.54,273.54
J1,6,3,M02,123,273.54,10.94,284.48
J1,6,4,M06,123,284.48,39.17,323.65
J1,6,5,M05,123,323.65,32.17,355.82
J1,6,6,M09,123,355.82,29.56,385.38
J1,6,7,M08,123,385.38,64.23,449.61
J1,6,8,M07,123,454.0,29.22,483.22
J1,6,9,M04,123,484.0,63.94,547.94
J10,0,0,M00,971,971.0,20.49,991.49
J10,0,1,M01,971,1000.0,73.2,1073.2
J10,0,2,M02,971,1078.0,10.65,1088.65
J10,0,3,M03,971,1090.0,45.51,1135.51
J10,0,4,M04,971,1234.45,43.44,1277.89
J10,0,5,M05,971,1277.89,9.1,1286.99
J10,0,6,M06,971,1286.99,57.88,1344.87
J10,0,7,M07,971,1344.87,67.03,1411.9
J10,0,8,M08,971,1411.9,70.75,1482.65
J11,1,0,M00,976,1100.7,38.24,1138.94
J11,1,1,M02,976,1138.94,120.45,1259.39
J11,1,2,M04,976,1298.82,95.73,1394.55
J12,2,0,M01,1045,1148.95,46.01,1194.96
J12,2,1,M00,1045,1239.0,67.44,1306.44
J12,2,2,M03,1045,1337.06,32.87,1369.93
J12,2,3,M02,1045,1369.93,55.21,1425.14
J13,3,0,M01,1129,1261.0,157.07,1418.07
J14,4,0,M02,1158,1259.39,18.19,1277.58
J14,4,1,M00,1158,1306.44,6.13,1312.57
J14,4,2,M01,1158,1418.07,24.24,1442.31
J2,0,0,M00,187,206.0,28.16,234.16
J2,0,1,M01,187,245.5,104.78,350.28
J2,0,2,M02,187,350.28,7.01,357.29
J2,0,3,M03,187,357.29,40.4,397.69
J2,0,4,M04,187,397.69,35.78,433.47
J2,0,5,M05,187,433.47,8.41,441.88
J2,0,6,M06,187,441.88,62.71,504.59
J2,0,7,M07,187,504.59,60.74,565.33
J2,0,8,M08,187,565.33,60.31,625.64
J2,0,9,M09,187,625.64,14.52,640.16
J3,2,0,M01,231,410.34,78.07,488.41
J3,2,1,M00,231,586.0,61.33,647.33
J3,2,2,M03,231,671.0,47.59,718.59
J3,2,3,M02,231,718.59,59.39,777.98
J3,2,4,M08,231,784.0,81.82,865.82
J3,2,5,M05,231,874.0,8.8,882.8
J3,2,6,M07,231,884.0,10.76,894.76
J3,2,7,M06,231,938.16,76.6,1014.76
J3,2,8,M09,231,1014.76,34.96,1049.72
J3,2,9,M04,231,1049.72,28.57,1078.29
J4,3,0,M01,271,350.28,60.06,410.34
J4,3,1,M02,271,410.34,78.34,488.68
J4,3,2,M00,271,515.0,60.91,575.91
J4,3,3,M04,271,586.0,110.13,696.13
J4,3,4,M06,271,696.13,9.62,705.75
J4,3,5,M08,271,705.75,54.05,759.8
J4,3,6,M07,271,809.11,74.71,883.82
J4,3,7,M03,271,883.82,75.43,959.25
J4,3,8,M09,271,959.25,22.6,981.85
J4,3,9,M05,271,981.85,59.72,1041.57
J5,1,0,M00,472,472.0,30.18,502.18
J5,1,1,M02,472,598.45,72.35,670.8
J5,1,2,M04,472,696.13,65.62,761.75
J5,1,3,M09,472,761.75,11.01,772.76
J5,1,4,M03,472,772.76,52.43,825.19
J5,1,5,M01,472,847.16,22.99,870.15
J5,1,6,M06,472,870.15,68.01,938.16
J5,1,7,M05,472,938.16,39.03,977.19
J5,1,8,M07,472,977.19,73.18,1050.37
J5,1,9,M08,472,1050.37,27.34,1077.71
J6,9,0,M01,749,749.0,98.16,847.16
J6,9,1,M00,749,847.16,13.03,860.19
J6,9,2,M02,749,860.19,70.35,930.54
J6,9,3,M06,749,1014.76,6.81,1021.57
J6,9,4,M08,749,1077.71,52.18,1129.89
J6,9,5,M09,749,1129.89,64.73,1194.62
J6,9,6,M05,749,1219.0,35.78,1254.78
J6,9,7,M03,749,1266.0,71.06,1337.06
J6,9,8,M04,749,1394.55,90.54,1485.09
J7,5,0,M02,877,994.0,71.69,1065.69
J7,5,1,M01,877,1078.0,1.92,1079.92
J7,5,2,M05,877,1098.83,68.28,1167.11
J7,5,3,M03,877,1167.11,68.49,1235.6
J7,5,4,M08,877,1252.08,46.06,1298.14
J7,5,5,M09,877,1301.0,55.47,1356.47
J7,5,6,M00,877,1373.0,39.89,1412.89
J8,4,0,M02,936,936.0,17.05,953.05
J8,4,1,M00,936,953.05,4.89,957.94
J8,4,2,M01,936,957.94,16.28,974.22
J8,4,3,M05,936,1041.57,57.26,1098.83
J8,4,4,M03,936,1135.51,20.57,1156.08
J8,4,5,M04,936,1156.08,78.37,1234.45
J8,4,6,M08,936,1234.45,17.63,1252.08
J8,4,7,M07,936,1252.08,84.5,1336.58
J8,4,8,M09,936,1356.47,122.32,1478.79
J9,7,0,M02,951,953.05,26.95,980.0
J9,7,1,M00,951,1000.0,100.7,1100.7
J9,7,2,M01,951,1100.7,48.25,1148.95
J9,7,3,M05,951,1167.11,47.41,1214.52
J9,7,4,M04,951,1277.89,20.93,1298.82
J9,7,5,M06,951,1344.87,92.06,1436.93
