Job,Routing_ID,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
J10,0,9,971,M09,1384.0,21.0,434.0,1405.0
J11,1,3,976,M09,1373.0,11.0,408.0,1384.0
J11,1,4,976,M03,1389.0,69.0,482.0,1458.0
J11,1,5,976,M01,1467.0,28.0,519.0,1495.0
J11,1,6,976,M06,1495.0,46.0,565.0,1541.0
J11,1,7,976,M05,1541.0,46.0,611.0,1587.0
J11,1,8,976,M07,1598.0,72.0,694.0,1670.0
J11,1,9,976,M08,1670.0,30.0,724.0,1700.0
J12,2,4,1045,M08,1437.0,90.0,482.0,1527.0
J12,2,5,1045,M05,1527.0,10.0,492.0,1537.0
J12,2,6,1045,M07,1537.0,12.0,504.0,1549.0
J12,2,7,1045,M06,1549.0,89.0,593.0,1638.0
J12,2,8,1045,M09,1670.0,45.0,670.0,1715.0
J12,2,9,1045,M04,1715.0,33.0,703.0,1748.0
J13,3,1,1129,M02,1437.0,95.0,403.0,1532.0
J13,3,2,1129,M00,1532.0,71.0,474.0,1603.0
J13,3,3,1129,M04,1603.0,99.0,573.0,1702.0
J13,3,4,1129,M06,1702.0,9.0,582.0,1711.0
J13,3,5,1129,M08,1711.0,52.0,634.0,1763.0
J13,3,6,1129,M07,1763.0,85.0,719.0,1848.0
J13,3,7,1129,M03,1848.0,98.0,817.0,1946.0
J13,3,8,1129,M09,1946.0,22.0,839.0,1968.0
J13,3,9,1129,M05,1968.0,43.0,882.0,2011.0
J14,4,3,1158,M05,1266.0,61.0,169.0,1327.0
J14,4,4,1158,M03,1363.0,26.0,231.0,1389.0
J14,4,5,1158,M04,1408.0,69.0,319.0,1477.0
J14,4,6,1158,M08,1527.0,21.0,390.0,1548.0
J14,4,7,1158,M07,1549.0,49.0,440.0,1598.0
J14,4,8,1158,M09,1598.0,72.0,512.0,1670.0
J14,4,9,1158,M06,1711.0,53.0,606.0,1764.0
J15,5,0,1361,M02,1532.0,84.0,255.0,1616.0
J15,5,1,1361,M01,1616.0,2.0,257.0,1618.0
J15,5,2,1361,M05,1618.0,52.0,309.0,1670.0
J15,5,3,1361,M03,1670.0,95.0,404.0,1765.0
J15,5,4,1361,M08,1765.0,48.0,452.0,1813.0
J15,5,5,1361,M09,1813.0,72.0,524.0,1885.0
J15,5,6,1361,M00,1885.0,47.0,571.0,1932.0
J15,5,7,1361,M06,1932.0,65.0,636.0,1997.0
J15,5,8,1361,M04,1997.0,6.0,642.0,2003.0
J15,5,9,1361,M07,2003.0,25.0,667.0,2028.0
J16,6,0,1421,M01,1421.0,46.0,46.0,1467.0
J16,6,1,1421,M00,1467.0,37.0,83.0,1504.0
J16,6,2,1421,M03,1568.0,61.0,208.0,1629.0
J16,6,3,1421,M02,1629.0,13.0,221.0,1642.0
J16,6,4,1421,M06,1642.0,32.0,253.0,1674.0
J16,6,5,1421,M05,1674.0,21.0,274.0,1695.0
J16,6,6,1421,M09,1715.0,32.0,326.0,1747.0
J16,6,7,1421,M08,1813.0,89.0,481.0,1902.0
J16,6,8,1421,M07,1902.0,30.0,511.0,1932.0
J16,6,9,1421,M04,1932.0,55.0,566.0,1987.0
J6,9,9,749,M07,1408.0,45.0,704.0,1453.0
J7,5,7,877,M06,1422.0,65.0,610.0,1487.0
J7,5,8,877,M04,1487.0,6.0,616.0,1493.0
J7,5,9,877,M07,1493.0,25.0,641.0,1518.0
J8,4,9,936,M06,1369.0,53.0,486.0,1422.0
J9,7,6,951,M08,1381.0,19.0,449.0,1400.0
J9,7,7,951,M09,1405.0,48.0,502.0,1453.0
J9,7,8,951,M07,1453.0,36.0,538.0,1489.0
J9,7,9,951,M03,1489.0,79.0,617.0,1568.0
