Job,Production_Plan_ID,Operation,Machine,Arrival,Start,Processing Time,End
0,0,0,M00,51,51.0,41.37,92.37
0,0,1,M01,51,92.37,77.24,169.61
0,0,2,M02,51,169.61,9.65,179.26
0,0,3,M03,51,179.26,39.85,219.11
0,0,4,M04,51,219.11,60.68,279.79
0,0,5,M05,51,279.79,9.13,288.92
0,0,6,M06,51,288.92,80.0,368.92
0,0,7,M07,51,368.92,49.26,418.18
0,0,8,M08,51,418.18,35.31,453.49
0,0,9,M09,51,453.49,16.72,470.21
1,1,0,M00,136,136.0,40.29,176.29
1,1,1,M02,136,179.26,95.0,274.26
1,1,2,M04,136,279.79,65.1,344.89
1,1,3,M09,136,344.89,14.39,359.28
1,1,4,M03,136,413.36,74.09,487.45
1,1,5,M01,136,487.45,38.82,526.27
1,1,6,M06,136,526.27,40.75,567.02
1,1,7,M05,136,567.02,63.47,630.49
1,1,8,M07,136,630.49,87.38,717.87
1,1,9,M08,136,722.59,20.96,743.55
10,0,0,M00,963,1002.9,26.16,1029.06
10,0,1,M01,963,1029.06,90.65,1119.71
10,0,2,M02,963,1139.88,7.55,1147.43
10,0,3,M03,963,1199.39,39.25,1238.64
10,0,4,M04,963,1324.7,55.96,1380.66
11,9,0,M01,969,1193.9,86.07,1279.97
11,9,1,M00,969,1283.64,14.93,1298.57
11,9,2,M02,969,1298.57,88.61,1387.18
11,9,3,M06,969,1387.18,6.28,1393.46
11,9,4,M08,969,1393.46,45.72,1439.18
11,9,5,M09,969,1439.18,100.89,1540.07
12,8,0,M00,992,1029.06,71.8,1100.86
12,8,1,M01,992,1119.71,74.19,1193.9
12,8,2,M03,992,1238.64,83.79,1322.43
12,8,3,M05,992,1358.39,55.2,1413.59
13,2,0,M01,1046,1369.0,83.46,1452.46
14,4,0,M02,1177,1177.0,12.13,1189.13
14,4,1,M00,1177,1191.0,6.62,1197.62
14,4,2,M01,1177,1279.97,22.66,1302.63
14,4,3,M05,1177,1302.63,55.76,1358.39
14,4,4,M03,1177,1358.39,17.03,1375.42
14,4,5,M04,1177,1403.13,74.81,1477.94
15,7,0,M02,1193,1193.0,32.67,1225.67
15,7,1,M00,1193,1237.0,46.64,1283.64
15,7,2,M01,1193,1323.0,30.31,1353.31
15,7,3,M05,1193,1413.59,59.19,1472.78
16,1,0,M00,1310,1323.0,33.17,1356.17
16,1,1,M02,1310,1387.18,122.36,1509.54
2,2,0,M01,158,169.61,100.04,269.65
2,2,1,M00,158,269.65,99.94,369.59
2,2,2,M03,158,369.59,43.77,413.36
2,2,3,M02,158,439.0,56.36,495.36
2,2,4,M08,158,513.0,149.75,662.75
2,2,5,M05,158,662.75,10.05,672.8
2,2,6,M07,158,717.87,10.87,728.74
2,2,7,M06,158,728.74,121.04,849.78
2,2,8,M09,158,849.78,32.87,882.65
2,2,9,M04,158,882.65,43.47,926.12
3,3,0,M01,236,269.65,67.03,336.68
3,3,1,M02,236,336.68,83.4,420.08
3,3,2,M00,236,445.0,84.53,529.53
3,3,3,M04,236,529.53,117.4,646.93
3,3,4,M06,236,646.93,9.77,656.7
3,3,5,M08,236,662.75,59.84,722.59
3,3,6,M07,236,728.74,76.1,804.84
3,3,7,M03,236,1013.89,105.07,1118.96
3,3,8,M09,236,1123.04,28.3,1151.34
3,3,9,M05,236,1151.34,35.91,1187.25
4,4,0,M02,404,425.0,11.32,436.32
4,4,1,M00,404,439.0,4.68,443.68
4,4,2,M01,404,470.0,16.01,486.01
4,4,3,M05,404,492.0,57.49,549.49
4,4,4,M03,404,553.0,30.63,583.63
4,4,5,M04,404,646.93,79.03,725.96
4,4,6,M08,404,743.55,19.56,763.11
4,4,7,M07,404,804.84,38.68,843.52
4,4,8,M09,404,1036.6,63.14,1099.74
4,4,9,M06,404,1144.77,49.41,1194.18
5,5,0,M02,485,513.0,88.02,601.02
5,5,1,M01,485,673.29,1.57,674.86
5,5,2,M05,485,674.86,28.73,703.59
5,5,3,M03,485,703.59,110.79,814.38
5,5,4,M08,485,814.38,69.74,884.12
5,5,5,M09,485,884.12,73.94,958.06
5,5,6,M00,485,958.06,44.84,1002.9
5,5,7,M06,485,1002.9,69.64,1072.54
5,5,8,M04,485,1072.54,5.98,1078.52
5,5,9,M07,485,1078.52,19.95,1098.47
6,6,0,M01,501,526.27,63.74,590.01
6,6,1,M00,501,688.38,35.76,724.14
6,6,2,M03,501,814.38,92.68,907.06
6,6,3,M02,501,907.06,12.37,919.43
6,6,4,M06,501,919.43,28.0,947.43
6,6,5,M05,501,1008.55,29.19,1037.74
6,6,6,M09,501,1099.74,23.3,1123.04
6,6,7,M08,501,1123.04,78.18,1201.22
