Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_000,0,0.0,M0,0.0,29.0,29.0,29.0
Job_000,1,0.0,M1,29.0,78.0,107.0,107.0
Job_001,0,83.09,M0,83.09,43.0,43.0,126.09
Job_000,2,0.0,M2,107.0,9.0,116.0,116.0
Job_002,0,103.88,M1,107.0,91.0,94.12,198.0
Job_000,3,0.0,M3,116.0,36.0,152.0,152.0
Job_001,1,83.09,M2,126.09,90.0,133.0,216.09
Job_000,4,0.0,M4,152.0,49.0,201.0,201.0
Job_002,1,103.88,M0,198.0,85.0,179.12,283.0
Job_003,0,145.1,M1,198.0,81.0,133.9,279.0
Job_000,5,0.0,M5,201.0,11.0,212.0,212.0
Job_000,6,0.0,M6,212.0,62.0,274.0,274.0
Job_001,2,83.09,M4,216.09,75.0,208.0,291.09
Job_004,0,181.06,M2,216.09,14.0,49.03,230.09
Job_000,7,0.0,M7,274.0,56.0,330.0,330.0
Job_003,1,145.1,M2,279.0,95.0,228.9,374.0
Job_002,2,103.88,M3,283.0,39.0,218.12,322.0
Job_004,1,181.06,M0,283.0,6.0,107.94,289.0
Job_004,2,181.06,M1,289.0,22.0,129.94,311.0
Job_001,3,83.09,M9,291.09,11.0,219.0,302.09
Job_004,3,181.06,M5,311.0,61.0,190.94,372.0
Job_001,4,83.09,M3,322.0,69.0,307.91,391.0
Job_000,8,0.0,M8,330.0,44.0,374.0,374.0
Job_008,0,336.84,M0,336.84,76.0,76.0,412.84
Job_000,9,0.0,M9,374.0,21.0,395.0,395.0
Job_005,0,245.92,M2,374.0,84.0,212.08,458.0
Job_001,5,83.09,M1,391.0,28.0,335.91,419.0
Job_004,4,181.06,M3,391.0,26.0,235.94,417.0
Job_004,5,181.06,M4,417.0,69.0,304.94,486.0
Job_001,6,83.09,M6,419.0,46.0,381.91,465.0
Job_002,3,103.88,M2,458.0,74.0,428.12,532.0
Job_005,1,245.92,M1,458.0,2.0,214.08,460.0
Job_005,2,245.92,M5,460.0,52.0,266.08,512.0
Job_006,0,305.93,M1,460.0,46.0,200.07,506.0
Job_006,1,305.93,M0,506.0,37.0,237.07,543.0
Job_008,1,336.84,M1,506.0,69.0,238.16,575.0
Job_001,7,83.09,M5,512.0,46.0,474.91,558.0
Job_002,4,103.88,M8,532.0,90.0,518.12,622.0
Job_007,0,322.49,M2,532.0,31.0,240.51,563.0
Job_006,2,305.93,M3,543.0,61.0,298.07,604.0
Job_001,8,83.09,M7,558.0,72.0,546.91,630.0
Job_007,1,322.49,M0,563.0,86.0,326.51,649.0
Job_005,3,245.92,M3,604.0,95.0,453.08,699.0
Job_006,3,305.93,M2,604.0,13.0,311.07,617.0
Job_006,4,305.93,M6,617.0,32.0,343.07,649.0
Job_002,5,103.88,M5,622.0,10.0,528.12,632.0
Job_004,6,181.06,M8,622.0,21.0,461.94,643.0
Job_002,6,103.88,M7,632.0,12.0,540.12,644.0
Job_001,9,83.09,M8,643.0,30.0,589.91,673.0
Job_004,7,181.06,M7,644.0,49.0,511.94,693.0
Job_002,7,103.88,M6,649.0,89.0,634.12,738.0
Job_003,2,145.1,M0,649.0,71.0,574.9,720.0
Job_006,5,305.93,M5,649.0,21.0,364.07,670.0
Job_007,2,322.49,M1,649.0,46.0,372.51,695.0
Job_006,6,305.93,M9,670.0,32.0,396.07,702.0
Job_007,3,322.49,M5,695.0,74.0,446.51,769.0
Job_009,0,419.9,M1,695.0,85.0,360.1,780.0
Job_005,4,245.92,M8,699.0,48.0,501.08,747.0
Job_008,2,336.84,M3,699.0,76.0,438.16,775.0
Job_004,8,181.06,M9,702.0,72.0,592.94,774.0
Job_003,3,145.1,M4,720.0,99.0,673.9,819.0
Job_006,7,305.93,M8,747.0,89.0,530.07,836.0
Job_002,8,103.88,M9,774.0,45.0,715.12,819.0
Job_008,3,336.84,M5,775.0,51.0,489.16,826.0
Job_009,1,419.9,M0,780.0,13.0,373.1,793.0
Job_009,2,419.9,M2,793.0,61.0,434.1,854.0
Job_010,0,463.55,M0,793.0,29.0,358.45,822.0
Job_003,4,145.1,M6,819.0,9.0,682.9,828.0
Job_005,5,245.92,M9,819.0,72.0,645.08,891.0
Job_007,4,322.49,M4,819.0,32.0,528.51,851.0
Job_010,1,463.55,M1,822.0,78.0,436.45,900.0
Job_004,9,181.06,M6,828.0,53.0,699.94,881.0
Job_003,5,145.1,M8,836.0,52.0,742.9,888.0
Job_006,8,305.93,M7,836.0,30.0,560.07,866.0
Job_002,9,103.88,M4,851.0,33.0,780.12,884.0
Job_007,5,322.49,M6,881.0,88.0,646.51,969.0
Job_006,9,305.93,M4,884.0,55.0,633.07,939.0
Job_003,6,145.1,M7,888.0,85.0,827.9,973.0
Job_010,2,463.55,M2,900.0,9.0,445.45,909.0
Job_011,0,509.07,M1,900.0,85.0,475.93,985.0
Job_010,3,463.55,M3,909.0,36.0,481.45,945.0
Job_012,0,516.39,M2,909.0,84.0,476.61,993.0
Job_007,6,322.49,M8,969.0,19.0,665.51,988.0
Job_009,3,419.9,M6,969.0,7.0,556.1,976.0
Job_011,1,509.07,M0,985.0,13.0,488.93,998.0
Job_009,4,419.9,M8,988.0,64.0,632.1,1052.0
Job_012,1,516.39,M1,993.0,2.0,478.61,995.0
Job_013,0,547.02,M2,993.0,31.0,476.98,1024.0
Job_012,2,516.39,M5,995.0,52.0,530.61,1047.0
Job_014,0,548.96,M2,1024.0,14.0,489.04,1038.0
Job_008,4,336.84,M2,1038.0,85.0,786.16,1123.0
Job_014,1,548.96,M0,1038.0,6.0,495.04,1044.0
Job_005,6,245.92,M0,1044.0,47.0,845.08,1091.0
Job_014,2,548.96,M1,1044.0,22.0,517.04,1066.0
Job_012,3,516.39,M3,1047.0,95.0,625.61,1142.0
Job_014,3,548.96,M5,1066.0,61.0,578.04,1127.0
Job_015,0,567.55,M1,1066.0,46.0,544.45,1112.0
Job_005,7,245.92,M6,1091.0,65.0,910.08,1156.0
Job_013,1,547.02,M0,1091.0,86.0,629.98,1177.0
Job_008,5,336.84,M9,1123.0,11.0,797.16,1134.0
Job_011,2,509.07,M2,1123.0,61.0,674.93,1184.0
Job_007,7,322.49,M9,1134.0,48.0,859.51,1182.0
Job_014,4,548.96,M3,1142.0,26.0,619.04,1168.0
Job_005,8,245.92,M4,1156.0,6.0,916.08,1162.0
Job_008,6,336.84,M6,1156.0,40.0,859.16,1196.0
Job_005,9,245.92,M7,1162.0,25.0,941.08,1187.0
Job_010,4,463.55,M4,1162.0,49.0,747.45,1211.0
Job_003,7,145.1,M3,1168.0,98.0,1120.9,1266.0
Job_013,2,547.02,M1,1177.0,46.0,675.98,1223.0
Job_015,1,567.55,M0,1177.0,37.0,646.45,1214.0
Job_007,8,322.49,M7,1187.0,36.0,900.51,1223.0
Job_011,3,509.07,M6,1196.0,7.0,693.93,1203.0
Job_011,4,509.07,M8,1203.0,64.0,757.93,1267.0
Job_016,0,623.69,M0,1214.0,43.0,633.31,1257.0
Job_008,7,336.84,M7,1223.0,89.0,975.16,1312.0
Job_017,0,639.27,M1,1223.0,91.0,674.73,1314.0
Job_003,8,145.1,M9,1266.0,22.0,1142.9,1288.0
Job_015,2,567.55,M3,1266.0,61.0,759.45,1327.0
Job_009,5,419.9,M9,1288.0,76.0,944.1,1364.0
Job_008,8,336.84,M4,1312.0,26.0,1001.16,1338.0
Job_017,1,639.27,M0,1314.0,85.0,759.73,1399.0
Job_007,9,322.49,M3,1327.0,79.0,1083.51,1406.0
Job_015,3,567.55,M2,1327.0,13.0,772.45,1340.0
Job_016,1,623.69,M2,1340.0,90.0,806.31,1430.0
Job_009,6,419.9,M5,1364.0,47.0,991.1,1411.0
Job_003,9,145.1,M5,1411.0,43.0,1308.9,1454.0
Job_009,7,419.9,M3,1411.0,52.0,1043.1,1463.0
Job_010,5,463.55,M5,1454.0,11.0,1001.45,1465.0
Job_010,6,463.55,M6,1465.0,62.0,1063.45,1527.0
Job_013,3,547.02,M5,1465.0,74.0,991.98,1539.0
Job_010,7,463.55,M7,1527.0,56.0,1119.45,1583.0
Job_013,4,547.02,M4,1539.0,32.0,1023.98,1571.0
Job_009,8,419.9,M4,1571.0,90.0,1241.1,1661.0
Job_013,5,547.02,M6,1571.0,88.0,1111.98,1659.0
Job_010,8,463.55,M8,1583.0,44.0,1163.45,1627.0
Job_010,9,463.55,M9,1627.0,21.0,1184.45,1648.0
Job_012,4,516.39,M8,1627.0,48.0,1158.61,1675.0
Job_011,5,509.07,M9,1648.0,76.0,1214.93,1724.0
Job_015,4,567.55,M6,1659.0,32.0,1123.45,1691.0
Job_009,9,419.9,M7,1661.0,45.0,1286.1,1706.0
Job_014,5,548.96,M4,1661.0,69.0,1181.04,1730.0
Job_015,5,567.55,M5,1691.0,21.0,1144.45,1712.0
Job_011,6,509.07,M5,1724.0,47.0,1261.93,1771.0
Job_012,5,516.39,M9,1724.0,72.0,1279.61,1796.0
Job_014,6,548.96,M8,1730.0,21.0,1202.04,1751.0
Job_008,9,336.84,M8,1751.0,74.0,1488.16,1825.0
Job_011,7,509.07,M3,1771.0,52.0,1313.93,1823.0
Job_012,6,516.39,M0,1796.0,47.0,1326.61,1843.0
Job_011,8,509.07,M4,1823.0,90.0,1403.93,1913.0
Job_013,6,547.02,M8,1825.0,19.0,1296.98,1844.0
Job_012,7,516.39,M6,1843.0,65.0,1391.61,1908.0
Job_018,0,696.89,M0,1843.0,76.0,1222.11,1919.0
Job_011,9,509.07,M7,1913.0,45.0,1448.93,1958.0
Job_016,2,623.69,M4,1913.0,75.0,1364.31,1988.0
Job_018,1,696.89,M1,1919.0,69.0,1291.11,1988.0
Job_020,0,951.66,M0,1919.0,43.0,1010.34,1962.0
Job_014,7,548.96,M7,1958.0,49.0,1458.04,2007.0
Job_012,8,516.39,M4,1988.0,6.0,1477.61,1994.0
Job_012,9,516.39,M7,2007.0,25.0,1515.61,2032.0
Job_014,8,548.96,M9,2007.0,72.0,1530.04,2079.0
Job_013,7,547.02,M9,2079.0,48.0,1579.98,2127.0
Job_014,9,548.96,M6,2079.0,53.0,1583.04,2132.0
Job_013,8,547.02,M7,2127.0,36.0,1615.98,2163.0
Job_015,6,567.55,M9,2127.0,32.0,1591.45,2159.0
Job_015,7,567.55,M8,2159.0,89.0,1680.45,2248.0
Job_016,3,623.69,M9,2159.0,11.0,1546.31,2170.0
Job_013,9,547.02,M3,2163.0,79.0,1694.98,2242.0
Job_016,4,623.69,M3,2242.0,69.0,1687.31,2311.0
Job_015,8,567.55,M7,2248.0,30.0,1710.45,2278.0
Job_015,9,567.55,M4,2278.0,55.0,1765.45,2333.0
Job_016,5,623.69,M1,2311.0,28.0,1715.31,2339.0
Job_017,2,639.27,M3,2311.0,39.0,1710.73,2350.0
Job_016,6,623.69,M6,2339.0,46.0,1761.31,2385.0
Job_019,0,825.58,M1,2339.0,81.0,1594.42,2420.0
Job_017,3,639.27,M2,2350.0,74.0,1784.73,2424.0
Job_018,2,696.89,M3,2350.0,76.0,1729.11,2426.0
Job_016,7,623.69,M5,2385.0,46.0,1807.31,2431.0
Job_019,1,825.58,M2,2424.0,95.0,1693.42,2519.0
Job_016,8,623.69,M7,2431.0,72.0,1879.31,2503.0
Job_016,9,623.69,M8,2503.0,30.0,1909.31,2533.0
Job_019,2,825.58,M0,2519.0,71.0,1764.42,2590.0
Job_020,1,951.66,M2,2519.0,90.0,1657.34,2609.0
Job_017,4,639.27,M8,2533.0,90.0,1983.73,2623.0
