Job,Production_Plan_ID,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
0,0,0,51,M00,51.0,29.0,29.0,80.0
0,0,1,51,M01,80.0,78.0,107.0,158.0
0,0,2,51,M02,158.0,9.0,116.0,167.0
0,0,3,51,M03,167.0,36.0,152.0,203.0
0,0,4,51,M04,203.0,49.0,201.0,252.0
0,0,5,51,M05,252.0,11.0,212.0,263.0
0,0,6,51,M06,263.0,62.0,274.0,325.0
0,0,7,51,M07,325.0,56.0,330.0,381.0
0,0,8,51,M08,381.0,44.0,374.0,425.0
0,0,9,51,M09,425.0,21.0,395.0,446.0
1,1,0,136,M00,136.0,43.0,43.0,179.0
1,1,1,136,M02,179.0,90.0,133.0,269.0
1,1,2,136,M04,269.0,75.0,208.0,344.0
1,1,3,136,M09,344.0,11.0,219.0,355.0
1,1,4,136,M03,373.0,69.0,306.0,442.0
1,1,5,136,M01,442.0,28.0,334.0,470.0
1,1,6,136,M06,470.0,46.0,380.0,516.0
1,1,7,136,M05,553.0,46.0,463.0,599.0
1,1,8,136,M07,625.0,72.0,561.0,697.0
1,1,9,136,M08,697.0,30.0,591.0,727.0
10,0,0,963,M00,963.0,29.0,29.0,992.0
10,0,1,963,M01,992.0,78.0,107.0,1070.0
10,0,2,963,M02,1070.0,9.0,116.0,1079.0
10,0,3,963,M03,1079.0,36.0,152.0,1115.0
10,0,4,963,M04,1150.0,49.0,236.0,1199.0
10,0,5,963,M05,1199.0,11.0,247.0,1210.0
10,0,6,963,M06,1210.0,62.0,309.0,1272.0
10,0,7,963,M07,1272.0,56.0,365.0,1328.0
10,0,8,963,M08,1369.0,44.0,450.0,1413.0
10,0,9,963,M09,1470.0,21.0,528.0,1491.0
11,9,0,969,M01,1139.0,85.0,255.0,1224.0
11,9,1,969,M00,1224.0,13.0,268.0,1237.0
11,9,2,969,M02,1237.0,61.0,329.0,1298.0
11,9,3,969,M06,1298.0,7.0,336.0,1305.0
11,9,4,969,M08,1305.0,64.0,400.0,1369.0
11,9,5,969,M09,1394.0,76.0,501.0,1470.0
11,9,6,969,M05,1470.0,47.0,548.0,1517.0
11,9,7,969,M03,1517.0,52.0,600.0,1569.0
11,9,8,969,M04,1607.0,90.0,728.0,1697.0
11,9,9,969,M07,1697.0,45.0,773.0,1742.0
12,8,0,992,M00,992.0,76.0,76.0,1068.0
12,8,1,992,M01,1070.0,69.0,147.0,1139.0
12,8,2,992,M03,1139.0,76.0,223.0,1215.0
12,8,3,992,M05,1215.0,51.0,274.0,1266.0
12,8,4,992,M02,1298.0,85.0,391.0,1383.0
12,8,5,992,M09,1383.0,11.0,402.0,1394.0
12,8,6,992,M06,1394.0,40.0,442.0,1434.0
12,8,7,992,M07,1492.0,89.0,589.0,1581.0
12,8,8,992,M04,1581.0,26.0,615.0,1607.0
12,8,9,992,M08,1607.0,74.0,689.0,1681.0
13,2,0,1046,M01,1369.0,91.0,414.0,1460.0
13,2,1,1046,M00,1460.0,85.0,499.0,1545.0
13,2,2,1046,M03,1569.0,39.0,562.0,1608.0
13,2,3,1046,M02,1636.0,74.0,664.0,1710.0
13,2,4,1046,M08,1710.0,90.0,754.0,1800.0
13,2,5,1046,M05,1800.0,10.0,764.0,1810.0
13,2,6,1046,M07,1810.0,12.0,776.0,1822.0
13,2,7,1046,M06,1822.0,89.0,865.0,1911.0
13,2,8,1046,M09,1911.0,45.0,910.0,1956.0
13,2,9,1046,M04,1956.0,33.0,943.0,1989.0
14,4,0,1177,M02,1177.0,14.0,14.0,1191.0
14,4,1,1177,M00,1191.0,6.0,20.0,1197.0
14,4,2,1177,M01,1224.0,22.0,69.0,1246.0
14,4,3,1177,M05,1266.0,61.0,150.0,1327.0
14,4,4,1177,M03,1327.0,26.0,176.0,1353.0
14,4,5,1177,M04,1353.0,69.0,245.0,1422.0
14,4,6,1177,M08,1422.0,21.0,266.0,1443.0
14,4,7,1177,M07,1443.0,49.0,315.0,1492.0
14,4,8,1177,M09,1492.0,72.0,387.0,1564.0
14,4,9,1177,M06,1564.0,53.0,440.0,1617.0
15,7,0,1193,M02,1193.0,31.0,31.0,1224.0
15,7,1,1193,M00,1237.0,86.0,130.0,1323.0
15,7,2,1193,M01,1323.0,46.0,176.0,1369.0
15,7,3,1193,M05,1369.0,74.0,250.0,1443.0
15,7,4,1193,M04,1443.0,32.0,282.0,1475.0
15,7,5,1193,M06,1475.0,88.0,370.0,1563.0
15,7,6,1193,M08,1563.0,19.0,389.0,1582.0
