Job,Production_Plan_ID,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
43,2,8,3372,M09,4352.0,45.0,1025.0,4397.0
43,2,9,3372,M04,4397.0,33.0,1058.0,4430.0
44,9,9,3379,M07,4378.0,45.0,1044.0,4423.0
45,3,8,3467,M09,4397.0,22.0,952.0,4419.0
45,3,9,3467,M05,4443.0,43.0,1019.0,4486.0
46,7,4,3531,M04,4321.0,32.0,822.0,4353.0
46,7,5,3531,M06,4397.0,88.0,954.0,4485.0
46,7,6,3531,M08,4504.0,19.0,992.0,4523.0
46,7,7,3531,M09,4523.0,48.0,1040.0,4571.0
46,7,8,3531,M07,4571.0,36.0,1076.0,4607.0
46,7,9,3531,M03,4707.0,79.0,1255.0,4786.0
47,1,6,3544,M06,4351.0,46.0,853.0,4397.0
47,1,7,3544,M05,4397.0,46.0,899.0,4443.0
47,1,8,3544,M07,4443.0,72.0,971.0,4515.0
47,1,9,3544,M08,4523.0,30.0,1009.0,4553.0
48,8,8,3632,M04,4430.0,26.0,824.0,4456.0
48,8,9,3632,M08,4553.0,74.0,995.0,4627.0
49,6,6,3653,M09,4320.0,32.0,699.0,4352.0
49,6,7,3653,M08,4415.0,89.0,851.0,4504.0
49,6,8,3653,M07,4515.0,30.0,892.0,4545.0
49,6,9,3653,M04,4545.0,55.0,947.0,4600.0
50,1,4,3804,M03,4379.0,69.0,644.0,4448.0
50,1,5,3804,M01,4448.0,28.0,672.0,4476.0
50,1,6,3804,M06,4485.0,46.0,727.0,4531.0
50,1,7,3804,M05,4531.0,46.0,773.0,4577.0
50,1,8,3804,M07,4607.0,72.0,875.0,4679.0
50,1,9,3804,M08,4679.0,30.0,905.0,4709.0
51,3,2,3843,M00,4392.0,71.0,620.0,4463.0
51,3,3,3843,M04,4600.0,99.0,856.0,4699.0
51,3,4,3843,M06,4699.0,9.0,865.0,4708.0
51,3,5,3843,M08,4709.0,52.0,918.0,4761.0
51,3,6,3843,M07,4761.0,85.0,1003.0,4846.0
51,3,7,3843,M03,4846.0,98.0,1101.0,4944.0
51,3,8,3843,M09,4944.0,22.0,1123.0,4966.0
51,3,9,3843,M05,4966.0,43.0,1166.0,5009.0
52,5,1,4013,M01,4330.0,2.0,319.0,4332.0
52,5,2,4013,M05,4332.0,52.0,371.0,4384.0
52,5,3,4013,M03,4484.0,95.0,566.0,4579.0
52,5,4,4013,M08,4627.0,48.0,662.0,4675.0
52,5,5,4013,M09,4675.0,72.0,734.0,4747.0
52,5,6,4013,M00,4758.0,47.0,792.0,4805.0
52,5,7,4013,M06,4805.0,65.0,857.0,4870.0
52,5,8,4013,M04,4870.0,6.0,863.0,4876.0
52,5,9,4013,M07,4891.0,25.0,903.0,4916.0
53,9,3,4015,M06,4344.0,7.0,336.0,4351.0
53,9,4,4015,M08,4351.0,64.0,400.0,4415.0
53,9,5,4015,M09,4419.0,76.0,480.0,4495.0
53,9,6,4015,M05,4579.0,47.0,611.0,4626.0
53,9,7,4015,M03,4655.0,52.0,692.0,4707.0
53,9,8,4015,M04,4707.0,90.0,782.0,4797.0
53,9,9,4015,M07,4846.0,45.0,876.0,4891.0
54,8,2,4109,M03,4579.0,76.0,546.0,4655.0
54,8,3,4109,M05,4655.0,51.0,597.0,4706.0
54,8,4,4109,M02,4752.0,85.0,728.0,4837.0
54,8,5,4109,M09,4837.0,11.0,739.0,4848.0
54,8,6,4109,M06,4870.0,40.0,801.0,4910.0
54,8,7,4109,M07,4916.0,89.0,896.0,5005.0
54,8,8,4109,M04,5005.0,26.0,922.0,5031.0
54,8,9,4109,M08,5031.0,74.0,996.0,5105.0
55,0,1,4190,M01,4332.0,78.0,220.0,4410.0
55,0,2,4190,M02,4439.0,9.0,258.0,4448.0
55,0,3,4190,M03,4448.0,36.0,294.0,4484.0
55,0,4,4190,M04,4484.0,49.0,343.0,4533.0
55,0,5,4190,M05,4626.0,11.0,447.0,4637.0
55,0,6,4190,M06,4637.0,62.0,509.0,4699.0
55,0,7,4190,M07,4705.0,56.0,571.0,4761.0
55,0,8,4190,M08,4761.0,44.0,615.0,4805.0
55,0,9,4190,M09,4805.0,21.0,636.0,4826.0
56,2,0,4403,M01,4476.0,91.0,164.0,4567.0
56,2,1,4403,M00,4567.0,85.0,249.0,4652.0
56,2,2,4403,M03,4786.0,39.0,422.0,4825.0
56,2,3,4403,M02,4837.0,74.0,508.0,4911.0
56,2,4,4403,M08,4911.0,90.0,598.0,5001.0
56,2,5,4403,M05,5009.0,10.0,616.0,5019.0
56,2,6,4403,M07,5019.0,12.0,628.0,5031.0
56,2,7,4403,M06,5082.0,89.0,768.0,5171.0
56,2,8,4403,M09,5183.0,45.0,825.0,5228.0
56,2,9,4403,M04,5228.0,33.0,858.0,5261.0
57,7,0,4471,M02,4471.0,31.0,31.0,4502.0
57,7,1,4471,M00,4652.0,86.0,267.0,4738.0
57,7,2,4471,M01,4763.0,46.0,338.0,4809.0
57,7,3,4471,M05,4809.0,74.0,412.0,4883.0
57,7,4,4471,M04,4883.0,32.0,444.0,4915.0
57,7,5,4471,M06,4915.0,88.0,532.0,5003.0
57,7,6,4471,M08,5105.0,19.0,653.0,5124.0
57,7,7,4471,M09,5135.0,48.0,712.0,5183.0
57,7,8,4471,M07,5194.0,36.0,759.0,5230.0
57,7,9,4471,M03,5230.0,79.0,838.0,5309.0
58,6,0,4717,M01,4717.0,46.0,46.0,4763.0
58,6,1,4717,M00,4805.0,37.0,125.0,4842.0
58,6,2,4717,M03,4976.0,61.0,320.0,5037.0
58,6,3,4717,M02,5037.0,13.0,333.0,5050.0
58,6,4,4717,M06,5050.0,32.0,365.0,5082.0
58,6,5,4717,M05,5082.0,21.0,386.0,5103.0
58,6,6,4717,M09,5103.0,32.0,418.0,5135.0
58,6,7,4717,M08,5145.0,89.0,517.0,5234.0
58,6,8,4717,M07,5234.0,30.0,547.0,5264.0
58,6,9,4717,M04,5264.0,55.0,602.0,5319.0
59,4,0,4738,M02,4738.0,14.0,14.0,4752.0
59,4,1,4738,M00,4752.0,6.0,20.0,4758.0
59,4,2,4738,M01,4809.0,22.0,93.0,4831.0
59,4,3,4738,M05,4883.0,61.0,206.0,4944.0
59,4,4,4738,M03,4944.0,26.0,232.0,4970.0
59,4,5,4738,M04,5031.0,69.0,362.0,5100.0
59,4,6,4738,M08,5124.0,21.0,407.0,5145.0
59,4,7,4738,M07,5145.0,49.0,456.0,5194.0
59,4,8,4738,M09,5228.0,72.0,562.0,5300.0
59,4,9,4738,M06,5300.0,53.0,615.0,5353.0
60,3,0,4861,M01,4861.0,81.0,81.0,4942.0
60,3,1,4861,M02,4942.0,95.0,176.0,5037.0
60,3,2,4861,M00,5037.0,71.0,247.0,5108.0
60,3,3,4861,M04,5108.0,99.0,346.0,5207.0
60,3,4,4861,M06,5207.0,9.0,355.0,5216.0
60,3,5,4861,M08,5257.0,52.0,448.0,5309.0
60,3,6,4861,M07,5309.0,85.0,533.0,5394.0
60,3,7,4861,M03,5394.0,98.0,631.0,5492.0
60,3,8,4861,M09,5492.0,22.0,653.0,5514.0
60,3,9,4861,M05,5514.0,43.0,696.0,5557.0
61,7,0,5105,M02,5105.0,31.0,31.0,5136.0
61,7,1,5105,M00,5136.0,86.0,117.0,5222.0
61,7,2,5105,M01,5270.0,46.0,211.0,5316.0
61,7,3,5105,M05,5316.0,74.0,285.0,5390.0
61,7,4,5105,M04,5390.0,32.0,317.0,5422.0
61,7,5,5105,M06,5422.0,88.0,405.0,5510.0
61,7,6,5105,M08,5510.0,19.0,424.0,5529.0
61,7,7,5105,M09,5529.0,48.0,472.0,5577.0
61,7,8,5105,M07,5577.0,36.0,508.0,5613.0
61,7,9,5105,M03,5613.0,79.0,587.0,5692.0
62,2,0,5179,M01,5179.0,91.0,91.0,5270.0
62,2,1,5179,M00,5270.0,85.0,176.0,5355.0
62,2,2,5179,M03,5355.0,39.0,215.0,5394.0
62,2,3,5179,M02,5394.0,74.0,289.0,5468.0
62,2,4,5179,M08,5529.0,90.0,440.0,5619.0
62,2,5,5179,M05,5619.0,10.0,450.0,5629.0
62,2,6,5179,M07,5629.0,12.0,462.0,5641.0
62,2,7,5179,M06,5641.0,89.0,551.0,5730.0
62,2,8,5179,M09,5759.0,45.0,625.0,5804.0
62,2,9,5179,M04,5804.0,33.0,658.0,5837.0
63,5,0,5239,M02,5239.0,84.0,84.0,5323.0
63,5,1,5239,M01,5323.0,2.0,86.0,5325.0
63,5,2,5239,M05,5390.0,52.0,203.0,5442.0
63,5,3,5239,M03,5492.0,95.0,348.0,5587.0
63,5,4,5239,M08,5683.0,48.0,492.0,5731.0
63,5,5,5239,M09,5804.0,72.0,637.0,5876.0
63,5,6,5239,M00,5876.0,47.0,684.0,5923.0
63,5,7,5239,M06,5923.0,65.0,749.0,5988.0
63,5,8,5239,M04,5997.0,6.0,764.0,6003.0
63,5,9,5239,M07,6003.0,25.0,789.0,6028.0
64,9,0,5413,M01,5413.0,85.0,85.0,5498.0
64,9,1,5413,M00,5498.0,13.0,98.0,5511.0
64,9,2,5413,M02,5511.0,61.0,159.0,5572.0
64,9,3,5413,M06,5572.0,7.0,166.0,5579.0
64,9,4,5413,M08,5619.0,64.0,270.0,5683.0
64,9,5,5413,M09,5683.0,76.0,346.0,5759.0
64,9,6,5413,M05,5759.0,47.0,393.0,5806.0
64,9,7,5413,M03,5806.0,52.0,445.0,5858.0
64,9,8,5413,M04,5858.0,90.0,535.0,5948.0
64,9,9,5413,M07,5948.0,45.0,580.0,5993.0
65,8,0,5586,M00,5607.0,76.0,97.0,5683.0
65,8,1,5586,M01,5697.0,69.0,180.0,5766.0
65,8,2,5586,M03,5894.0,76.0,384.0,5970.0
65,8,3,5586,M05,5970.0,51.0,435.0,6021.0
65,8,4,5586,M02,6021.0,85.0,520.0,6106.0
65,8,5,5586,M09,6106.0,11.0,531.0,6117.0
65,8,6,5586,M06,6117.0,40.0,571.0,6157.0
65,8,7,5586,M07,6160.0,89.0,663.0,6249.0
65,8,8,5586,M04,6249.0,26.0,689.0,6275.0
65,8,9,5586,M08,6275.0,74.0,763.0,6349.0
66,4,0,5587,M02,5587.0,14.0,14.0,5601.0
66,4,1,5587,M00,5601.0,6.0,20.0,5607.0
66,4,2,5587,M01,5607.0,22.0,42.0,5629.0
66,4,3,5587,M05,5629.0,61.0,103.0,5690.0
66,4,4,5587,M03,5692.0,26.0,131.0,5718.0
66,4,5,5587,M04,5718.0,69.0,200.0,5787.0
66,4,6,5587,M08,5787.0,21.0,221.0,5808.0
66,4,7,5587,M07,5868.0,49.0,330.0,5917.0
66,4,8,5587,M09,5917.0,72.0,402.0,5989.0
66,4,9,5587,M06,5989.0,53.0,455.0,6042.0
67,0,0,5649,M00,5734.0,29.0,114.0,5763.0
67,0,1,5649,M01,5766.0,78.0,195.0,5844.0
67,0,2,5649,M02,5844.0,9.0,204.0,5853.0
67,0,3,5649,M03,5858.0,36.0,245.0,5894.0
67,0,4,5649,M04,5948.0,49.0,348.0,5997.0
67,0,5,5649,M05,6021.0,11.0,383.0,6032.0
67,0,6,5649,M06,6042.0,62.0,455.0,6104.0
67,0,7,5649,M07,6104.0,56.0,511.0,6160.0
67,0,8,5649,M08,6160.0,44.0,555.0,6204.0
67,0,9,5649,M09,6204.0,21.0,576.0,6225.0
68,6,0,5651,M01,5651.0,46.0,46.0,5697.0
68,6,1,5651,M00,5697.0,37.0,83.0,5734.0
68,6,2,5651,M03,5734.0,61.0,144.0,5795.0
68,6,3,5651,M02,5795.0,13.0,157.0,5808.0
68,6,4,5651,M06,5808.0,32.0,189.0,5840.0
68,6,5,5651,M05,5840.0,21.0,210.0,5861.0
68,6,6,5651,M09,5876.0,32.0,257.0,5908.0
68,6,7,5651,M08,5908.0,89.0,346.0,5997.0
68,6,8,5651,M07,6028.0,30.0,407.0,6058.0
68,6,9,5651,M04,6078.0,55.0,482.0,6133.0
69,1,0,5667,M00,5763.0,43.0,139.0,5806.0
69,1,1,5667,M02,5853.0,90.0,276.0,5943.0
69,1,2,5667,M04,6003.0,75.0,411.0,6078.0
69,1,3,5667,M09,6078.0,11.0,422.0,6089.0
69,1,4,5667,M03,6089.0,69.0,491.0,6158.0
69,1,5,5667,M01,6158.0,28.0,519.0,6186.0
69,1,6,5667,M06,6186.0,46.0,565.0,6232.0
69,1,7,5667,M05,6232.0,46.0,611.0,6278.0
