Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_065,9,4592.76,M6,5760.0,53.0,1220.24,5813.0
Job_067,6,4662.39,M8,5760.0,19.0,1116.61,5779.0
Job_079,0,5275.68,M0,5760.0,29.0,513.32,5789.0
Job_064,9,4447.06,M4,5772.9,33.0,1358.84,5805.9
Job_075,2,4915.0,M1,5774.73,22.0,881.73,5796.73
Job_066,4,4614.0,M8,5779.0,48.0,1213.0,5827.0
Job_067,7,4662.39,M9,5779.0,48.0,1164.61,5827.0
Job_074,1,4889.42,M0,5789.0,85.0,984.58,5874.0
Job_075,3,4915.0,M5,5796.73,61.0,942.73,5857.73
Job_077,0,5061.6,M1,5796.73,85.0,820.13,5881.73
Job_068,4,4727.51,M4,5805.9,49.0,1127.39,5854.9
Job_063,4,4309.16,M6,5813.0,9.0,1512.84,5822.0
Job_072,3,4814.27,M2,5817.26,13.0,1015.99,5830.26
Job_063,5,4309.16,M8,5827.0,52.0,1569.84,5879.0
Job_066,5,4614.0,M9,5827.0,72.0,1285.0,5899.0
Job_067,8,4662.39,M7,5827.0,36.0,1200.61,5863.0
Job_072,4,4814.27,M6,5830.26,32.0,1047.99,5862.26
Job_081,0,5328.88,M2,5830.26,14.0,515.38,5844.26
Job_073,1,4846.39,M2,5844.26,95.0,1092.87,5939.26
Job_070,4,4757.93,M4,5854.9,32.0,1128.97,5886.9
Job_068,5,4727.51,M5,5857.73,11.0,1141.22,5868.73
Job_067,9,4662.39,M3,5863.0,79.0,1279.61,5942.0
Job_072,5,4814.27,M5,5868.73,21.0,1075.46,5889.73
Job_076,0,5035.98,M0,5874.0,43.0,881.02,5917.0
Job_063,6,4309.16,M7,5879.0,85.0,1654.84,5964.0
Job_079,1,5275.68,M1,5881.73,78.0,684.05,5959.73
Job_070,5,4757.93,M6,5886.9,88.0,1216.97,5974.9
Job_069,5,4730.17,M9,5899.0,11.0,1179.83,5910.0
Job_072,6,4814.27,M9,5910.0,32.0,1127.73,5942.0
Job_081,1,5328.88,M0,5917.0,6.0,594.12,5923.0
Job_083,0,5382.95,M0,5923.0,29.0,569.05,5952.0
Job_072,7,4814.27,M8,5942.0,89.0,1216.73,6031.0
Job_074,2,4889.42,M3,5942.0,39.0,1091.58,5981.0
Job_066,6,4614.0,M0,5952.0,47.0,1385.0,5999.0
Job_079,2,5275.68,M2,5959.73,9.0,693.05,5968.73
Job_081,2,5328.88,M1,5959.73,22.0,652.85,5981.73
Job_076,1,5035.98,M2,5968.73,90.0,1022.75,6058.73
Job_068,6,4727.51,M6,5974.9,62.0,1309.39,6036.9
Job_075,4,4915.0,M3,5981.0,26.0,1092.0,6007.0
Job_081,3,5328.88,M5,5981.73,61.0,713.85,6042.73
Job_083,1,5382.95,M1,5981.73,78.0,676.78,6059.73
Job_077,1,5061.6,M0,5999.0,13.0,950.4,6012.0
Job_075,5,4915.0,M4,6007.0,69.0,1161.0,6076.0
Job_079,3,5275.68,M3,6007.0,36.0,767.32,6043.0
Job_084,0,5400.02,M0,6012.0,43.0,654.98,6055.0
Job_070,6,4757.93,M8,6031.0,19.0,1292.07,6050.0
Job_068,7,4727.51,M7,6036.9,56.0,1365.39,6092.9
Job_069,6,4730.17,M6,6036.9,40.0,1346.73,6076.9
Job_071,2,4796.69,M3,6043.0,76.0,1322.31,6119.0
Job_070,7,4757.93,M9,6050.0,48.0,1340.07,6098.0
Job_073,2,4846.39,M0,6055.0,71.0,1279.61,6126.0
Job_080,0,5310.87,M1,6059.73,91.0,839.86,6150.73
Job_083,2,5382.95,M2,6059.73,9.0,685.78,6068.73
Job_074,3,4889.42,M2,6068.73,74.0,1253.31,6142.73
Job_075,6,4915.0,M8,6076.0,21.0,1182.0,6097.0
Job_079,4,5275.68,M4,6076.0,49.0,849.32,6125.0
Job_066,7,4614.0,M6,6076.9,65.0,1527.9,6141.9
Job_069,7,4730.17,M7,6092.9,89.0,1451.73,6181.9
Job_068,8,4727.51,M8,6097.0,44.0,1413.49,6141.0
Job_081,4,5328.88,M3,6119.0,26.0,816.12,6145.0
Job_079,5,5275.68,M5,6130.9,11.0,866.22,6141.9
Job_068,9,4727.51,M9,6141.0,21.0,1434.49,6162.0
Job_071,3,4796.69,M5,6141.9,51.0,1396.21,6192.9
Job_079,6,5275.68,M6,6141.9,62.0,928.22,6203.9
Job_074,4,4889.42,M8,6142.73,90.0,1343.31,6232.73
Job_086,0,5470.69,M2,6142.73,84.0,756.04,6226.73
Job_081,5,5328.88,M4,6145.0,69.0,885.12,6214.0
Job_083,3,5382.95,M3,6145.0,36.0,798.05,6181.0
Job_080,1,5310.87,M0,6150.73,85.0,924.86,6235.73
Job_085,0,5422.35,M1,6150.73,46.0,774.38,6196.73
Job_063,7,4309.16,M3,6181.0,98.0,1969.84,6279.0
Job_083,4,5382.95,M4,6214.0,49.0,880.05,6263.0
Job_078,0,5146.59,M2,6226.73,84.0,1164.14,6310.73
