Job,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
Job_018,2,696.89,M3,1464.73,76.0,843.84,1540.73
Job_014,6,548.96,M8,1466.39,21.0,938.43,1487.39
Job_012,7,516.39,M6,1474.76,65.0,1023.37,1539.76
Job_020,0,951.66,M0,1474.76,43.0,566.1,1517.76
Job_010,9,463.55,M9,1475.92,21.0,1033.37,1496.92
Job_017,3,639.27,M2,1478.89,74.0,913.62,1552.89
Job_015,7,567.55,M8,1487.39,89.0,1008.84,1576.39
Job_019,3,825.58,M4,1495.64,99.0,769.06,1594.64
Job_021,1,991.18,M1,1497.09,2.0,507.91,1499.09
Job_021,2,991.18,M5,1499.09,52.0,559.91,1551.09
Job_022,0,1073.09,M1,1499.09,85.0,511.0,1584.09
Job_014,7,548.96,M7,1514.59,49.0,1014.63,1563.59
Job_011,7,509.07,M3,1540.73,52.0,1083.66,1592.73
Job_018,3,696.89,M5,1551.09,51.0,905.2,1602.09
Job_020,1,951.66,M2,1552.89,90.0,691.23,1642.89
Job_009,9,419.9,M7,1563.59,45.0,1188.69,1608.59
Job_014,8,548.96,M9,1563.59,72.0,1086.63,1635.59
Job_017,4,639.27,M8,1576.39,90.0,1027.12,1666.39
Job_022,1,1073.09,M0,1584.09,13.0,524.0,1597.09
Job_013,9,547.02,M3,1592.73,79.0,1124.71,1671.73
Job_012,8,516.39,M4,1594.64,6.0,1084.25,1600.64
Job_023,0,1237.86,M0,1597.09,76.0,435.23,1673.09
Job_016,2,623.69,M4,1600.64,75.0,1051.95,1675.64
Job_012,9,516.39,M7,1608.59,25.0,1117.2,1633.59
Job_015,8,567.55,M7,1633.59,30.0,1096.04,1663.59
Job_014,9,548.96,M6,1635.59,53.0,1139.63,1688.59
Job_018,4,696.89,M2,1642.89,85.0,1031.0,1727.89
Job_017,5,639.27,M5,1666.39,10.0,1037.12,1676.39
Job_021,3,991.18,M3,1671.73,95.0,775.55,1766.73
Job_011,8,509.07,M4,1675.64,90.0,1256.57,1765.64
Job_016,3,623.69,M9,1675.64,11.0,1062.95,1686.64
Job_017,6,639.27,M7,1676.39,12.0,1049.12,1688.39
Job_017,7,639.27,M6,1688.59,89.0,1138.32,1777.59
Job_022,2,1073.09,M2,1727.89,61.0,715.8,1788.89
Job_025,0,1279.37,M1,1744.73,91.0,556.36,1835.73
Job_018,5,696.89,M9,1759.09,11.0,1073.2,1770.09
Job_011,9,509.07,M7,1765.64,45.0,1301.57,1810.64
Job_020,2,951.66,M4,1765.64,75.0,888.98,1840.64
Job_016,4,623.69,M3,1766.73,69.0,1212.04,1835.73
Job_019,4,825.58,M6,1777.59,9.0,961.01,1786.59
Job_018,6,696.89,M6,1786.59,40.0,1129.7,1826.59
Job_021,4,991.18,M8,1805.09,48.0,861.91,1853.09
Job_018,7,696.89,M7,1826.59,89.0,1218.7,1915.59
Job_016,5,623.69,M1,1835.73,28.0,1240.04,1863.73
Job_015,9,567.55,M4,1840.64,55.0,1328.09,1895.64
Job_020,3,951.66,M9,1840.64,11.0,899.98,1851.64
Job_017,8,639.27,M9,1851.64,45.0,1257.37,1896.64
Job_020,4,951.66,M3,1851.64,69.0,968.98,1920.64
Job_019,5,825.58,M8,1853.09,52.0,1079.51,1905.09
Job_022,3,1073.09,M6,1856.73,7.0,790.64,1863.73
Job_016,6,623.69,M6,1863.73,46.0,1286.04,1909.73
Job_024,0,1265.29,M1,1863.73,81.0,679.44,1944.73
Job_017,9,639.27,M4,1896.64,33.0,1290.37,1929.64
Job_021,5,991.18,M9,1896.64,72.0,977.46,1968.64
Job_022,4,1073.09,M8,1905.09,64.0,896.0,1969.09
Job_016,7,623.69,M5,1909.73,46.0,1332.04,1955.73
Job_027,0,1420.54,M2,1913.73,31.0,524.19,1944.73
Job_019,6,825.58,M7,1915.59,85.0,1175.01,2000.59
Job_018,8,696.89,M4,1929.64,26.0,1258.75,1955.64
Job_020,5,951.66,M1,1944.73,28.0,1021.07,1972.73
Job_024,1,1265.29,M2,1944.73,95.0,774.44,2039.73
Job_021,6,991.18,M0,1968.64,47.0,1024.46,2015.64
Job_018,9,696.89,M8,1969.09,74.0,1346.2,2043.09
Job_022,5,1073.09,M9,1969.09,76.0,972.0,2045.09
Job_020,6,951.66,M6,1972.73,46.0,1067.07,2018.73
Job_023,1,1237.86,M1,1972.73,69.0,803.87,2041.73
Job_016,8,623.69,M7,2000.59,72.0,1448.9,2072.59
Job_025,1,1279.37,M0,2015.64,85.0,821.27,2100.64
