Job,Production_Plan_ID,Operation,Arrival,Machine,Start,Processing Time,Flow time,End
44,9,7,3379,M03,4429.0,52.0,1102.0,4481.0
44,9,8,3379,M04,4552.0,90.0,1263.0,4642.0
44,9,9,3379,M07,4653.0,45.0,1319.0,4698.0
45,3,8,3467,M09,4324.0,22.0,879.0,4346.0
45,3,9,3467,M05,4346.0,43.0,922.0,4389.0
46,7,5,3531,M06,4321.0,88.0,878.0,4409.0
46,7,6,3531,M08,4605.0,19.0,1093.0,4624.0
46,7,7,3531,M09,4624.0,48.0,1141.0,4672.0
46,7,8,3531,M07,4698.0,36.0,1203.0,4734.0
46,7,9,3531,M03,4734.0,79.0,1282.0,4813.0
47,1,4,3544,M03,4324.0,69.0,849.0,4393.0
47,1,5,3544,M01,4404.0,28.0,888.0,4432.0
47,1,6,3544,M06,4432.0,46.0,934.0,4478.0
47,1,7,3544,M05,4478.0,46.0,980.0,4524.0
47,1,8,3544,M07,4524.0,72.0,1052.0,4596.0
47,1,9,3544,M08,4624.0,30.0,1110.0,4654.0
48,8,8,3632,M04,4413.0,26.0,807.0,4439.0
48,8,9,3632,M08,4531.0,74.0,973.0,4605.0
49,6,5,3653,M05,4321.0,21.0,689.0,4342.0
49,6,6,3653,M09,4346.0,32.0,725.0,4378.0
49,6,7,3653,M08,4378.0,89.0,814.0,4467.0
49,6,8,3653,M07,4467.0,30.0,844.0,4497.0
49,6,9,3653,M04,4497.0,55.0,899.0,4552.0
50,1,2,3804,M04,4338.0,75.0,609.0,4413.0
50,1,3,3804,M09,4444.0,11.0,651.0,4455.0
50,1,4,3804,M03,4557.0,69.0,822.0,4626.0
50,1,5,3804,M01,4626.0,28.0,850.0,4654.0
50,1,6,3804,M06,4654.0,46.0,896.0,4700.0
50,1,7,3804,M05,4700.0,46.0,942.0,4746.0
50,1,8,3804,M07,4746.0,72.0,1014.0,4818.0
50,1,9,3804,M08,4821.0,30.0,1047.0,4851.0
51,3,1,3843,M02,4492.0,95.0,744.0,4587.0
51,3,2,3843,M00,4587.0,71.0,815.0,4658.0
51,3,3,3843,M04,4658.0,99.0,914.0,4757.0
51,3,4,3843,M06,4757.0,9.0,923.0,4766.0
51,3,5,3843,M08,4769.0,52.0,978.0,4821.0
51,3,6,3843,M07,4821.0,85.0,1063.0,4906.0
51,3,7,3843,M03,4920.0,98.0,1175.0,5018.0
51,3,8,3843,M09,5018.0,22.0,1197.0,5040.0
51,3,9,3843,M05,5042.0,43.0,1242.0,5085.0
52,5,0,4013,M02,4408.0,84.0,479.0,4492.0
52,5,1,4013,M01,4492.0,2.0,481.0,4494.0
52,5,2,4013,M05,4535.0,52.0,574.0,4587.0
52,5,3,4013,M03,4626.0,95.0,708.0,4721.0
52,5,4,4013,M08,4721.0,48.0,756.0,4769.0
52,5,5,4013,M09,4769.0,72.0,828.0,4841.0
52,5,6,4013,M00,4841.0,47.0,875.0,4888.0
52,5,7,4013,M06,4888.0,65.0,940.0,4953.0
52,5,8,4013,M04,5010.0,6.0,1003.0,5016.0
52,5,9,4013,M07,5067.0,25.0,1079.0,5092.0
