Job,Production_Plan_ID,Arrival,Deadline
0,0,51,1957.0
1,1,136,2597.0
2,2,158,2899.0
3,3,236,3397.0
4,4,404,2301.0
5,5,485,2879.0
6,6,501,2509.0
7,7,528,3129.0
8,8,550,3431.0
9,9,559,3165.0
10,0,963,2869.0
11,9,969,3575.0
12,8,992,3873.0
13,2,1046,3787.0
14,4,1177,3074.0
15,7,1193,3794.0
16,1,1310,3771.0
17,3,1343,4504.0
18,5,1459,3853.0
19,6,1460,3468.0
20,7,1537,4138.0
21,3,1561,4722.0
22,2,1588,4329.0
23,8,1626,4507.0
24,5,1673,4067.0
25,6,1874,3882.0
26,9,1966,4572.0
27,4,2226,4123.0
28,0,2287,4193.0
29,1,2338,4799.0
30,8,2379,5260.0
31,1,2520,4981.0
32,5,2588,4982.0
33,6,2641,4649.0
34,9,2645,5251.0
35,7,2691,5292.0
36,3,2709,5870.0
37,2,2762,5503.0
38,4,2770,4667.0
39,0,2781,4687.0
40,4,2989,4886.0
41,5,3246,5640.0
42,0,3252,5158.0
43,2,3372,6113.0
44,9,3379,5985.0
45,3,3467,6628.0
46,7,3531,6132.0
47,1,3544,6005.0
48,8,3632,6513.0
49,6,3653,5661.0
50,1,3804,6265.0
51,3,3843,7004.0
52,5,4013,6407.0
53,9,4015,6621.0
54,8,4109,6990.0
55,0,4190,6096.0
56,2,4403,7144.0
57,7,4471,7072.0
58,6,4717,6725.0
59,4,4738,6635.0
60,3,4861,8022.0
61,7,5105,7706.0
62,2,5179,7920.0
63,5,5239,7633.0
64,9,5413,8019.0
65,8,5586,8467.0
66,4,5587,7484.0
67,0,5649,7555.0
68,6,5651,7659.0
69,1,5667,8128.0
70,0,5757,7663.0
71,9,5768,8374.0
72,8,5852,8733.0
73,2,5887,8628.0
74,7,5949,8550.0
75,3,6113,9274.0
76,4,6155,8052.0
77,6,6316,8324.0
78,1,6373,8834.0
79,5,6506,8900.0
80,1,6550,9011.0
81,0,6565,8471.0
82,3,6590,9751.0
83,7,6654,9255.0
84,6,6799,8807.0
85,9,7037,9643.0
86,4,7055,8952.0
87,2,7162,9903.0
88,5,7185,9579.0
89,8,7283,10164.0
90,9,7316,9922.0
91,3,7317,10478.0
92,8,7438,10319.0
93,7,7448,10049.0
94,4,7485,9382.0
95,2,7497,10238.0
96,0,7597,9503.0
97,6,7673,9681.0
98,5,7790,10184.0
99,1,7866,10327.0
100,8,7893,10774.0
101,6,7971,9979.0
102,0,8071,9977.0
103,2,8081,10822.0
104,3,8087,11248.0
105,1,8105,10566.0
106,9,8229,10835.0
107,5,8243,10637.0
108,4,8250,10147.0
109,7,8263,10864.0
110,0,8293,10199.0
111,9,8329,10935.0
112,5,8372,10766.0
113,7,8448,11049.0
114,4,8595,10492.0
115,6,8596,10604.0
116,1,8694,11155.0
117,2,8783,11524.0
118,8,8800,11681.0
119,3,8899,12060.0
120,1,8917,11378.0
121,5,8927,11321.0
122,9,8938,11544.0
123,8,8946,11827.0
124,3,8981,12142.0
125,2,9056,11797.0
126,6,9071,11079.0
127,7,9097,11698.0
128,0,9121,11027.0
129,4,9154,11051.0
130,0,9352,11258.0
131,1,9361,11822.0
132,6,9636,11644.0
133,2,9691,12432.0
134,8,9696,12577.0
135,5,9742,12136.0
136,4,9802,11699.0
137,7,9868,12469.0
138,3,9936,13097.0
139,9,9975,12581.0
140,0,10040,11946.0
141,9,10105,12711.0
142,8,10242,13123.0
143,1,10367,12828.0
144,5,10461,12855.0
145,6,10468,12476.0
146,3,10521,13682.0
147,4,10568,12465.0
148,7,10653,13254.0
149,2,10671,13412.0
150,6,10713,12721.0
151,4,10752,12649.0
152,8,11013,13894.0
153,9,11043,13649.0
154,0,11148,13054.0
155,7,11167,13768.0
156,5,11252,13646.0
157,2,11265,14006.0
158,3,11475,14636.0
159,1,11566,14027.0
160,1,11579,14040.0
161,9,11640,14246.0
162,6,11654,13662.0
163,3,11675,14836.0
164,2,11684,14425.0
165,4,11993,13890.0
166,5,12062,14456.0
167,7,12071,14672.0
168,0,12145,14051.0
169,8,12185,15066.0
170,7,12200,14801.0
171,8,12212,15093.0
172,6,12212,14220.0
173,3,12215,15376.0
174,2,12262,15003.0
175,4,12274,14171.0
176,1,12334,14795.0
177,9,12342,14948.0
178,5,12421,14815.0
179,0,12435,14341.0
180,2,12479,15220.0
181,4,12688,14585.0
182,7,12753,15354.0
183,0,12796,14702.0
184,1,12860,15321.0
185,6,12870,14878.0
186,5,12943,15337.0
187,8,12980,15861.0
188,3,13037,16198.0
189,9,13087,15693.0
190,5,13125,15519.0
191,9,13253,15859.0
192,4,13466,15363.0
193,6,13595,15603.0
194,2,13722,16463.0
195,8,13823,16704.0
196,0,13975,15881.0
197,7,13976,16577.0
198,1,14011,16472.0
199,3,14112,17273.0
200,6,14169,16177.0
201,0,14355,16261.0
202,5,14369,16763.0
203,8,14423,17304.0
204,3,14487,17648.0
205,1,14577,17038.0
206,7,14578,17179.0
207,2,14593,17334.0
208,9,14664,17270.0
209,4,14781,16678.0
210,1,14824,17285.0
211,0,14842,16748.0
212,9,14888,17494.0
213,4,14897,16794.0
214,5,15001,17395.0
215,8,15168,18049.0
216,6,15290,17298.0
217,3,15337,18498.0
218,2,15384,18125.0
219,7,15398,17999.0
220,0,15402,17308.0
221,5,15402,17796.0
222,4,15510,17407.0
223,8,15639,18520.0
224,3,15644,18805.0
225,7,15959,18560.0
226,6,15987,17995.0
227,1,16006,18467.0
228,2,16140,18881.0
229,9,16152,18758.0
230,1,16349,18810.0
231,8,16389,19270.0
232,6,16400,18408.0
233,5,16427,18821.0
234,0,16454,18360.0
235,3,16488,19649.0
236,2,16707,19448.0
237,4,16725,18622.0
238,9,16812,19418.0
239,7,16893,19494.0
240,2,16913,19654.0
241,9,17028,19634.0
242,3,17130,20291.0
243,8,17212,20093.0
244,0,17268,19174.0
