Job,Production_Plan_ID,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
0,0,0,51,1957.0,M00,51.0,29.0,80.0,0
0,0,1,51,1957.0,M01,80.0,78.0,158.0,0
0,0,2,51,1957.0,M02,158.0,9.0,167.0,0
0,0,3,51,1957.0,M03,167.0,36.0,203.0,0
0,0,4,51,1957.0,M04,203.0,49.0,252.0,0
0,0,5,51,1957.0,M05,252.0,11.0,263.0,0
0,0,6,51,1957.0,M06,263.0,62.0,325.0,0
0,0,7,51,1957.0,M07,325.0,56.0,381.0,0
0,0,8,51,1957.0,M08,381.0,44.0,425.0,0
4,4,0,404,2301.0,M02,404.0,14.0,418.0,0
4,4,1,404,2301.0,M00,418.0,6.0,424.0,0
4,4,2,404,2301.0,M01,424.0,22.0,446.0,0
0,0,9,51,1957.0,M09,425.0,21.0,446.0,0
4,4,3,404,2301.0,M05,446.0,61.0,507.0,0
6,6,0,501,2509.0,M01,501.0,46.0,547.0,0
4,4,4,404,2301.0,M03,507.0,26.0,533.0,0
4,4,5,404,2301.0,M04,533.0,69.0,602.0,0
6,6,1,501,2509.0,M00,547.0,37.0,584.0,0
1,1,0,136,2597.0,M00,584.0,43.0,627.0,0
6,6,2,501,2509.0,M03,584.0,61.0,645.0,0
4,4,6,404,2301.0,M08,602.0,21.0,623.0,0
4,4,7,404,2301.0,M07,623.0,49.0,672.0,0
6,6,3,501,2509.0,M02,645.0,13.0,658.0,0
1,1,1,136,2597.0,M02,658.0,90.0,748.0,0
4,4,8,404,2301.0,M09,672.0,72.0,744.0,0
4,4,9,404,2301.0,M06,744.0,53.0,797.0,0
1,1,2,136,2597.0,M04,748.0,75.0,823.0,0
5,5,0,485,2879.0,M02,748.0,84.0,832.0,0
6,6,4,501,2509.0,M06,797.0,32.0,829.0,0
1,1,3,136,2597.0,M09,823.0,11.0,834.0,0
6,6,5,501,2509.0,M05,829.0,21.0,850.0,0
1,1,4,136,2597.0,M03,834.0,69.0,903.0,0
6,6,6,501,2509.0,M09,850.0,32.0,882.0,0
6,6,7,501,2509.0,M08,882.0,89.0,971.0,0
1,1,5,136,2597.0,M01,903.0,28.0,931.0,0
1,1,6,136,2597.0,M06,931.0,46.0,977.0,0
5,5,1,485,2879.0,M01,931.0,2.0,933.0,0
2,2,0,158,2899.0,M01,933.0,91.0,1024.0,0
10,0,0,963,2869.0,M00,963.0,29.0,992.0,0
6,6,8,501,2509.0,M07,971.0,30.0,1001.0,0
1,1,7,136,2597.0,M05,977.0,46.0,1023.0,0
6,6,9,501,2509.0,M04,1001.0,55.0,1056.0,0
1,1,8,136,2597.0,M07,1023.0,72.0,1095.0,0
10,0,1,963,2869.0,M01,1024.0,78.0,1102.0,0
2,2,1,158,2899.0,M00,1024.0,85.0,1109.0,0
1,1,9,136,2597.0,M08,1095.0,30.0,1125.0,0
10,0,2,963,2869.0,M02,1102.0,9.0,1111.0,0
10,0,3,963,2869.0,M03,1111.0,36.0,1147.0,0
10,0,4,963,2869.0,M04,1147.0,49.0,1196.0,0
10,0,5,963,2869.0,M05,1196.0,11.0,1207.0,0
10,0,6,963,2869.0,M06,1207.0,62.0,1269.0,0
5,5,2,485,2879.0,M05,1207.0,52.0,1259.0,0
5,5,3,485,2879.0,M03,1259.0,95.0,1354.0,0
10,0,7,963,2869.0,M07,1269.0,56.0,1325.0,0
10,0,8,963,2869.0,M08,1325.0,44.0,1369.0,0
2,2,2,158,2899.0,M03,1354.0,39.0,1393.0,0
10,0,9,963,2869.0,M09,1369.0,21.0,1390.0,0
5,5,4,485,2879.0,M08,1369.0,48.0,1417.0,0
2,2,3,158,2899.0,M02,1393.0,74.0,1467.0,0
5,5,5,485,2879.0,M09,1417.0,72.0,1489.0,0
14,4,0,1177,3074.0,M02,1467.0,14.0,1481.0,0
2,2,4,158,2899.0,M08,1467.0,90.0,1557.0,0
7,7,0,528,3129.0,M02,1481.0,31.0,1512.0,0
5,5,6,485,2879.0,M00,1489.0,47.0,1536.0,0
14,4,1,1177,3074.0,M00,1536.0,6.0,1542.0,0
5,5,7,485,2879.0,M06,1536.0,65.0,1601.0,0
14,4,2,1177,3074.0,M01,1542.0,22.0,1564.0,0
7,7,1,528,3129.0,M00,1542.0,86.0,1628.0,0
2,2,5,158,2899.0,M05,1557.0,10.0,1567.0,0
14,4,3,1177,3074.0,M05,1567.0,61.0,1628.0,0
5,5,8,485,2879.0,M04,1601.0,6.0,1607.0,0
5,5,9,485,2879.0,M07,1607.0,25.0,1632.0,0
14,4,4,1177,3074.0,M03,1628.0,26.0,1654.0,0
7,7,2,528,3129.0,M01,1628.0,46.0,1674.0,0
2,2,6,158,2899.0,M07,1632.0,12.0,1644.0,0
2,2,7,158,2899.0,M06,1644.0,89.0,1733.0,0
14,4,5,1177,3074.0,M04,1654.0,69.0,1723.0,0
7,7,3,528,3129.0,M05,1674.0,74.0,1748.0,0
9,9,0,559,3165.0,M01,1674.0,85.0,1759.0,0
14,4,6,1177,3074.0,M08,1723.0,21.0,1744.0,0
2,2,8,158,2899.0,M09,1733.0,45.0,1778.0,0
14,4,7,1177,3074.0,M07,1744.0,49.0,1793.0,0
3,3,0,236,3397.0,M01,1759.0,81.0,1840.0,0
9,9,1,559,3165.0,M00,1759.0,13.0,1772.0,0
8,8,0,550,3431.0,M00,1772.0,76.0,1848.0,0
9,9,2,559,3165.0,M02,1772.0,61.0,1833.0,0
2,2,9,158,2899.0,M04,1778.0,33.0,1811.0,0
14,4,8,1177,3074.0,M09,1793.0,72.0,1865.0,0
7,7,4,528,3129.0,M04,1811.0,32.0,1843.0,0
3,3,1,236,3397.0,M02,1840.0,95.0,1935.0,0
7,7,5,528,3129.0,M06,1843.0,88.0,1931.0,0
8,8,1,550,3431.0,M01,1848.0,69.0,1917.0,0
11,9,0,969,3575.0,M01,1917.0,85.0,2002.0,0
14,4,9,1177,3074.0,M06,1931.0,53.0,1984.0,0
7,7,6,528,3129.0,M08,1931.0,19.0,1950.0,0
3,3,2,236,3397.0,M00,1935.0,71.0,2006.0,0
7,7,7,528,3129.0,M09,1950.0,48.0,1998.0,0
9,9,3,559,3165.0,M06,1984.0,7.0,1991.0,0
9,9,4,559,3165.0,M08,1991.0,64.0,2055.0,0
7,7,8,528,3129.0,M07,1998.0,36.0,2034.0,0
13,2,0,1046,3787.0,M01,2002.0,91.0,2093.0,0
11,9,1,969,3575.0,M00,2006.0,13.0,2019.0,0
3,3,3,236,3397.0,M04,2006.0,99.0,2105.0,0
16,1,0,1310,3771.0,M00,2019.0,43.0,2062.0,0
7,7,9,528,3129.0,M03,2034.0,79.0,2113.0,0
9,9,5,559,3165.0,M09,2055.0,76.0,2131.0,0
13,2,1,1046,3787.0,M00,2093.0,85.0,2178.0,0
3,3,4,236,3397.0,M06,2105.0,9.0,2114.0,0
3,3,5,236,3397.0,M08,2114.0,52.0,2166.0,0
9,9,6,559,3165.0,M05,2131.0,47.0,2178.0,0
3,3,6,236,3397.0,M07,2166.0,85.0,2251.0,0
9,9,7,559,3165.0,M03,2178.0,52.0,2230.0,0
9,9,8,559,3165.0,M04,2230.0,90.0,2320.0,0
3,3,7,236,3397.0,M03,2251.0,98.0,2349.0,0
9,9,9,559,3165.0,M07,2320.0,45.0,2365.0,0
3,3,8,236,3397.0,M09,2349.0,22.0,2371.0,0
8,8,2,550,3431.0,M03,2349.0,76.0,2425.0,0
8,8,3,550,3431.0,M05,2425.0,51.0,2476.0,0
3,3,9,236,3397.0,M05,2476.0,43.0,2519.0,0
8,8,4,550,3431.0,M02,2476.0,85.0,2561.0,0
11,9,2,969,3575.0,M02,2561.0,61.0,2622.0,0
8,8,5,550,3431.0,M09,2561.0,11.0,2572.0,0
8,8,6,550,3431.0,M06,2572.0,40.0,2612.0,0
8,8,7,550,3431.0,M07,2612.0,89.0,2701.0,0
11,9,3,969,3575.0,M06,2622.0,7.0,2629.0,0
16,1,1,1310,3771.0,M02,2622.0,90.0,2712.0,0
11,9,4,969,3575.0,M08,2629.0,64.0,2693.0,0
11,9,5,969,3575.0,M09,2693.0,76.0,2769.0,0
8,8,8,550,3431.0,M04,2701.0,26.0,2727.0,0
8,8,9,550,3431.0,M08,2727.0,74.0,2801.0,0
11,9,6,969,3575.0,M05,2769.0,47.0,2816.0,0
11,9,7,969,3575.0,M03,2816.0,52.0,2868.0,0
11,9,8,969,3575.0,M04,2868.0,90.0,2958.0,0
13,2,2,1046,3787.0,M03,2868.0,39.0,2907.0,0
13,2,3,1046,3787.0,M02,2907.0,74.0,2981.0,0
11,9,9,969,3575.0,M07,2958.0,45.0,3003.0,0
16,1,2,1310,3771.0,M04,2958.0,75.0,3033.0,0
13,2,4,1046,3787.0,M08,2981.0,90.0,3071.0,0
15,7,0,1193,3794.0,M02,2994.0,31.0,3025.0,0
15,7,1,1193,3794.0,M00,3025.0,86.0,3111.0,0
