Job,Production_Plan_ID,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Tardiness
32,5,7,2588,4982.0,M06,5760.0,65.0,5825.0,843.0
55,0,0,4190,6096.0,M00,5760.0,29.0,5789.0,0.0
59,4,2,4738,6635.0,M01,5760.0,22.0,5782.0,0.0
34,9,9,2645,5251.0,M07,5760.25,45.0,5805.25,554.25
59,4,3,4738,6635.0,M05,5782.0,61.0,5843.0,0.0
44,9,1,3379,5985.0,M00,5789.0,13.0,5802.0,0.0
55,0,1,4190,6096.0,M01,5789.0,78.0,5867.0,0.0
35,7,4,2691,5292.0,M04,5793.0,32.0,5825.0,533.0
37,2,1,2762,5503.0,M00,5802.0,85.0,5887.0,384.0
32,5,8,2588,4982.0,M04,5825.0,6.0,5831.0,849.0
44,9,2,3379,5985.0,M02,5828.4,61.0,5889.4,0.0
32,5,9,2588,4982.0,M07,5831.0,25.0,5856.0,874.0
47,1,2,3544,6005.0,M04,5831.0,75.0,5906.0,0.0
59,4,4,4738,6635.0,M03,5843.0,26.0,5869.0,0.0
30,8,7,2379,5260.0,M07,5856.0,89.0,5945.0,685.0
46,7,2,3531,6132.0,M01,5867.0,46.0,5913.0,0.0
37,2,2,2762,5503.0,M03,5887.0,39.0,5926.0,423.0
50,1,0,3804,6265.0,M00,5887.0,43.0,5930.0,0.0
36,3,1,2709,5870.0,M02,5889.4,95.0,5984.4,114.4
44,9,3,3379,5985.0,M06,5889.4,7.0,5896.4,0.0
44,9,4,3379,5985.0,M08,5896.4,64.0,5960.4,0.0
59,4,5,4738,6635.0,M04,5906.0,69.0,5975.0,0.0
35,7,5,2691,5292.0,M06,5908.0,88.0,5996.0,704.0
47,1,3,3544,6005.0,M09,5908.78,11.0,5919.78,0.0
46,7,3,3531,6132.0,M05,5923.78,74.0,5997.78,0.0
43,2,1,3372,6113.0,M00,5930.0,85.0,6015.0,0.0
47,1,4,3544,6005.0,M03,5946.0,69.0,6015.0,10.0
44,9,5,3379,5985.0,M09,5960.4,76.0,6036.4,51.4
30,8,8,2379,5260.0,M04,5975.0,26.0,6001.0,741.0
59,4,6,4738,6635.0,M08,5975.0,21.0,5996.0,0.0
55,0,2,4190,6096.0,M02,5984.4,9.0,5993.4,0.0
37,2,3,2762,5503.0,M02,5993.4,74.0,6067.4,564.4
35,7,6,2691,5292.0,M08,5996.0,19.0,6015.0,723.0
59,4,7,4738,6635.0,M07,5996.0,49.0,6045.0,0.0
46,7,4,3531,6132.0,M04,6001.0,32.0,6033.0,0.0
30,8,9,2379,5260.0,M08,6015.0,74.0,6089.0,829.0
36,3,2,2709,5870.0,M00,6015.0,71.0,6086.0,216.0
43,2,2,3372,6113.0,M03,6015.0,39.0,6054.0,0.0
44,9,6,3379,5985.0,M05,6036.4,47.0,6083.4,98.4
47,1,5,3544,6005.0,M01,6044.78,28.0,6072.78,67.78
55,0,3,4190,6096.0,M03,6054.0,36.0,6090.0,0.0
35,7,7,2691,5292.0,M09,6058.0,48.0,6106.0,814.0
50,1,1,3804,6265.0,M02,6067.4,90.0,6157.4,0.0
47,1,6,3544,6005.0,M06,6072.78,46.0,6118.78,113.78
58,6,0,4717,6725.0,M01,6072.78,46.0,6118.78,0.0
48,8,0,3632,6513.0,M00,6086.0,76.0,6162.0,0.0
37,2,4,2762,5503.0,M08,6089.0,90.0,6179.0,676.0
44,9,7,3379,5985.0,M03,6090.0,52.0,6142.0,157.0
55,0,4,4190,6096.0,M04,6093.0,49.0,6142.0,46.0
35,7,8,2691,5292.0,M07,6106.0,36.0,6142.0,850.0
59,4,8,4738,6635.0,M09,6107.78,72.0,6179.78,0.0
47,1,7,3544,6005.0,M05,6118.78,46.0,6164.78,159.78
35,7,9,2691,5292.0,M03,6142.0,79.0,6221.0,929.0
44,9,8,3379,5985.0,M04,6142.0,90.0,6232.0,247.0
52,5,0,4013,6407.0,M02,6157.4,84.0,6241.4,0.0
58,6,1,4717,6725.0,M00,6162.0,37.0,6199.0,0.0
47,1,8,3544,6005.0,M07,6164.78,72.0,6236.78,231.78
48,8,1,3632,6513.0,M01,6172.4,69.0,6241.4,0.0
59,4,9,4738,6635.0,M06,6179.78,53.0,6232.78,0.0
58,6,2,4717,6725.0,M03,6221.0,61.0,6282.0,0.0
50,1,2,3804,6265.0,M04,6232.0,75.0,6307.0,42.0
44,9,9,3379,5985.0,M07,6236.78,45.0,6281.78,296.78
43,2,3,3372,6113.0,M02,6241.4,74.0,6315.4,202.4
52,5,1,4013,6407.0,M01,6241.4,2.0,6243.4,0.0
52,5,2,4013,6407.0,M05,6243.4,52.0,6295.4,0.0
56,2,0,4403,7144.0,M01,6243.4,91.0,6334.4,0.0
48,8,2,3632,6513.0,M03,6282.0,76.0,6358.0,0.0
55,0,5,4190,6096.0,M05,6295.4,11.0,6306.4,210.4
37,2,5,2762,5503.0,M05,6306.4,10.0,6316.4,813.4
55,0,6,4190,6096.0,M06,6306.4,62.0,6368.4,272.4
43,2,4,3372,6113.0,M08,6315.4,90.0,6405.4,292.4
58,6,3,4717,6725.0,M02,6315.4,13.0,6328.4,0.0
57,7,0,4471,7072.0,M02,6328.4,31.0,6359.4,0.0
53,9,0,4015,6621.0,M01,6334.4,85.0,6419.4,0.0
48,8,3,3632,6513.0,M05,6358.0,51.0,6409.0,0.0
57,7,1,4471,7072.0,M00,6359.4,86.0,6445.4,0.0
52,5,3,4013,6407.0,M03,6359.78,95.0,6454.78,47.78
58,6,4,4717,6725.0,M06,6368.4,32.0,6400.4,0.0
46,7,5,3531,6132.0,M06,6400.4,88.0,6488.4,356.4
47,1,9,3544,6005.0,M08,6405.4,30.0,6435.4,430.4
58,6,5,4717,6725.0,M05,6409.0,21.0,6430.0,0.0
48,8,4,3632,6513.0,M02,6412.78,85.0,6497.78,0.0
43,2,5,3372,6113.0,M05,6430.0,10.0,6440.0,327.0
58,6,6,4717,6725.0,M09,6430.0,32.0,6462.0,0.0
43,2,6,3372,6113.0,M07,6440.0,12.0,6452.0,339.0
