Job,Operation,Machine,Processing Time,Routing_ID,Arrival,Ready Time,Deadline,Start,End,Tardiness
J0,0,M01,85,9,49,1440,1109.0,129.0,214.0,0.0
J0,1,M00,13,9,49,1440,1109.0,227.0,240.0,0.0
J0,2,M02,61,9,49,1440,1109.0,240.0,301.0,0.0
J0,3,M06,7,9,49,1440,1109.0,301.0,308.0,0.0
J0,4,M08,64,9,49,1440,1109.0,308.0,372.0,0.0
J0,5,M09,76,9,49,1440,1109.0,372.0,448.0,0.0
J0,6,M05,47,9,49,1440,1109.0,448.0,495.0,0.0
J0,7,M03,52,9,49,1440,1109.0,530.0,582.0,0.0
J0,8,M04,90,9,49,1440,1109.0,582.0,672.0,0.0
J0,9,M07,45,9,49,1440,1109.0,713.0,758.0,0.0
J1,0,M02,84,5,130,1440,1104.0,130.0,214.0,0.0
J1,1,M01,2,5,130,1440,1104.0,214.0,216.0,0.0
J1,2,M05,52,5,130,1440,1104.0,216.0,268.0,0.0
J1,3,M03,95,5,130,1440,1104.0,355.0,450.0,0.0
J1,4,M08,48,5,130,1440,1104.0,450.0,498.0,0.0
J1,5,M09,72,5,130,1440,1104.0,498.0,570.0,0.0
J1,6,M00,47,5,130,1440,1104.0,570.0,617.0,0.0
J1,7,M06,65,5,130,1440,1104.0,617.0,682.0,0.0
J1,8,M04,6,5,130,1440,1104.0,682.0,688.0,0.0
J1,9,M07,25,5,130,1440,1104.0,688.0,713.0,0.0
J10,0,M00,29,0,922,1440,1697.0,959.0,988.0,0.0
J10,1,M01,78,0,922,1440,1697.0,1005.0,1083.0,0.0
J10,2,M02,9,0,922,1440,1697.0,1118.0,1127.0,0.0
J10,3,M03,36,0,922,1440,1697.0,1145.0,1181.0,0.0
J10,4,M04,49,0,922,1440,1697.0,1181.0,1230.0,0.0
J10,5,M05,11,0,922,1440,1697.0,1317.0,1328.0,0.0
J10,6,M06,62,0,922,1440,1697.0,1334.0,1396.0,0.0
J10,7,M07,56,0,922,1440,1697.0,1396.0,1452.0,0.0
J10,8,M08,44,0,922,1440,1697.0,1452.0,1496.0,0.0
J10,9,M09,21,0,922,1440,1697.0,1496.0,1517.0,0.0
J11,0,M00,43,1,928,1440,1929.0,1064.0,1107.0,0.0
J11,1,M02,90,1,928,1440,1929.0,1141.0,1231.0,0.0
J11,2,M04,75,1,928,1440,1929.0,1231.0,1306.0,0.0
J11,3,M09,11,1,928,1440,1929.0,1312.0,1323.0,0.0
J11,4,M03,69,1,928,1440,1929.0,1323.0,1392.0,0.0
J11,5,M01,28,1,928,1440,1929.0,1392.0,1420.0,0.0
J11,6,M06,46,1,928,1440,1929.0,1453.0,1499.0,0.0
J11,7,M05,46,1,928,1440,1929.0,1499.0,1545.0,0.0
J11,8,M07,72,1,928,1440,1929.0,1545.0,1617.0,0.0
J11,9,M08,30,1,928,1440,1929.0,1642.0,1672.0,0.0
J12,0,M01,91,2,950,1440,2065.0,1202.0,1293.0,0.0
J12,1,M00,85,2,950,1440,2065.0,1412.0,1497.0,0.0
J12,2,M03,39,2,950,1440,2065.0,1497.0,1536.0,0.0
J12,3,M02,74,2,950,1440,2065.0,1596.0,1670.0,0.0
J12,4,M08,90,2,950,1440,2065.0,1672.0,1762.0,0.0
J12,5,M05,10,2,950,1440,2065.0,1767.0,1777.0,0.0
J12,6,M07,12,2,950,1440,2065.0,1777.0,1789.0,0.0
J12,7,M06,89,2,950,1440,2065.0,1808.0,1897.0,0.0
J12,8,M09,45,2,950,1440,2065.0,1897.0,1942.0,0.0
J12,9,M04,33,2,950,1440,2065.0,1942.0,1975.0,0.0
J13,0,M01,81,3,1001,1440,2287.0,1420.0,1501.0,0.0
J13,1,M02,95,3,1001,1440,2287.0,1501.0,1596.0,0.0
J13,2,M00,71,3,1001,1440,2287.0,1596.0,1667.0,0.0
J13,3,M04,99,3,1001,1440,2287.0,1667.0,1766.0,0.0
J13,4,M06,9,3,1001,1440,2287.0,1799.0,1808.0,0.0
J13,5,M08,52,3,1001,1440,2287.0,1810.0,1862.0,0.0
J13,6,M07,85,3,1001,1440,2287.0,1862.0,1947.0,0.0
